psi,L_bar,L_p,Integrated,Profile
1,0.005013787000706534,0.010782975773944135,-5.295563761060514,-4.5297867057745025
1.01,0.012943321230043055,0.013130295088752549,-4.347175359005507,-4.332833116529075
1.02,0.006166631666335799,0.012997073554506338,-5.088602511311405,-4.343031058053748
1.03,0.012206794378689878,0.016327224038964007,-4.405762565977192,-4.114921377940218
1.04,1.2464621794774496e-4,1.1794778519127156e-10,-8.990031089828904,-22.860779087773235
1.05,7.245481179347549e-4,5.440944477153686e-10,-7.229962383040058,-21.331898267018474
1.06,6.718455347145846e-5,0.004489650358943761,-9.60806719591249,-5.405980451319379
1.07,0.014116657550943849,0.033732351631963683,-4.260399792294268,-3.389297913039606
1.08,0.028770320894856028,0.039089443226200116,-3.54841094767984,-3.2419028426606475
1.09,0.035386674092603515,0.04424610070882705,-3.341419967775049,-3.117988030985486
1.1,0.03505952596343262,0.05139356607987616,-3.3507079203039964,-2.9682422878991446
1.11,8.069873299410283e-4,1.58524911135123e-9,-7.122202590014566,-20.26252427392183
1.12,0.004465144903802241,2.5644398674584973e-8,-5.41145361192109,-17.478940664436827
1.13,0.033745635159971914,2.662676179760059e-9,-3.3889041986206867,-19.743934137298158
1.1400000000000001,0.0490877297170866,0.03343096578960219,-3.014146179341842,-3.398272689060101
1.15,0.05761271294469658,0.10328744350582061,-2.85401202478792,-2.2702394639154524
1.16,0.011541517948099867,6.68769190301743e-9,-4.46180448858895,-18.822997029357694
1.17,0.055171474076693705,0.04498307838001465,-2.8973092332457173,-3.1014688959307577
1.18,0.029891016681765217,0.12430332787000596,-3.510197289154178,-2.0850305079356373
1.19,0.03981937501279388,0.15730876235175575,-3.223401675778303,-1.8495447657538067
1.2,0.10993295882897175,0.1883753361357337,-2.207884564180292,-1.6693188376403412
1.21,0.04075184572327424,0.006579225764691115,-3.200254146498319,-5.023838205508533
1.22,0.13216233511909406,0.23504288900416828,-2.023724300486218,-1.447987275089529
1.23,0.017691151889729105,0.04021216767467301,-4.034690657626276,-3.213585650680597
1.24,0.23410020945911017,0.28533697451352746,-1.4520060097436382,-1.2540844304443872
1.25,0.16544283807501098,0.31834341848047304,-1.799129533100491,-1.1446245465808604
1.26,0.17624152165624404,0.3490220202713381,-1.7358999425248454,-1.0526202634367896
1.27,0.029927748777987546,0.3407960461864931,-3.508969176184717,-1.0764710856597295
1.28,0.22355413472560737,0.4176681265260701,-1.4981016807200833,-0.873068117486376
1.29,0.23557024265294904,0.4529282437169999,-1.4457461397108728,-0.7920215684368154
1.3,0.2878910030390227,0.4912584574860475,-1.2451733321509435,-0.7107848996902788
1.31,0.3047893295291193,0.5298257024123929,-1.188134463889008,-0.6352071898962307
1.32,0.3396371878588997,0.5688834999342354,-1.0798773256553034,-0.5640796111015218
1.33,0.3549417800076886,0.6089071328315864,-1.0358015029345302,-0.4960895141455547
1.34,0.3956399735959578,0.6481489990755928,-0.9272506388480439,-0.4336346722162365
1.35,0.45919662786123955,0.6886201721650111,-0.7782767775114977,-0.3730654340469983
1.3599999999999999,0.4456134535636507,0.7278577458064251,-0.8083033988058679,-0.31764965399137535
1.37,0.475636875351578,0.7643092069401854,-0.7431005827901989,-0.2687828505672233
1.38,0.496946622966431,0.8028212290014367,-0.6992726571110209,-0.2196232187107325
1.3900000000000001,0.5583336778750213,0.8377133648016462,-0.58279850630168,-0.1770792837874739
1.4,0.6188713376426906,0.8695701711174211,-0.4798578830838598,-0.13975624560635108
1.4100000000000001,0.6639491063521172,0.897963888954662,-0.4095497795033036,-0.10762542423385689
1.42,0.6882419684468266,0.9264764491666697,-0.3736148045562761,-0.07636665271992422
1.43,0.8507687895903998,0.919329674082814,-0.16161487993211196,-0.08411048963543534
1.44,0.7692378373603695,0.939236602439416,-0.26235507594122526,-0.06268785873475245
1.45,0.771699870251121,0.983923655836476,-0.259159573652427,-0.016206970471833282
1.46,0.8024801779322509,0.9943387970060563,-0.22004812467897494,-0.005677288340615103
1.47,0.8714853370742772,0.9990317482543549,-0.13755623909271605,-9.687208041688152e-4
1.48,0.8974309747568245,1,-0.10821906992624385,0
1.49,0.5953321245190217,0.6230547525934874,-0.51863583669903,-0.47312087867357305
1.5,0.9367101836580963,0.9852389907648025,-0.06538134698020563,-0.014871037021925647
1.51,0.927448048082879,0.9700541667512899,-0.07531849891797307,-0.030403367032176606
1.52,0.9829767822444722,0.9497372971783262,-0.017169778397254868,-0.051569861914795984
1.53,0.8050755618698554,0.920025335268335,-0.21681914029184166,-0.08335407098307734
1.54,1,0.8943355958783757,0,-0.11167418736008987
1.55,0.9757696543675212,0.8600688027789495,-0.024528730293099592,-0.15074288970333485
1.56,0.8622598581504369,0.8060770757217584,-0.14819859417697803,-0.21557591360117123
1.57,0.9862477208586012,0.779607884090235,-0.01384771774122387,-0.2489641984057229
1.58,0.9390984557328942,0.7345308442665565,-0.06283495358470462,-0.3085232906943529
1.5899999999999999,0.8617196471797128,0.6694070994501666,-0.1488252965092677,-0.4013628845692377
1.6,0.8958336018964973,0.6370951017779561,-0.1100005954229346,-0.45083633819884616
1.6099999999999999,0.9054030627201278,0.5843186829984625,-0.09937506125999204,-0.537308754922731
1.62,0.8587198797571644,0.5342599744625997,-0.15231251057928918,-0.6268727149288996
1.63,0.820809514484447,0.48232956714065783,-0.197464212911998,-0.7291276493270821
1.6400000000000001,0.7481773775826327,0.43080582895531216,-0.2901151933142521,-0.8420978032545041
1.65,0.7439413126693311,0.3804802086751205,-0.2957931280810923,-0.9663211170275983
1.6600000000000001,0.6768344330472621,0.3319957692842757,-0.39032859573241135,-1.1026330532664943
1.67,0.6348848497656441,0.285184425628866,-0.4543116354850827,-1.2546192005275387
1.6800000000000002,0.5833998192942874,0.24165518485256993,-0.538882531294386,-1.4202434248791362
1.69,0.5103979953070924,0.20078410449246162,-0.6725644746491363,-1.6055250551920672
1.7000000000000002,0.449511035556231,0.16284531490012302,-0.7995948746349388,-1.8149545170926982
1.71,0.3780455921395277,0.12951346855532878,-0.9727404765101135,-2.0439703989623625
1.72,0.3351844258597432,0.10088135484171377,-1.093074373685882,-2.2938101571845535
1.73,0.28218601104134305,0.0754232785954616,-1.265188811871688,-2.5846393169291537
1.74,0.22990000326318163,0.053935630219345984,-1.4701108330190837,-2.9199639764293526
1.75,0.1810567952183649,0.036597301379107876,-1.7089445111999368,-3.307780774104474
1.76,0.13782969501850578,0.022917557927256714,-1.9817364500149004,-3.775851940488614
1.77,0.09802281194158217,0.01267392382114752,-2.3225550524853382,-4.368208638738964
1.78,0.061941760273277954,0.005736819289573754,-2.781560685834145,-5.160850352974119
1.79,0.03945101924114309,0.002112064795289056,-3.2326953957466134,-6.16008923402111
