Branch 1 | psi: 1.2400 | logL: -179.6824 | obj: 155.4923 | constraint_violation: 9.5086e-11
Branch 2 | psi: 1.2500 | logL: -179.4054 | obj: 155.1837 | constraint_violation: 2.8930e-10
Branch 3 | psi: 1.2600 | logL: -178.9937 | obj: 154.8939 | constraint_violation: 7.9520e-10
Branch 4 | psi: 1.2700 | logL: -178.8712 | obj: 154.6126 | constraint_violation: 7.5830e-10
Branch 5 | psi: 1.2800 | logL: -178.5144 | obj: 154.3427 | constraint_violation: 7.0845e-10
Branch 6 | psi: 1.2900 | logL: -178.2204 | obj: 154.0838 | constraint_violation: 2.3433e-10
Branch 7 | psi: 1.3000 | logL: -177.9389 | obj: 153.8429 | constraint_violation: 1.8527e-09
Branch 8 | psi: 1.3100 | logL: -177.8021 | obj: 153.6051 | constraint_violation: 1.8844e-11
Branch 9 | psi: 1.3200 | logL: -177.9650 | obj: 153.3740 | constraint_violation: 9.7218e-10
Branch 10 | psi: 1.3300 | logL: -177.6050 | obj: 153.1619 | constraint_violation: 8.2533e-10
Branch 11 | psi: 1.3400 | logL: -177.5503 | obj: 152.9624 | constraint_violation: 1.1713e-09
Branch 12 | psi: 1.3500 | logL: -177.4097 | obj: 152.7749 | constraint_violation: 5.9213e-10
Branch 13 | psi: 1.3600 | logL: -177.3278 | obj: 152.6008 | constraint_violation: 7.3778e-10
Branch 14 | psi: 1.3700 | logL: -177.0902 | obj: 152.4410 | constraint_violation: 2.7996e-10
Branch 15 | psi: 1.3800 | logL: -176.5970 | obj: 152.2970 | constraint_violation: 1.0601e-09
Branch 16 | psi: 1.3900 | logL: -177.0371 | obj: 152.1626 | constraint_violation: 3.8382e-10
Branch 17 | psi: 1.4000 | logL: -176.9385 | obj: 152.0455 | constraint_violation: 6.7496e-10
Branch 18 | psi: 1.4100 | logL: -176.4924 | obj: 151.9566 | constraint_violation: 2.5051e-09
Branch 19 | psi: 1.4200 | logL: -176.1416 | obj: 151.8702 | constraint_violation: 7.2935e-09
Branch 20 | psi: 1.4300 | logL: -176.5887 | obj: 151.7924 | constraint_violation: 1.9395e-10
Branch 21 | psi: 1.4400 | logL: -176.4072 | obj: 151.7448 | constraint_violation: 3.1450e-09
Branch 22 | psi: 1.4500 | logL: -176.3564 | obj: 151.7118 | constraint_violation: 2.9960e-09
Branch 23 | psi: 1.4600 | logL: -176.3644 | obj: 151.6983 | constraint_violation: 1.0125e-09
Branch 24 | psi: 1.4700 | logL: -176.1362 | obj: 151.7081 | constraint_violation: 7.3219e-09
Branch 25 | psi: 1.4800 | logL: -176.8138 | obj: 151.7347 | constraint_violation: 3.0513e-09
Branch 26 | psi: 1.4900 | logL: -176.6316 | obj: 151.7936 | constraint_violation: 1.0769e-09
Branch 27 | psi: 1.5000 | logL: -177.0224 | obj: 151.8747 | constraint_violation: 8.7783e-09
Branch 28 | psi: 1.5100 | logL: -177.3020 | obj: 151.9872 | constraint_violation: 9.9107e-07
Branch 29 | psi: 1.5200 | logL: -176.3098 | obj: 152.0381 | constraint_violation: 2.8510e-09
Branch 30 | psi: 1.5300 | logL: -176.3017 | obj: 152.1702 | constraint_violation: 1.3070e-07
Branch 31 | psi: 1.5400 | logL: -176.3789 | obj: 152.3122 | constraint_violation: 1.7902e-07
Branch 32 | psi: 1.5500 | logL: -176.5244 | obj: 152.4623 | constraint_violation: 7.4540e-07
Branch 33 | psi: 1.5600 | logL: -176.6035 | obj: 152.6548 | constraint_violation: 5.4632e-09
Branch 34 | psi: 1.5700 | logL: -176.6409 | obj: 152.8289 | constraint_violation: 1.0179e-07
Branch 35 | psi: 1.5800 | logL: -176.5879 | obj: 153.0402 | constraint_violation: 5.0311e-07
Branch 36 | psi: 1.5900 | logL: -176.6258 | obj: 153.2718 | constraint_violation: 7.4850e-07
Branch 37 | psi: 1.6000 | logL: -176.9134 | obj: 153.5158 | constraint_violation: 1.1717e-06
Branch 38 | psi: 1.6100 | logL: -176.9400 | obj: 153.7718 | constraint_violation: 1.0368e-06
Branch 39 | psi: 1.6200 | logL: -177.4245 | obj: 154.0620 | constraint_violation: 9.7137e-07
Branch 40 | psi: 1.6300 | logL: -177.3956 | obj: 154.3613 | constraint_violation: 9.8633e-07
Branch 41 | psi: 1.6400 | logL: -177.6474 | obj: 154.6882 | constraint_violation: 8.5155e-07
Branch 42 | psi: 1.6500 | logL: -177.9098 | obj: 155.0365 | constraint_violation: 2.0959e-06
Branch 43 | psi: 1.6600 | logL: -178.3414 | obj: 155.4169 | constraint_violation: 3.9503e-06
Branch 44 | psi: 1.6700 | logL: -178.7061 | obj: 155.8331 | constraint_violation: 2.2175e-07
Branch 45 | psi: 1.6800 | logL: -179.0916 | obj: 156.2777 | constraint_violation: 2.5128e-06
Branch 46 | psi: 1.6900 | logL: -179.4343 | obj: 156.7541 | constraint_violation: 5.1833e-07
Branch 47 | psi: 1.7000 | logL: -179.8829 | obj: 157.2804 | constraint_violation: 1.1980e-08
Branch 48 | psi: 1.7100 | logL: -180.4500 | obj: 157.8604 | constraint_violation: 3.9427e-09
Branch 49 | psi: 1.7200 | logL: -181.1268 | obj: 158.5035 | constraint_violation: 8.2899e-10
Branch 50 | psi: 1.7300 | logL: -181.9118 | obj: 159.2232 | constraint_violation: 6.1961e-10
