Branch 1 | psi: 1.2400 | logL: -180.1228 | obj: 169.8054 | constraint_violation: 2.0568e-09
Branch 2 | psi: 1.2500 | logL: -179.8647 | obj: 169.5508 | constraint_violation: 2.9819e-09
Branch 3 | psi: 1.2600 | logL: -179.6210 | obj: 169.3055 | constraint_violation: 2.8640e-09
Branch 4 | psi: 1.2700 | logL: -179.3593 | obj: 169.0697 | constraint_violation: 1.3343e-09
Branch 5 | psi: 1.2800 | logL: -179.1313 | obj: 168.8434 | constraint_violation: 1.7445e-09
Branch 6 | psi: 1.2900 | logL: -178.9542 | obj: 168.6242 | constraint_violation: 1.0735e-10
Branch 7 | psi: 1.3000 | logL: -178.7373 | obj: 168.4166 | constraint_violation: 7.4444e-10
Branch 8 | psi: 1.3100 | logL: -178.5626 | obj: 168.2174 | constraint_violation: 2.1482e-09
Branch 9 | psi: 1.3200 | logL: -178.3718 | obj: 168.0292 | constraint_violation: 7.6944e-10
Branch 10 | psi: 1.3300 | logL: -178.1864 | obj: 167.8512 | constraint_violation: 2.1066e-09
Branch 11 | psi: 1.3400 | logL: -178.0106 | obj: 167.6845 | constraint_violation: 2.6770e-09
Branch 12 | psi: 1.3500 | logL: -177.8745 | obj: 167.5284 | constraint_violation: 6.1391e-10
Branch 13 | psi: 1.3600 | logL: -177.7676 | obj: 167.3836 | constraint_violation: 9.2127e-10
Branch 14 | psi: 1.3700 | logL: -177.6242 | obj: 167.2507 | constraint_violation: 1.7055e-09
Branch 15 | psi: 1.3800 | logL: -177.4842 | obj: 167.1299 | constraint_violation: 1.6923e-10
Branch 16 | psi: 1.3900 | logL: -177.3160 | obj: 167.0237 | constraint_violation: 1.5829e-09
Branch 17 | psi: 1.4000 | logL: -177.3203 | obj: 166.9263 | constraint_violation: 6.3333e-10
Branch 18 | psi: 1.4100 | logL: -177.1954 | obj: 166.8444 | constraint_violation: 4.3835e-10
Branch 19 | psi: 1.4200 | logL: -177.1292 | obj: 166.7756 | constraint_violation: 7.2164e-10
Branch 20 | psi: 1.4300 | logL: -177.0395 | obj: 166.7223 | constraint_violation: 6.6883e-10
Branch 21 | psi: 1.4400 | logL: -177.0396 | obj: 166.6811 | constraint_violation: 7.9244e-10
Branch 22 | psi: 1.4500 | logL: -176.9868 | obj: 166.6557 | constraint_violation: 3.3614e-09
Branch 23 | psi: 1.4600 | logL: -176.9685 | obj: 166.6455 | constraint_violation: 1.2326e-10
Branch 24 | psi: 1.4700 | logL: -176.9967 | obj: 166.6511 | constraint_violation: 4.8642e-09
Branch 25 | psi: 1.4800 | logL: -176.9441 | obj: 166.6728 | constraint_violation: 8.0448e-10
Branch 26 | psi: 1.4900 | logL: -176.9802 | obj: 166.7092 | constraint_violation: 4.1382e-09
Branch 27 | psi: 1.5000 | logL: -177.0067 | obj: 166.7630 | constraint_violation: 3.9508e-09
Branch 28 | psi: 1.5100 | logL: -177.0188 | obj: 166.8330 | constraint_violation: 1.7469e-09
Branch 29 | psi: 1.5200 | logL: -177.0733 | obj: 166.9208 | constraint_violation: 9.8999e-07
Branch 30 | psi: 1.5300 | logL: -177.1632 | obj: 167.0256 | constraint_violation: 3.3304e-06
Branch 31 | psi: 1.5400 | logL: -177.2582 | obj: 167.1446 | constraint_violation: 3.3237e-06
Branch 32 | psi: 1.5500 | logL: -177.3413 | obj: 167.2825 | constraint_violation: 9.3256e-07
