Branch 1 | psi: 1.2400 | logL: -180.0583 | obj: 169.8039 | constraint_violation: 4.7542e-10
Branch 2 | psi: 1.2500 | logL: -179.8146 | obj: 169.5504 | constraint_violation: 5.1567e-10
Branch 3 | psi: 1.2600 | logL: -179.6139 | obj: 169.3067 | constraint_violation: 2.8076e-09
Branch 4 | psi: 1.2700 | logL: -179.3769 | obj: 169.0695 | constraint_violation: 3.0199e-09
Branch 5 | psi: 1.2800 | logL: -179.1609 | obj: 168.8425 | constraint_violation: 2.3775e-09
Branch 6 | psi: 1.2900 | logL: -178.9234 | obj: 168.6243 | constraint_violation: 1.1570e-09
Branch 7 | psi: 1.3000 | logL: -178.7303 | obj: 168.4161 | constraint_violation: 1.1870e-10
Branch 8 | psi: 1.3100 | logL: -178.5490 | obj: 168.2175 | constraint_violation: 9.9631e-10
Branch 9 | psi: 1.3200 | logL: -178.3618 | obj: 168.0291 | constraint_violation: 2.3207e-09
Branch 10 | psi: 1.3300 | logL: -178.1750 | obj: 167.8513 | constraint_violation: 4.8911e-10
Branch 11 | psi: 1.3400 | logL: -178.0085 | obj: 167.6842 | constraint_violation: 1.8872e-09
Branch 12 | psi: 1.3500 | logL: -177.8823 | obj: 167.5280 | constraint_violation: 1.4144e-09
Branch 13 | psi: 1.3600 | logL: -177.7460 | obj: 167.3837 | constraint_violation: 8.0435e-10
Branch 14 | psi: 1.3700 | logL: -177.6326 | obj: 167.2508 | constraint_violation: 8.4245e-10
Branch 15 | psi: 1.3800 | logL: -177.4847 | obj: 167.1303 | constraint_violation: 1.5637e-09
Branch 16 | psi: 1.3900 | logL: -177.3972 | obj: 167.0221 | constraint_violation: 1.9463e-09
Branch 17 | psi: 1.4000 | logL: -177.2857 | obj: 166.9269 | constraint_violation: 1.4158e-09
Branch 18 | psi: 1.4100 | logL: -177.1521 | obj: 166.8457 | constraint_violation: 6.0310e-10
Branch 19 | psi: 1.4200 | logL: -177.1344 | obj: 166.7761 | constraint_violation: 7.2368e-10
Branch 20 | psi: 1.4300 | logL: -177.0655 | obj: 166.7213 | constraint_violation: 5.4175e-10
Branch 21 | psi: 1.4400 | logL: -176.9748 | obj: 166.6822 | constraint_violation: 9.8852e-10
Branch 22 | psi: 1.4500 | logL: -176.9680 | obj: 166.6562 | constraint_violation: 4.1718e-09
