Branch 1 | psi: 1.2400 | logL: -181.1447 | obj: 151.7039 | constraint_violation: 5.8257e-10
Branch 2 | psi: 1.2500 | logL: -180.8113 | obj: 151.4605 | constraint_violation: 3.4969e-09
Branch 3 | psi: 1.2600 | logL: -180.2945 | obj: 151.2209 | constraint_violation: 2.2664e-10
Branch 4 | psi: 1.2700 | logL: -180.1741 | obj: 151.0010 | constraint_violation: 2.4505e-09
Branch 5 | psi: 1.2800 | logL: -179.7159 | obj: 150.7950 | constraint_violation: 7.3748e-09
Branch 6 | psi: 1.2900 | logL: -179.5440 | obj: 150.5965 | constraint_violation: 2.0934e-09
Branch 7 | psi: 1.3000 | logL: -179.4492 | obj: 150.4207 | constraint_violation: 6.5644e-09
Branch 8 | psi: 1.3100 | logL: -179.1618 | obj: 150.2340 | constraint_violation: 1.2163e-09
Branch 9 | psi: 1.3200 | logL: -179.1071 | obj: 150.0687 | constraint_violation: 2.0892e-09
Branch 10 | psi: 1.3300 | logL: -178.0773 | obj: 149.9158 | constraint_violation: 8.1942e-10
Branch 11 | psi: 1.3400 | logL: -177.5741 | obj: 149.7730 | constraint_violation: 2.8183e-09
Branch 12 | psi: 1.3500 | logL: -177.2997 | obj: 149.6425 | constraint_violation: 2.2263e-09
Branch 13 | psi: 1.3600 | logL: -177.1462 | obj: 149.5226 | constraint_violation: 1.1126e-09
Branch 14 | psi: 1.3700 | logL: -177.3441 | obj: 149.4176 | constraint_violation: 2.1275e-09
Branch 15 | psi: 1.3800 | logL: -177.7677 | obj: 149.3154 | constraint_violation: 5.7861e-10
Branch 16 | psi: 1.3900 | logL: -177.1427 | obj: 149.2272 | constraint_violation: 1.8607e-09
Branch 17 | psi: 1.4000 | logL: -176.7089 | obj: 149.1508 | constraint_violation: 1.0374e-10
Branch 18 | psi: 1.4100 | logL: -176.6609 | obj: 149.0866 | constraint_violation: 5.0699e-10
Branch 19 | psi: 1.4200 | logL: -176.7551 | obj: 149.0324 | constraint_violation: 8.0561e-10
Branch 20 | psi: 1.4300 | logL: -177.2424 | obj: 148.9901 | constraint_violation: 2.3136e-11
Branch 21 | psi: 1.4400 | logL: -177.3474 | obj: 148.9595 | constraint_violation: 3.8079e-10
Branch 22 | psi: 1.4500 | logL: -177.2533 | obj: 148.9396 | constraint_violation: 9.0689e-11
Branch 23 | psi: 1.4600 | logL: -177.4438 | obj: 148.9317 | constraint_violation: 3.9081e-10
Branch 24 | psi: 1.4700 | logL: -177.5582 | obj: 148.9358 | constraint_violation: 9.5861e-11
Branch 25 | psi: 1.4800 | logL: -177.0848 | obj: 148.9512 | constraint_violation: 8.2891e-11
Branch 26 | psi: 1.4900 | logL: -177.1457 | obj: 148.9801 | constraint_violation: 7.5829e-10
Branch 27 | psi: 1.5000 | logL: -176.3645 | obj: 149.0219 | constraint_violation: 1.9702e-10
Branch 28 | psi: 1.5100 | logL: -176.7269 | obj: 149.0772 | constraint_violation: 8.2103e-10
Branch 29 | psi: 1.5200 | logL: -176.9057 | obj: 149.1443 | constraint_violation: 3.3967e-10
Branch 30 | psi: 1.5300 | logL: -177.4707 | obj: 149.2268 | constraint_violation: 2.1055e-10
Branch 31 | psi: 1.5400 | logL: -176.5190 | obj: 149.3218 | constraint_violation: 9.4811e-10
