Branch 1 | psi: 1.2400 | logL: -179.2468 | obj: 174.1419 | constraint_violation: 7.0389e-10
Branch 2 | psi: 1.2500 | logL: -179.1466 | obj: 173.9184 | constraint_violation: 6.2458e-10
Branch 3 | psi: 1.2600 | logL: -178.9421 | obj: 173.7050 | constraint_violation: 1.5453e-09
Branch 4 | psi: 1.2700 | logL: -178.6480 | obj: 173.5032 | constraint_violation: 7.1269e-10
Branch 5 | psi: 1.2800 | logL: -178.2963 | obj: 173.3092 | constraint_violation: 3.6770e-10
Branch 6 | psi: 1.2900 | logL: -178.2404 | obj: 173.1242 | constraint_violation: 4.3660e-10
Branch 7 | psi: 1.3000 | logL: -178.0850 | obj: 172.9499 | constraint_violation: 6.6684e-10
Branch 8 | psi: 1.3100 | logL: -177.9143 | obj: 172.7857 | constraint_violation: 1.2190e-09
Branch 9 | psi: 1.3200 | logL: -177.6353 | obj: 172.6329 | constraint_violation: 3.5450e-10
Branch 10 | psi: 1.3300 | logL: -177.5736 | obj: 172.4866 | constraint_violation: 9.7639e-10
Branch 11 | psi: 1.3400 | logL: -177.4518 | obj: 172.3515 | constraint_violation: 1.7205e-09
Branch 12 | psi: 1.3500 | logL: -177.2366 | obj: 172.2265 | constraint_violation: 5.2305e-10
Branch 13 | psi: 1.3600 | logL: -177.1264 | obj: 172.1115 | constraint_violation: 2.9912e-10
Branch 14 | psi: 1.3700 | logL: -177.0271 | obj: 172.0067 | constraint_violation: 1.9597e-10
Branch 15 | psi: 1.3800 | logL: -176.8964 | obj: 171.9125 | constraint_violation: 1.7909e-09
Branch 16 | psi: 1.3900 | logL: -176.8307 | obj: 171.8280 | constraint_violation: 2.0382e-10
Branch 17 | psi: 1.4000 | logL: -176.8007 | obj: 171.7543 | constraint_violation: 7.4288e-10
Branch 18 | psi: 1.4100 | logL: -176.6316 | obj: 171.6917 | constraint_violation: 9.5467e-10
Branch 19 | psi: 1.4200 | logL: -176.5732 | obj: 171.6394 | constraint_violation: 7.0655e-10
Branch 20 | psi: 1.4300 | logL: -176.5069 | obj: 171.5977 | constraint_violation: 9.9911e-11
Branch 21 | psi: 1.4400 | logL: -176.4710 | obj: 171.5679 | constraint_violation: 6.0697e-10
Branch 22 | psi: 1.4500 | logL: -176.4715 | obj: 171.5478 | constraint_violation: 8.4001e-11
Branch 23 | psi: 1.4600 | logL: -176.4446 | obj: 171.5400 | constraint_violation: 5.8336e-11
Branch 24 | psi: 1.4700 | logL: -176.4627 | obj: 171.5441 | constraint_violation: 7.5620e-11
Branch 25 | psi: 1.4800 | logL: -176.5042 | obj: 171.5601 | constraint_violation: 8.5851e-11
Branch 26 | psi: 1.4900 | logL: -176.5355 | obj: 171.5886 | constraint_violation: 7.5909e-10
Branch 27 | psi: 1.5000 | logL: -176.5485 | obj: 171.6297 | constraint_violation: 1.1007e-10
Branch 28 | psi: 1.5100 | logL: -176.6249 | obj: 171.6849 | constraint_violation: 8.6724e-11
Branch 29 | psi: 1.5200 | logL: -176.6741 | obj: 171.7510 | constraint_violation: 5.9818e-11
Branch 30 | psi: 1.5300 | logL: -176.7645 | obj: 171.8321 | constraint_violation: 5.6712e-10
Branch 31 | psi: 1.5400 | logL: -176.7620 | obj: 171.9277 | constraint_violation: 1.3340e-09
Branch 32 | psi: 1.5500 | logL: -176.9785 | obj: 172.0383 | constraint_violation: 2.4717e-10
Branch 33 | psi: 1.5600 | logL: -177.0090 | obj: 172.1645 | constraint_violation: 1.2082e-10
Branch 34 | psi: 1.5700 | logL: -177.2073 | obj: 172.3068 | constraint_violation: 4.8743e-11
Branch 35 | psi: 1.5800 | logL: -177.3107 | obj: 172.4669 | constraint_violation: 1.7235e-10
Branch 36 | psi: 1.5900 | logL: -177.5210 | obj: 172.6459 | constraint_violation: 3.3782e-10
Branch 37 | psi: 1.6000 | logL: -177.7654 | obj: 172.8415 | constraint_violation: 2.6047e-10
Branch 38 | psi: 1.6100 | logL: -178.0420 | obj: 173.0592 | constraint_violation: 9.7122e-11
Branch 39 | psi: 1.6200 | logL: -178.2286 | obj: 173.2987 | constraint_violation: 3.8002e-10
Branch 40 | psi: 1.6300 | logL: -178.4849 | obj: 173.5626 | constraint_violation: 8.1248e-10
Branch 41 | psi: 1.6400 | logL: -178.8735 | obj: 173.8510 | constraint_violation: 1.8664e-10
Branch 42 | psi: 1.6500 | logL: -179.0996 | obj: 174.1688 | constraint_violation: 3.3326e-10
Branch 43 | psi: 1.6600 | logL: -179.4717 | obj: 174.5156 | constraint_violation: 3.2675e-10
Branch 44 | psi: 1.6700 | logL: -179.7850 | obj: 174.8973 | constraint_violation: 4.7415e-10
Branch 45 | psi: 1.6800 | logL: -180.1956 | obj: 175.3177 | constraint_violation: 6.6347e-10
Branch 46 | psi: 1.6900 | logL: -180.7214 | obj: 175.7797 | constraint_violation: 6.2727e-09
Branch 47 | psi: 1.7000 | logL: -181.2530 | obj: 176.2942 | constraint_violation: 9.7704e-07
Branch 48 | psi: 1.7100 | logL: -181.8125 | obj: 176.8737 | constraint_violation: 9.8283e-08
Branch 49 | psi: 1.7200 | logL: -182.5051 | obj: 177.5059 | constraint_violation: 3.2913e-07
Branch 50 | psi: 1.7300 | logL: -183.2627 | obj: 178.2292 | constraint_violation: 2.1756e-08
Branch 51 | psi: 1.7400 | logL: -184.1125 | obj: 179.0613 | constraint_violation: 8.2986e-10
Branch 52 | psi: 1.7500 | logL: -184.9939 | obj: 180.0339 | constraint_violation: 1.7911e-09
Branch 53 | psi: 1.7600 | logL: -186.1241 | obj: 181.2026 | constraint_violation: 4.5358e-10
