Branch 1 | psi: 1.2400 | logL: -178.4251 | obj: 171.3123 | constraint_violation: 2.7140e-09
Branch 2 | psi: 1.2500 | logL: -177.5746 | obj: 171.0329 | constraint_violation: 6.2960e-09
Branch 3 | psi: 1.2600 | logL: -180.9077 | obj: 170.7346 | constraint_violation: 6.6611e-10
Branch 4 | psi: 1.2700 | logL: -179.1718 | obj: 170.4646 | constraint_violation: 6.4956e-11
Branch 5 | psi: 1.2800 | logL: -178.0807 | obj: 170.2038 | constraint_violation: 3.8527e-10
Branch 6 | psi: 1.2900 | logL: -176.9562 | obj: 169.9587 | constraint_violation: 5.0889e-09
Branch 7 | psi: 1.3000 | logL: -176.6913 | obj: 169.7090 | constraint_violation: 6.4203e-10
Branch 8 | psi: 1.3100 | logL: -180.5130 | obj: 169.4733 | constraint_violation: 1.9349e-11
Branch 9 | psi: 1.3200 | logL: -179.7229 | obj: 169.2551 | constraint_violation: 2.5801e-09
Branch 10 | psi: 1.3300 | logL: -178.7043 | obj: 169.0414 | constraint_violation: 1.0728e-09
Branch 11 | psi: 1.3400 | logL: -177.0501 | obj: 168.8381 | constraint_violation: 1.1103e-09
Branch 12 | psi: 1.3500 | logL: -175.6264 | obj: 168.6476 | constraint_violation: 7.0326e-10
Branch 13 | psi: 1.3600 | logL: -174.9813 | obj: 168.4685 | constraint_violation: 1.6109e-09
Branch 14 | psi: 1.3700 | logL: -174.6256 | obj: 168.3033 | constraint_violation: 2.9806e-09
Branch 15 | psi: 1.3800 | logL: -173.5920 | obj: 168.1545 | constraint_violation: 2.8551e-10
Branch 16 | psi: 1.3900 | logL: -176.8792 | obj: 168.0068 | constraint_violation: 4.0565e-10
Branch 17 | psi: 1.4000 | logL: -175.5521 | obj: 167.8830 | constraint_violation: 8.7519e-10
Branch 18 | psi: 1.4100 | logL: -174.6140 | obj: 167.7747 | constraint_violation: 4.3469e-10
Branch 19 | psi: 1.4200 | logL: -173.9782 | obj: 167.6833 | constraint_violation: 2.0498e-10
Branch 20 | psi: 1.4300 | logL: -173.6948 | obj: 167.6087 | constraint_violation: 1.0572e-10
Branch 21 | psi: 1.4400 | logL: -174.2867 | obj: 167.5512 | constraint_violation: 1.2394e-10
Branch 22 | psi: 1.4500 | logL: -174.4423 | obj: 167.5139 | constraint_violation: 5.0187e-11
Branch 23 | psi: 1.4600 | logL: -173.7053 | obj: 167.5003 | constraint_violation: 4.5702e-08
Branch 24 | psi: 1.4700 | logL: -173.9810 | obj: 167.5093 | constraint_violation: 4.3805e-06
Branch 25 | psi: 1.4800 | logL: -174.5192 | obj: 167.5516 | constraint_violation: 1.1357e-06
Branch 26 | psi: 1.4900 | logL: -174.6017 | obj: 167.6023 | constraint_violation: 2.8266e-06
Branch 27 | psi: 1.5000 | logL: -174.7613 | obj: 167.6937 | constraint_violation: 1.2725e-06
Branch 28 | psi: 1.5100 | logL: -174.6977 | obj: 167.8170 | constraint_violation: 4.5036e-09
Branch 29 | psi: 1.5200 | logL: -178.2078 | obj: 167.9841 | constraint_violation: 4.0104e-09
Branch 30 | psi: 1.5300 | logL: -176.6412 | obj: 168.1933 | constraint_violation: 3.8082e-10
Branch 31 | psi: 1.5400 | logL: -175.9377 | obj: 168.4531 | constraint_violation: 3.7588e-10
Branch 32 | psi: 1.5500 | logL: -176.8898 | obj: 168.7819 | constraint_violation: 3.4471e-10
