Branch 1 | psi: 1.2400 | logL: -183.8544 | obj: 157.4908 | constraint_violation: 4.3008e-10
Branch 2 | psi: 1.2500 | logL: -183.5328 | obj: 157.1210 | constraint_violation: 4.2799e-10
Branch 3 | psi: 1.2600 | logL: -183.0961 | obj: 156.7597 | constraint_violation: 8.6535e-10
Branch 4 | psi: 1.2700 | logL: -182.7283 | obj: 156.4098 | constraint_violation: 9.9292e-10
Branch 5 | psi: 1.2800 | logL: -182.3009 | obj: 156.0667 | constraint_violation: 1.3309e-09
Branch 6 | psi: 1.2900 | logL: -181.9714 | obj: 155.7345 | constraint_violation: 8.1595e-10
Branch 7 | psi: 1.3000 | logL: -181.5555 | obj: 155.4150 | constraint_violation: 2.0005e-09
Branch 8 | psi: 1.3100 | logL: -181.1926 | obj: 155.1084 | constraint_violation: 4.9643e-09
Branch 9 | psi: 1.3200 | logL: -180.8390 | obj: 154.8168 | constraint_violation: 3.5194e-09
Branch 10 | psi: 1.3300 | logL: -180.5993 | obj: 154.5410 | constraint_violation: 3.8664e-09
Branch 11 | psi: 1.3400 | logL: -180.2792 | obj: 154.2804 | constraint_violation: 2.0991e-09
Branch 12 | psi: 1.3500 | logL: -179.9012 | obj: 154.0360 | constraint_violation: 2.8010e-09
Branch 13 | psi: 1.3600 | logL: -179.4666 | obj: 153.8120 | constraint_violation: 3.6880e-10
Branch 14 | psi: 1.3700 | logL: -179.1499 | obj: 153.6068 | constraint_violation: 4.0393e-09
Branch 15 | psi: 1.3800 | logL: -178.7206 | obj: 153.4251 | constraint_violation: 2.7666e-10
Branch 16 | psi: 1.3900 | logL: -178.7298 | obj: 153.2633 | constraint_violation: 5.5251e-10
Branch 17 | psi: 1.4000 | logL: -178.3126 | obj: 153.1227 | constraint_violation: 5.7378e-09
Branch 18 | psi: 1.4100 | logL: -178.0952 | obj: 153.0049 | constraint_violation: 3.6302e-10
Branch 19 | psi: 1.4200 | logL: -177.8057 | obj: 152.9081 | constraint_violation: 1.2077e-09
Branch 20 | psi: 1.4300 | logL: -177.4460 | obj: 152.8328 | constraint_violation: 9.2667e-10
Branch 21 | psi: 1.4400 | logL: -177.2921 | obj: 152.7789 | constraint_violation: 8.8009e-10
Branch 22 | psi: 1.4500 | logL: -177.2047 | obj: 152.7457 | constraint_violation: 1.0350e-09
Branch 23 | psi: 1.4600 | logL: -176.9384 | obj: 152.7316 | constraint_violation: 7.7248e-11
Branch 24 | psi: 1.4700 | logL: -176.6741 | obj: 152.7385 | constraint_violation: 9.9711e-10
Branch 25 | psi: 1.4800 | logL: -176.6538 | obj: 152.7662 | constraint_violation: 4.7117e-09
Branch 26 | psi: 1.4900 | logL: -176.5991 | obj: 152.8107 | constraint_violation: 2.7301e-09
Branch 27 | psi: 1.5000 | logL: -176.5920 | obj: 152.8747 | constraint_violation: 7.4281e-09
Branch 28 | psi: 1.5100 | logL: -176.4447 | obj: 152.9551 | constraint_violation: 4.8474e-09
Branch 29 | psi: 1.5200 | logL: -176.3658 | obj: 153.0557 | constraint_violation: 1.9998e-09
Branch 30 | psi: 1.5300 | logL: -176.3345 | obj: 153.1713 | constraint_violation: 2.8628e-09
