Branch 1 | psi: 1.2400 | logL: -203.9918 | obj: 163.9508 | constraint_violation: 1.8483e-10
Branch 2 | psi: 1.2500 | logL: -181.8268 | obj: 163.5937 | constraint_violation: 2.0613e-10
Branch 3 | psi: 1.2600 | logL: -181.3420 | obj: 163.2993 | constraint_violation: 8.1775e-09
Branch 4 | psi: 1.2700 | logL: -181.0160 | obj: 163.0066 | constraint_violation: 3.0903e-09
Branch 5 | psi: 1.2800 | logL: -179.9890 | obj: 162.7363 | constraint_violation: 6.4134e-10
Branch 6 | psi: 1.2900 | logL: -180.1350 | obj: 162.4738 | constraint_violation: 2.6167e-10
Branch 7 | psi: 1.3000 | logL: -179.5619 | obj: 162.2225 | constraint_violation: 7.1564e-10
Branch 8 | psi: 1.3100 | logL: -179.1769 | obj: 161.9813 | constraint_violation: 3.6828e-11
Branch 9 | psi: 1.3200 | logL: -178.8112 | obj: 161.7489 | constraint_violation: 1.1108e-10
Branch 10 | psi: 1.3300 | logL: -178.9912 | obj: 161.5401 | constraint_violation: 4.7390e-09
Branch 11 | psi: 1.3400 | logL: -177.9524 | obj: 161.3302 | constraint_violation: 3.8234e-09
Branch 12 | psi: 1.3500 | logL: -177.9093 | obj: 161.1283 | constraint_violation: 4.8937e-09
Branch 13 | psi: 1.3600 | logL: -177.9424 | obj: 160.9360 | constraint_violation: 4.4833e-07
Branch 14 | psi: 1.3700 | logL: -178.2655 | obj: 160.7664 | constraint_violation: 1.8083e-06
Branch 15 | psi: 1.3800 | logL: -178.2055 | obj: 160.6193 | constraint_violation: 5.6877e-07
Branch 16 | psi: 1.3900 | logL: -177.5417 | obj: 160.4674 | constraint_violation: 9.9773e-08
Branch 17 | psi: 1.4000 | logL: -177.4971 | obj: 160.3453 | constraint_violation: 3.5804e-07
Branch 18 | psi: 1.4100 | logL: -177.4645 | obj: 160.2341 | constraint_violation: 4.9015e-08
Branch 19 | psi: 1.4200 | logL: -177.2781 | obj: 160.1449 | constraint_violation: 5.1076e-07
Branch 20 | psi: 1.4300 | logL: -177.1622 | obj: 160.0677 | constraint_violation: 2.2776e-08
Branch 21 | psi: 1.4400 | logL: -176.9983 | obj: 160.0163 | constraint_violation: 4.7705e-08
Branch 22 | psi: 1.4500 | logL: -176.8088 | obj: 159.9830 | constraint_violation: 5.3816e-09
Branch 23 | psi: 1.4600 | logL: -176.6625 | obj: 159.9701 | constraint_violation: 3.2656e-10
Branch 24 | psi: 1.4700 | logL: -176.9008 | obj: 159.9753 | constraint_violation: 2.6614e-09
Branch 25 | psi: 1.4800 | logL: -177.0037 | obj: 160.0064 | constraint_violation: 2.2992e-09
Branch 26 | psi: 1.4900 | logL: -176.2586 | obj: 160.0526 | constraint_violation: 9.9083e-10
Branch 27 | psi: 1.5000 | logL: -176.7854 | obj: 160.1181 | constraint_violation: 9.5948e-10
Branch 28 | psi: 1.5100 | logL: -176.6510 | obj: 160.2057 | constraint_violation: 4.3268e-10
Branch 29 | psi: 1.5200 | logL: -176.1748 | obj: 160.3134 | constraint_violation: 4.2800e-10
Branch 30 | psi: 1.5300 | logL: -176.8702 | obj: 160.4359 | constraint_violation: 3.8174e-10
Branch 31 | psi: 1.5400 | logL: -176.6277 | obj: 160.5771 | constraint_violation: 9.0834e-10
Branch 32 | psi: 1.5500 | logL: -176.8176 | obj: 160.7362 | constraint_violation: 1.0597e-09
Branch 33 | psi: 1.5600 | logL: -177.2457 | obj: 160.9112 | constraint_violation: 3.5795e-10
