Branch 1 | psi: 1.2400 | logL: -183.8327 | obj: 152.3641 | constraint_violation: 4.3676e-09
Branch 2 | psi: 1.2500 | logL: -182.9689 | obj: 152.0867 | constraint_violation: 6.3160e-09
Branch 3 | psi: 1.2600 | logL: -181.1580 | obj: 151.8179 | constraint_violation: 8.3004e-09
Branch 4 | psi: 1.2700 | logL: -180.3267 | obj: 151.5619 | constraint_violation: 2.2894e-09
Branch 5 | psi: 1.2800 | logL: -178.6057 | obj: 151.3186 | constraint_violation: 2.8464e-09
Branch 6 | psi: 1.2900 | logL: -178.4235 | obj: 151.0872 | constraint_violation: 5.5052e-09
Branch 7 | psi: 1.3000 | logL: -177.1253 | obj: 150.8694 | constraint_violation: 6.0457e-09
Branch 8 | psi: 1.3100 | logL: -177.1426 | obj: 150.6616 | constraint_violation: 6.7600e-09
Branch 9 | psi: 1.3200 | logL: -176.5709 | obj: 150.4683 | constraint_violation: 2.5043e-09
Branch 10 | psi: 1.3300 | logL: -176.6162 | obj: 150.2850 | constraint_violation: 2.1300e-09
Branch 11 | psi: 1.3400 | logL: -176.2657 | obj: 150.1148 | constraint_violation: 4.1591e-09
Branch 12 | psi: 1.3500 | logL: -176.0977 | obj: 149.9576 | constraint_violation: 1.8289e-09
Branch 13 | psi: 1.3600 | logL: -175.7873 | obj: 149.8136 | constraint_violation: 2.8111e-09
Branch 14 | psi: 1.3700 | logL: -175.9719 | obj: 149.6804 | constraint_violation: 2.6275e-09
Branch 15 | psi: 1.3800 | logL: -175.3934 | obj: 149.5626 | constraint_violation: 1.4852e-09
Branch 16 | psi: 1.3900 | logL: -175.2437 | obj: 149.4541 | constraint_violation: 3.6641e-09
Branch 17 | psi: 1.4000 | logL: -174.9281 | obj: 149.3605 | constraint_violation: 7.3802e-09
Branch 18 | psi: 1.4100 | logL: -175.0941 | obj: 149.2807 | constraint_violation: 8.2472e-10
Branch 19 | psi: 1.4200 | logL: -175.1887 | obj: 149.2130 | constraint_violation: 9.0652e-10
Branch 20 | psi: 1.4300 | logL: -175.2461 | obj: 149.1599 | constraint_violation: 1.4361e-09
Branch 21 | psi: 1.4400 | logL: -175.1074 | obj: 149.1217 | constraint_violation: 4.5387e-10
Branch 22 | psi: 1.4500 | logL: -174.7346 | obj: 149.0978 | constraint_violation: 1.0228e-10
Branch 23 | psi: 1.4600 | logL: -175.1154 | obj: 149.0878 | constraint_violation: 3.3639e-10
Branch 24 | psi: 1.4700 | logL: -174.5261 | obj: 149.0934 | constraint_violation: 1.2455e-09
Branch 25 | psi: 1.4800 | logL: -174.6682 | obj: 149.1133 | constraint_violation: 1.0998e-09
Branch 26 | psi: 1.4900 | logL: -174.8233 | obj: 149.1484 | constraint_violation: 5.1633e-09
Branch 27 | psi: 1.5000 | logL: -174.8539 | obj: 149.1990 | constraint_violation: 1.0370e-09
Branch 28 | psi: 1.5100 | logL: -174.7185 | obj: 149.2655 | constraint_violation: 8.8228e-10
Branch 29 | psi: 1.5200 | logL: -174.5611 | obj: 149.3466 | constraint_violation: 1.1381e-09
Branch 30 | psi: 1.5300 | logL: -174.5280 | obj: 149.4458 | constraint_violation: 2.3287e-09
Branch 31 | psi: 1.5400 | logL: -174.9462 | obj: 149.5580 | constraint_violation: 2.8581e-09
Branch 32 | psi: 1.5500 | logL: -175.0273 | obj: 149.6878 | constraint_violation: 7.5394e-10
Branch 33 | psi: 1.5600 | logL: -175.0599 | obj: 149.8345 | constraint_violation: 3.7548e-09
Branch 34 | psi: 1.5700 | logL: -175.0048 | obj: 149.9987 | constraint_violation: 7.4621e-10
Branch 35 | psi: 1.5800 | logL: -175.3078 | obj: 150.1803 | constraint_violation: 1.6807e-09
Branch 36 | psi: 1.5900 | logL: -175.6539 | obj: 150.3806 | constraint_violation: 1.9933e-09
Branch 37 | psi: 1.6000 | logL: -175.5596 | obj: 150.6004 | constraint_violation: 2.7444e-09
Branch 38 | psi: 1.6100 | logL: -175.9981 | obj: 150.8400 | constraint_violation: 3.0573e-09
Branch 39 | psi: 1.6200 | logL: -176.0726 | obj: 151.1013 | constraint_violation: 7.5614e-10
Branch 40 | psi: 1.6300 | logL: -176.5062 | obj: 151.3851 | constraint_violation: 7.9691e-10
Branch 41 | psi: 1.6400 | logL: -176.5952 | obj: 151.6945 | constraint_violation: 1.2484e-09
Branch 42 | psi: 1.6500 | logL: -176.7786 | obj: 152.0300 | constraint_violation: 1.4282e-09
Branch 43 | psi: 1.6600 | logL: -177.6834 | obj: 152.3943 | constraint_violation: 1.2751e-09
Branch 44 | psi: 1.6700 | logL: -177.9896 | obj: 152.7913 | constraint_violation: 1.8949e-09
Branch 45 | psi: 1.6800 | logL: -177.9687 | obj: 153.2256 | constraint_violation: 2.4333e-09
Branch 46 | psi: 1.6900 | logL: -178.2494 | obj: 153.7003 | constraint_violation: 2.7712e-09
Branch 47 | psi: 1.7000 | logL: -178.4364 | obj: 154.2235 | constraint_violation: 2.6254e-09
Branch 48 | psi: 1.7100 | logL: -179.7516 | obj: 154.7993 | constraint_violation: 5.5092e-10
Branch 49 | psi: 1.7200 | logL: -180.0080 | obj: 155.4418 | constraint_violation: 8.3366e-09
Branch 50 | psi: 1.7300 | logL: -180.4322 | obj: 156.1815 | constraint_violation: 1.2353e-06
Branch 51 | psi: 1.7400 | logL: -181.5854 | obj: 157.0120 | constraint_violation: 4.3446e-07
Branch 52 | psi: 1.7500 | logL: -182.1269 | obj: 157.9418 | constraint_violation: 9.5584e-10
