Branch 1 | psi: 1.2400 | logL: -181.2356 | obj: 164.9434 | constraint_violation: 5.0464e-10
Branch 2 | psi: 1.2500 | logL: -180.6969 | obj: 164.5028 | constraint_violation: 8.9257e-10
Branch 3 | psi: 1.2600 | logL: -180.3681 | obj: 164.0739 | constraint_violation: 6.6326e-09
Branch 4 | psi: 1.2700 | logL: -180.1162 | obj: 163.6545 | constraint_violation: 5.2732e-11
Branch 5 | psi: 1.2800 | logL: -179.8518 | obj: 163.2500 | constraint_violation: 5.3602e-09
Branch 6 | psi: 1.2900 | logL: -179.6401 | obj: 162.8598 | constraint_violation: 6.0019e-09
Branch 7 | psi: 1.3000 | logL: -179.3236 | obj: 162.4861 | constraint_violation: 3.4730e-09
Branch 8 | psi: 1.3100 | logL: -179.1026 | obj: 162.1260 | constraint_violation: 2.9815e-09
Branch 9 | psi: 1.3200 | logL: -178.9003 | obj: 161.7843 | constraint_violation: 1.9335e-09
Branch 10 | psi: 1.3300 | logL: -178.7737 | obj: 161.4574 | constraint_violation: 3.4861e-09
Branch 11 | psi: 1.3400 | logL: -178.4679 | obj: 161.1492 | constraint_violation: 3.3205e-09
Branch 12 | psi: 1.3500 | logL: -178.6051 | obj: 160.8592 | constraint_violation: 3.7035e-09
Branch 13 | psi: 1.3600 | logL: -178.5429 | obj: 160.5902 | constraint_violation: 5.0768e-09
Branch 14 | psi: 1.3700 | logL: -178.2174 | obj: 160.3417 | constraint_violation: 1.6125e-09
Branch 15 | psi: 1.3800 | logL: -177.9804 | obj: 160.1151 | constraint_violation: 1.6430e-09
Branch 16 | psi: 1.3900 | logL: -177.7688 | obj: 159.9129 | constraint_violation: 2.0510e-09
Branch 17 | psi: 1.4000 | logL: -177.8219 | obj: 159.7345 | constraint_violation: 4.2730e-09
Branch 18 | psi: 1.4100 | logL: -177.6448 | obj: 159.5814 | constraint_violation: 3.1381e-09
Branch 19 | psi: 1.4200 | logL: -177.5948 | obj: 159.4560 | constraint_violation: 3.4975e-09
Branch 20 | psi: 1.4300 | logL: -177.3243 | obj: 159.3576 | constraint_violation: 3.4558e-07
Branch 21 | psi: 1.4400 | logL: -176.9612 | obj: 159.2919 | constraint_violation: 4.7337e-06
