Branch 1 | psi: 1.2400 | logL: -180.0945 | obj: 169.8039 | constraint_violation: 6.0937e-10
Branch 2 | psi: 1.2500 | logL: -179.8611 | obj: 169.5517 | constraint_violation: 1.8656e-09
Branch 3 | psi: 1.2600 | logL: -179.6083 | obj: 169.3055 | constraint_violation: 5.5170e-10
Branch 4 | psi: 1.2700 | logL: -179.3673 | obj: 169.0694 | constraint_violation: 3.4367e-10
Branch 5 | psi: 1.2800 | logL: -179.1352 | obj: 168.8421 | constraint_violation: 2.2807e-09
Branch 6 | psi: 1.2900 | logL: -178.9665 | obj: 168.6247 | constraint_violation: 6.0558e-10
Branch 7 | psi: 1.3000 | logL: -178.7322 | obj: 168.4160 | constraint_violation: 6.8623e-10
Branch 8 | psi: 1.3100 | logL: -178.5485 | obj: 168.2174 | constraint_violation: 1.2278e-09
Branch 9 | psi: 1.3200 | logL: -178.3827 | obj: 168.0291 | constraint_violation: 1.6799e-10
Branch 10 | psi: 1.3300 | logL: -178.1964 | obj: 167.8511 | constraint_violation: 1.3132e-09
Branch 11 | psi: 1.3400 | logL: -178.0421 | obj: 167.6840 | constraint_violation: 1.5370e-09
Branch 12 | psi: 1.3500 | logL: -177.8834 | obj: 167.5279 | constraint_violation: 1.0240e-09
Branch 13 | psi: 1.3600 | logL: -177.7405 | obj: 167.3832 | constraint_violation: 7.2516e-10
Branch 14 | psi: 1.3700 | logL: -177.6008 | obj: 167.2504 | constraint_violation: 2.0877e-09
Branch 15 | psi: 1.3800 | logL: -177.4741 | obj: 167.1301 | constraint_violation: 1.4054e-09
Branch 16 | psi: 1.3900 | logL: -177.3567 | obj: 167.0218 | constraint_violation: 7.6611e-10
Branch 17 | psi: 1.4000 | logL: -177.2518 | obj: 166.9266 | constraint_violation: 3.4164e-10
Branch 18 | psi: 1.4100 | logL: -177.1877 | obj: 166.8443 | constraint_violation: 7.1113e-10
Branch 19 | psi: 1.4200 | logL: -177.1193 | obj: 166.7757 | constraint_violation: 2.1437e-10
Branch 20 | psi: 1.4300 | logL: -177.0587 | obj: 166.7212 | constraint_violation: 2.8040e-10
Branch 21 | psi: 1.4400 | logL: -177.0368 | obj: 166.6810 | constraint_violation: 3.4093e-10
Branch 22 | psi: 1.4500 | logL: -176.9736 | obj: 166.6560 | constraint_violation: 3.3889e-09
