Branch 1 | psi: 1.2400 | logL: -178.6327 | obj: 162.8720 | constraint_violation: 4.8807e-09
Branch 2 | psi: 1.2500 | logL: -177.9281 | obj: 162.6049 | constraint_violation: 4.1119e-09
Branch 3 | psi: 1.2600 | logL: -177.6452 | obj: 162.3453 | constraint_violation: 3.5940e-09
Branch 4 | psi: 1.2700 | logL: -177.3570 | obj: 162.0990 | constraint_violation: 1.9087e-09
Branch 5 | psi: 1.2800 | logL: -177.0013 | obj: 161.8596 | constraint_violation: 2.1915e-09
Branch 6 | psi: 1.2900 | logL: -176.6538 | obj: 161.6338 | constraint_violation: 8.9765e-09
Branch 7 | psi: 1.3000 | logL: -176.3668 | obj: 161.4139 | constraint_violation: 6.9359e-10
Branch 8 | psi: 1.3100 | logL: -176.2239 | obj: 161.2065 | constraint_violation: 6.6316e-10
Branch 9 | psi: 1.3200 | logL: -175.8259 | obj: 161.0098 | constraint_violation: 2.2502e-09
Branch 10 | psi: 1.3300 | logL: -175.6621 | obj: 160.8232 | constraint_violation: 6.7582e-10
Branch 11 | psi: 1.3400 | logL: -175.2547 | obj: 160.6482 | constraint_violation: 5.6837e-10
Branch 12 | psi: 1.3500 | logL: -175.1575 | obj: 160.4865 | constraint_violation: 8.1977e-10
Branch 13 | psi: 1.3600 | logL: -174.8313 | obj: 160.3363 | constraint_violation: 4.7759e-09
Branch 14 | psi: 1.3700 | logL: -174.6389 | obj: 160.1998 | constraint_violation: 9.0865e-10
Branch 15 | psi: 1.3800 | logL: -174.6648 | obj: 160.0742 | constraint_violation: 3.8694e-09
Branch 16 | psi: 1.3900 | logL: -174.3048 | obj: 159.9628 | constraint_violation: 5.8384e-10
Branch 17 | psi: 1.4000 | logL: -174.3547 | obj: 159.8659 | constraint_violation: 1.6169e-09
Branch 18 | psi: 1.4100 | logL: -174.0518 | obj: 159.7819 | constraint_violation: 2.9945e-09
Branch 19 | psi: 1.4200 | logL: -173.7421 | obj: 159.7151 | constraint_violation: 2.3599e-09
Branch 20 | psi: 1.4300 | logL: -173.8220 | obj: 159.6594 | constraint_violation: 1.8878e-09
Branch 21 | psi: 1.4400 | logL: -173.3220 | obj: 159.6184 | constraint_violation: 1.1515e-09
Branch 22 | psi: 1.4500 | logL: -173.2582 | obj: 159.5928 | constraint_violation: 4.2527e-09
Branch 23 | psi: 1.4600 | logL: -173.1481 | obj: 159.5834 | constraint_violation: 4.6277e-10
Branch 24 | psi: 1.4700 | logL: -172.8246 | obj: 159.5880 | constraint_violation: 1.5893e-09
Branch 25 | psi: 1.4800 | logL: -173.0914 | obj: 159.6083 | constraint_violation: 5.2765e-10
Branch 26 | psi: 1.4900 | logL: -172.8719 | obj: 159.6448 | constraint_violation: 1.1705e-09
Branch 27 | psi: 1.5000 | logL: -172.8794 | obj: 159.8596 | constraint_violation: 3.4839e-06
Branch 28 | psi: 1.5100 | logL: -172.6128 | obj: 159.7706 | constraint_violation: 1.0124e-06
Branch 29 | psi: 1.5200 | logL: -172.7511 | obj: 159.8558 | constraint_violation: 5.5413e-06
Branch 30 | psi: 1.5300 | logL: -173.0534 | obj: 159.9701 | constraint_violation: 1.9363e-07
Branch 31 | psi: 1.5400 | logL: -173.4339 | obj: 160.0712 | constraint_violation: 2.5315e-07
Branch 32 | psi: 1.5500 | logL: -172.8433 | obj: 160.2081 | constraint_violation: 5.5056e-06
Branch 33 | psi: 1.5600 | logL: -172.8831 | obj: 160.3623 | constraint_violation: 1.4280e-06
Branch 34 | psi: 1.5700 | logL: -173.0170 | obj: 160.5276 | constraint_violation: 3.9922e-07
Branch 35 | psi: 1.5800 | logL: -173.0572 | obj: 160.7209 | constraint_violation: 6.1434e-06
Branch 36 | psi: 1.5900 | logL: -173.2263 | obj: 160.9203 | constraint_violation: 2.4243e-07
Branch 37 | psi: 1.6000 | logL: -173.4409 | obj: 161.1489 | constraint_violation: 7.9303e-07
Branch 38 | psi: 1.6100 | logL: -173.2243 | obj: 161.3966 | constraint_violation: 2.6233e-06
Branch 39 | psi: 1.6200 | logL: -173.4652 | obj: 161.6598 | constraint_violation: 5.5754e-06
Branch 40 | psi: 1.6300 | logL: -173.6772 | obj: 161.9472 | constraint_violation: 5.2763e-07
Branch 41 | psi: 1.6400 | logL: -174.0092 | obj: 162.2652 | constraint_violation: 5.5416e-07
Branch 42 | psi: 1.6500 | logL: -174.1590 | obj: 162.6033 | constraint_violation: 4.0409e-07
Branch 43 | psi: 1.6600 | logL: -174.5570 | obj: 162.9726 | constraint_violation: 1.0274e-06
Branch 44 | psi: 1.6700 | logL: -174.8938 | obj: 163.3751 | constraint_violation: 1.0232e-06
Branch 45 | psi: 1.6800 | logL: -175.3325 | obj: 163.8168 | constraint_violation: 3.5015e-08
Branch 46 | psi: 1.6900 | logL: -175.6534 | obj: 164.2938 | constraint_violation: 2.3681e-07
Branch 47 | psi: 1.7000 | logL: -176.1245 | obj: 164.8196 | constraint_violation: 3.5298e-09
Branch 48 | psi: 1.7100 | logL: -176.6322 | obj: 165.4004 | constraint_violation: 2.7150e-09
Branch 49 | psi: 1.7200 | logL: -177.1856 | obj: 166.0467 | constraint_violation: 2.5359e-10
Branch 50 | psi: 1.7300 | logL: -177.9046 | obj: 166.7719 | constraint_violation: 3.5685e-10
Branch 51 | psi: 1.7400 | logL: -178.7702 | obj: 167.5976 | constraint_violation: 1.8140e-10
Branch 52 | psi: 1.7500 | logL: -179.6692 | obj: 168.5550 | constraint_violation: 1.3128e-09
Branch 53 | psi: 1.7600 | logL: -180.6072 | obj: 169.6979 | constraint_violation: 1.5472e-09
