Branch 1 | psi: 1.2400 | logL: -180.0118 | obj: 169.8162 | constraint_violation: 2.4570e-09
Branch 2 | psi: 1.2500 | logL: -179.7627 | obj: 169.5585 | constraint_violation: 1.0808e-09
Branch 3 | psi: 1.2600 | logL: -179.5498 | obj: 169.3076 | constraint_violation: 7.2126e-09
Branch 4 | psi: 1.2700 | logL: -179.3124 | obj: 169.0700 | constraint_violation: 4.2625e-09
Branch 5 | psi: 1.2800 | logL: -179.1071 | obj: 168.8428 | constraint_violation: 8.5716e-10
Branch 6 | psi: 1.2900 | logL: -178.8603 | obj: 168.6251 | constraint_violation: 2.8054e-09
Branch 7 | psi: 1.3000 | logL: -178.7187 | obj: 168.4160 | constraint_violation: 1.8086e-09
Branch 8 | psi: 1.3100 | logL: -178.5208 | obj: 168.2175 | constraint_violation: 1.9590e-09
Branch 9 | psi: 1.3200 | logL: -178.2866 | obj: 168.0300 | constraint_violation: 7.6464e-09
Branch 10 | psi: 1.3300 | logL: -178.1070 | obj: 167.8527 | constraint_violation: 5.3464e-09
Branch 11 | psi: 1.3400 | logL: -178.0028 | obj: 167.6842 | constraint_violation: 1.4999e-09
Branch 12 | psi: 1.3500 | logL: -177.8911 | obj: 167.5280 | constraint_violation: 1.2266e-09
Branch 13 | psi: 1.3600 | logL: -177.7058 | obj: 167.3839 | constraint_violation: 1.4391e-09
Branch 14 | psi: 1.3700 | logL: -177.6126 | obj: 167.2505 | constraint_violation: 1.5985e-09
Branch 15 | psi: 1.3800 | logL: -177.5032 | obj: 167.1301 | constraint_violation: 1.3057e-09
Branch 16 | psi: 1.3900 | logL: -177.3840 | obj: 167.0222 | constraint_violation: 2.9847e-10
Branch 17 | psi: 1.4000 | logL: -177.2884 | obj: 166.9262 | constraint_violation: 2.1240e-10
Branch 18 | psi: 1.4100 | logL: -177.2118 | obj: 166.8443 | constraint_violation: 5.8984e-10
Branch 19 | psi: 1.4200 | logL: -177.1270 | obj: 166.7755 | constraint_violation: 7.7253e-10
Branch 20 | psi: 1.4300 | logL: -177.0401 | obj: 166.7214 | constraint_violation: 4.6415e-10
Branch 21 | psi: 1.4400 | logL: -177.0299 | obj: 166.6808 | constraint_violation: 3.8171e-10
Branch 22 | psi: 1.4500 | logL: -176.9651 | obj: 166.6557 | constraint_violation: 8.2086e-10
Branch 23 | psi: 1.4600 | logL: -176.9679 | obj: 166.6453 | constraint_violation: 1.4097e-10
Branch 24 | psi: 1.4700 | logL: -176.9800 | obj: 166.6509 | constraint_violation: 3.2683e-09
Branch 25 | psi: 1.4800 | logL: -176.9188 | obj: 166.6724 | constraint_violation: 6.1936e-10
Branch 26 | psi: 1.4900 | logL: -176.9895 | obj: 166.7093 | constraint_violation: 4.7291e-09
Branch 27 | psi: 1.5000 | logL: -177.0073 | obj: 166.7637 | constraint_violation: 3.8065e-09
Branch 28 | psi: 1.5100 | logL: -177.0290 | obj: 166.8330 | constraint_violation: 1.7541e-09
Branch 29 | psi: 1.5200 | logL: -177.0856 | obj: 166.9199 | constraint_violation: 8.9441e-08
Branch 30 | psi: 1.5300 | logL: -177.2009 | obj: 167.0253 | constraint_violation: 4.0236e-06
Branch 31 | psi: 1.5400 | logL: -177.1837 | obj: 167.1453 | constraint_violation: 4.1464e-07
Branch 32 | psi: 1.5500 | logL: -177.3212 | obj: 167.2828 | constraint_violation: 4.2725e-06
Branch 33 | psi: 1.5600 | logL: -177.5058 | obj: 167.4440 | constraint_violation: 3.8806e-06
Branch 34 | psi: 1.5700 | logL: -177.7600 | obj: 167.6278 | constraint_violation: 2.8455e-07
Branch 35 | psi: 1.5800 | logL: -177.7405 | obj: 167.8104 | constraint_violation: 3.4432e-06
Branch 36 | psi: 1.5900 | logL: -177.7688 | obj: 168.0095 | constraint_violation: 5.4127e-06
Branch 37 | psi: 1.6000 | logL: -178.1043 | obj: 168.2479 | constraint_violation: 2.3496e-07
Branch 38 | psi: 1.6100 | logL: -178.0938 | obj: 168.4867 | constraint_violation: 2.1792e-06
Branch 39 | psi: 1.6200 | logL: -178.5565 | obj: 168.7691 | constraint_violation: 3.0169e-07
Branch 40 | psi: 1.6300 | logL: -178.7195 | obj: 169.0596 | constraint_violation: 5.3152e-07
Branch 41 | psi: 1.6400 | logL: -178.9788 | obj: 169.3784 | constraint_violation: 1.6467e-07
Branch 42 | psi: 1.6500 | logL: -179.2996 | obj: 169.7271 | constraint_violation: 1.9050e-07
Branch 43 | psi: 1.6600 | logL: -179.6310 | obj: 170.1036 | constraint_violation: 3.5674e-07
Branch 44 | psi: 1.6700 | logL: -179.9986 | obj: 170.5112 | constraint_violation: 1.7722e-08
Branch 45 | psi: 1.6800 | logL: -180.4131 | obj: 170.9529 | constraint_violation: 1.2273e-07
Branch 46 | psi: 1.6900 | logL: -180.5387 | obj: 171.4042 | constraint_violation: 4.0984e-08
Branch 47 | psi: 1.7000 | logL: -181.0385 | obj: 171.9302 | constraint_violation: 4.3634e-09
Branch 48 | psi: 1.7100 | logL: -181.5661 | obj: 172.5101 | constraint_violation: 1.1333e-09
Branch 49 | psi: 1.7200 | logL: -182.1583 | obj: 173.1539 | constraint_violation: 5.3574e-10
Branch 50 | psi: 1.7300 | logL: -182.8585 | obj: 173.8773 | constraint_violation: 1.1748e-10
Branch 51 | psi: 1.7400 | logL: -183.6366 | obj: 174.6997 | constraint_violation: 9.3996e-10
Branch 52 | psi: 1.7500 | logL: -184.5441 | obj: 175.6528 | constraint_violation: 2.2673e-09
Branch 53 | psi: 1.7600 | logL: -185.7146 | obj: 176.7921 | constraint_violation: 3.3100e-10
