Branch 1 | psi: 1.2400 | logL: -180.0323 | obj: 169.8271 | constraint_violation: 6.0278e-09
Branch 2 | psi: 1.2500 | logL: -179.8189 | obj: 169.5661 | constraint_violation: 1.9100e-09
Branch 3 | psi: 1.2600 | logL: -179.5515 | obj: 169.3162 | constraint_violation: 2.1581e-10
Branch 4 | psi: 1.2700 | logL: -179.3722 | obj: 169.0706 | constraint_violation: 4.3465e-09
Branch 5 | psi: 1.2800 | logL: -179.1331 | obj: 168.8429 | constraint_violation: 2.1580e-09
Branch 6 | psi: 1.2900 | logL: -178.9231 | obj: 168.6255 | constraint_violation: 3.0423e-09
Branch 7 | psi: 1.3000 | logL: -178.7208 | obj: 168.4161 | constraint_violation: 3.0264e-09
Branch 8 | psi: 1.3100 | logL: -178.5406 | obj: 168.2176 | constraint_violation: 1.8313e-09
Branch 9 | psi: 1.3200 | logL: -178.3523 | obj: 168.0305 | constraint_violation: 2.2007e-09
Branch 10 | psi: 1.3300 | logL: -178.1895 | obj: 167.8512 | constraint_violation: 1.9640e-09
Branch 11 | psi: 1.3400 | logL: -178.0442 | obj: 167.6842 | constraint_violation: 7.0141e-10
Branch 12 | psi: 1.3500 | logL: -177.8913 | obj: 167.5281 | constraint_violation: 1.9564e-10
Branch 13 | psi: 1.3600 | logL: -177.7443 | obj: 167.3834 | constraint_violation: 1.2105e-09
Branch 14 | psi: 1.3700 | logL: -177.6019 | obj: 167.2508 | constraint_violation: 1.4448e-09
Branch 15 | psi: 1.3800 | logL: -177.4893 | obj: 167.1299 | constraint_violation: 1.9118e-09
Branch 16 | psi: 1.3900 | logL: -177.3936 | obj: 167.0216 | constraint_violation: 2.5338e-10
Branch 17 | psi: 1.4000 | logL: -177.2873 | obj: 166.9265 | constraint_violation: 6.0553e-10
Branch 18 | psi: 1.4100 | logL: -177.1974 | obj: 166.8443 | constraint_violation: 2.8914e-10
Branch 19 | psi: 1.4200 | logL: -177.1465 | obj: 166.7762 | constraint_violation: 9.1601e-10
Branch 20 | psi: 1.4300 | logL: -177.0991 | obj: 166.7214 | constraint_violation: 1.4789e-10
Branch 21 | psi: 1.4400 | logL: -177.0573 | obj: 166.6812 | constraint_violation: 5.1396e-11
Branch 22 | psi: 1.4500 | logL: -176.9898 | obj: 166.6561 | constraint_violation: 2.1212e-09
Branch 23 | psi: 1.4600 | logL: -176.9655 | obj: 166.6455 | constraint_violation: 3.3211e-10
Branch 24 | psi: 1.4700 | logL: -176.9936 | obj: 166.6508 | constraint_violation: 3.5270e-09
Branch 25 | psi: 1.4800 | logL: -176.9453 | obj: 166.6720 | constraint_violation: 4.9661e-10
Branch 26 | psi: 1.4900 | logL: -176.9265 | obj: 166.7094 | constraint_violation: 1.7534e-09
Branch 27 | psi: 1.5000 | logL: -177.0100 | obj: 166.7634 | constraint_violation: 3.9526e-09
Branch 28 | psi: 1.5100 | logL: -177.0098 | obj: 166.8338 | constraint_violation: 1.4908e-09
Branch 29 | psi: 1.5200 | logL: -177.0850 | obj: 166.9207 | constraint_violation: 1.0619e-06
Branch 30 | psi: 1.5300 | logL: -177.1620 | obj: 167.0249 | constraint_violation: 4.2327e-06
Branch 31 | psi: 1.5400 | logL: -177.3018 | obj: 167.1490 | constraint_violation: 1.1295e-06
Branch 32 | psi: 1.5500 | logL: -177.3961 | obj: 167.2893 | constraint_violation: 1.7282e-07
Branch 33 | psi: 1.5600 | logL: -177.4849 | obj: 167.4397 | constraint_violation: 9.1683e-07
Branch 34 | psi: 1.5700 | logL: -177.6358 | obj: 167.6163 | constraint_violation: 9.9046e-07
Branch 35 | psi: 1.5800 | logL: -177.7824 | obj: 167.8125 | constraint_violation: 4.4270e-06
Branch 36 | psi: 1.5900 | logL: -177.7032 | obj: 168.0088 | constraint_violation: 2.6989e-06
Branch 37 | psi: 1.6000 | logL: -178.1272 | obj: 168.2485 | constraint_violation: 2.6071e-07
Branch 38 | psi: 1.6100 | logL: -178.0939 | obj: 168.4869 | constraint_violation: 8.0537e-07
Branch 39 | psi: 1.6200 | logL: -178.4557 | obj: 168.7718 | constraint_violation: 1.9434e-06
Branch 40 | psi: 1.6300 | logL: -178.7182 | obj: 169.0582 | constraint_violation: 6.7318e-07
Branch 41 | psi: 1.6400 | logL: -178.9181 | obj: 169.3759 | constraint_violation: 1.3512e-07
Branch 42 | psi: 1.6500 | logL: -179.2996 | obj: 169.7295 | constraint_violation: 4.9248e-08
Branch 43 | psi: 1.6600 | logL: -179.6436 | obj: 170.1059 | constraint_violation: 3.7858e-07
Branch 44 | psi: 1.6700 | logL: -179.9786 | obj: 170.5077 | constraint_violation: 1.4027e-07
Branch 45 | psi: 1.6800 | logL: -180.2051 | obj: 170.9315 | constraint_violation: 2.3363e-07
Branch 46 | psi: 1.6900 | logL: -180.5368 | obj: 171.4040 | constraint_violation: 4.0623e-08
Branch 47 | psi: 1.7000 | logL: -181.0462 | obj: 171.9301 | constraint_violation: 4.2979e-09
Branch 48 | psi: 1.7100 | logL: -181.5676 | obj: 172.5101 | constraint_violation: 1.1313e-09
Branch 49 | psi: 1.7200 | logL: -182.1782 | obj: 173.1541 | constraint_violation: 8.0389e-10
Branch 50 | psi: 1.7300 | logL: -182.8471 | obj: 173.8769 | constraint_violation: 1.0472e-09
Branch 51 | psi: 1.7400 | logL: -183.6388 | obj: 174.6995 | constraint_violation: 9.2115e-10
Branch 52 | psi: 1.7500 | logL: -184.5486 | obj: 175.6528 | constraint_violation: 8.3364e-09
Branch 53 | psi: 1.7600 | logL: -185.7130 | obj: 176.7920 | constraint_violation: 1.1594e-09
