Branch 1 | psi: 1.2400 | logL: -177.8782 | obj: 161.9020 | constraint_violation: 1.0174e-11
Branch 2 | psi: 1.2500 | logL: -177.6476 | obj: 161.6077 | constraint_violation: 2.6183e-11
Branch 3 | psi: 1.2600 | logL: -177.3442 | obj: 161.3196 | constraint_violation: 9.0157e-11
Branch 4 | psi: 1.2700 | logL: -177.1126 | obj: 161.0405 | constraint_violation: 8.5570e-11
Branch 5 | psi: 1.2800 | logL: -176.8793 | obj: 160.7696 | constraint_violation: 2.7373e-10
Branch 6 | psi: 1.2900 | logL: -176.6396 | obj: 160.5085 | constraint_violation: 9.0215e-11
Branch 7 | psi: 1.3000 | logL: -175.1837 | obj: 160.2718 | constraint_violation: 3.6670e-09
Branch 8 | psi: 1.3100 | logL: -174.9316 | obj: 160.0302 | constraint_violation: 7.0969e-09
Branch 9 | psi: 1.3200 | logL: -176.1196 | obj: 159.7823 | constraint_violation: 2.1715e-10
Branch 10 | psi: 1.3300 | logL: -175.8805 | obj: 159.5608 | constraint_violation: 1.3354e-10
Branch 11 | psi: 1.3400 | logL: -174.2394 | obj: 159.3690 | constraint_violation: 7.7521e-09
Branch 12 | psi: 1.3500 | logL: -175.4675 | obj: 159.1522 | constraint_violation: 4.1213e-11
Branch 13 | psi: 1.3600 | logL: -173.9809 | obj: 158.9804 | constraint_violation: 2.7019e-09
Branch 14 | psi: 1.3700 | logL: -173.9144 | obj: 158.8075 | constraint_violation: 1.7830e-09
Branch 15 | psi: 1.3800 | logL: -173.9525 | obj: 158.6732 | constraint_violation: 4.1752e-06
Branch 16 | psi: 1.3900 | logL: -173.8812 | obj: 158.5072 | constraint_violation: 1.4274e-07
Branch 17 | psi: 1.4000 | logL: -173.9581 | obj: 158.3667 | constraint_violation: 2.0824e-07
Branch 18 | psi: 1.4100 | logL: -173.5205 | obj: 158.2603 | constraint_violation: 6.8261e-06
Branch 19 | psi: 1.4200 | logL: -173.6048 | obj: 158.1650 | constraint_violation: 4.9919e-07
Branch 20 | psi: 1.4300 | logL: -173.5328 | obj: 158.0875 | constraint_violation: 2.0981e-07
Branch 21 | psi: 1.4400 | logL: -173.7269 | obj: 158.0243 | constraint_violation: 2.9137e-08
Branch 22 | psi: 1.4500 | logL: -173.7345 | obj: 157.9859 | constraint_violation: 1.0460e-07
Branch 23 | psi: 1.4600 | logL: -173.8059 | obj: 157.9712 | constraint_violation: 1.0489e-08
Branch 24 | psi: 1.4700 | logL: -173.8374 | obj: 157.9831 | constraint_violation: 4.5235e-07
Branch 25 | psi: 1.4800 | logL: -173.9007 | obj: 158.0118 | constraint_violation: 7.0799e-10
