Branch 1 | psi: 1.2400 | logL: -180.0672 | obj: 169.8122 | constraint_violation: 1.1682e-09
Branch 2 | psi: 1.2500 | logL: -179.8095 | obj: 169.5520 | constraint_violation: 3.9537e-10
Branch 3 | psi: 1.2600 | logL: -179.6037 | obj: 169.3058 | constraint_violation: 4.7563e-10
Branch 4 | psi: 1.2700 | logL: -179.3303 | obj: 169.0703 | constraint_violation: 4.5997e-09
Branch 5 | psi: 1.2800 | logL: -179.1323 | obj: 168.8423 | constraint_violation: 2.3260e-09
Branch 6 | psi: 1.2900 | logL: -178.8410 | obj: 168.6260 | constraint_violation: 2.4856e-09
Branch 7 | psi: 1.3000 | logL: -178.7396 | obj: 168.4159 | constraint_violation: 2.5817e-10
Branch 8 | psi: 1.3100 | logL: -178.5128 | obj: 168.2179 | constraint_violation: 1.8589e-09
Branch 9 | psi: 1.3200 | logL: -178.3573 | obj: 168.0294 | constraint_violation: 2.1195e-09
Branch 10 | psi: 1.3300 | logL: -178.1815 | obj: 167.8517 | constraint_violation: 1.3181e-09
Branch 11 | psi: 1.3400 | logL: -178.0248 | obj: 167.6844 | constraint_violation: 1.7393e-09
Branch 12 | psi: 1.3500 | logL: -177.8811 | obj: 167.5284 | constraint_violation: 4.5829e-10
Branch 13 | psi: 1.3600 | logL: -177.7519 | obj: 167.3835 | constraint_violation: 6.3083e-10
Branch 14 | psi: 1.3700 | logL: -177.6228 | obj: 167.2507 | constraint_violation: 1.9040e-09
Branch 15 | psi: 1.3800 | logL: -177.4895 | obj: 167.1299 | constraint_violation: 6.6756e-10
Branch 16 | psi: 1.3900 | logL: -177.3461 | obj: 167.0225 | constraint_violation: 4.6863e-10
Branch 17 | psi: 1.4000 | logL: -177.2854 | obj: 166.9262 | constraint_violation: 3.2105e-10
Branch 18 | psi: 1.4100 | logL: -177.1682 | obj: 166.8452 | constraint_violation: 7.8271e-10
Branch 19 | psi: 1.4200 | logL: -177.1132 | obj: 166.7756 | constraint_violation: 6.7232e-10
Branch 20 | psi: 1.4300 | logL: -177.0459 | obj: 166.7214 | constraint_violation: 4.1373e-10
Branch 21 | psi: 1.4400 | logL: -177.0029 | obj: 166.6819 | constraint_violation: 2.7790e-11
Branch 22 | psi: 1.4500 | logL: -176.9575 | obj: 166.6558 | constraint_violation: 3.1643e-09
Branch 23 | psi: 1.4600 | logL: -176.9259 | obj: 166.6463 | constraint_violation: 1.1161e-10
Branch 24 | psi: 1.4700 | logL: -176.9955 | obj: 166.6511 | constraint_violation: 4.0149e-09
Branch 25 | psi: 1.4800 | logL: -176.9728 | obj: 166.6723 | constraint_violation: 1.2794e-09
Branch 26 | psi: 1.4900 | logL: -176.9875 | obj: 166.7093 | constraint_violation: 3.6775e-09
Branch 27 | psi: 1.5000 | logL: -177.0262 | obj: 166.7631 | constraint_violation: 2.2315e-09
Branch 28 | psi: 1.5100 | logL: -177.0078 | obj: 166.8338 | constraint_violation: 1.6306e-09
Branch 29 | psi: 1.5200 | logL: -177.0591 | obj: 166.9205 | constraint_violation: 1.0002e-06
Branch 30 | psi: 1.5300 | logL: -177.3113 | obj: 167.0314 | constraint_violation: 4.1655e-06
Branch 31 | psi: 1.5400 | logL: -177.2794 | obj: 167.1488 | constraint_violation: 1.1541e-06
Branch 32 | psi: 1.5500 | logL: -177.3549 | obj: 167.2832 | constraint_violation: 2.5730e-07
Branch 33 | psi: 1.5600 | logL: -177.4949 | obj: 167.4416 | constraint_violation: 5.1741e-07
Branch 34 | psi: 1.5700 | logL: -177.8149 | obj: 167.6383 | constraint_violation: 4.5809e-07
Branch 35 | psi: 1.5800 | logL: -177.7707 | obj: 167.8124 | constraint_violation: 4.0063e-06
Branch 36 | psi: 1.5900 | logL: -177.7015 | obj: 168.0100 | constraint_violation: 2.1921e-06
Branch 37 | psi: 1.6000 | logL: -178.0981 | obj: 168.2489 | constraint_violation: 8.0473e-07
Branch 38 | psi: 1.6100 | logL: -178.0860 | obj: 168.4872 | constraint_violation: 2.6843e-06
