Branch 1 | psi: 1.2400 | logL: -180.0813 | obj: 169.8044 | constraint_violation: 2.7284e-09
Branch 2 | psi: 1.2500 | logL: -179.8203 | obj: 169.5513 | constraint_violation: 4.1490e-10
Branch 3 | psi: 1.2600 | logL: -179.6004 | obj: 169.3060 | constraint_violation: 2.0068e-10
Branch 4 | psi: 1.2700 | logL: -179.3711 | obj: 169.0699 | constraint_violation: 4.0247e-10
Branch 5 | psi: 1.2800 | logL: -179.1486 | obj: 168.8425 | constraint_violation: 2.0577e-09
Branch 6 | psi: 1.2900 | logL: -178.9130 | obj: 168.6245 | constraint_violation: 2.2782e-09
Branch 7 | psi: 1.3000 | logL: -178.7451 | obj: 168.4165 | constraint_violation: 2.7205e-10
Branch 8 | psi: 1.3100 | logL: -178.5489 | obj: 168.2178 | constraint_violation: 2.2947e-09
Branch 9 | psi: 1.3200 | logL: -178.3693 | obj: 168.0292 | constraint_violation: 2.3475e-09
Branch 10 | psi: 1.3300 | logL: -178.1549 | obj: 167.8517 | constraint_violation: 1.2910e-09
Branch 11 | psi: 1.3400 | logL: -178.0264 | obj: 167.6840 | constraint_violation: 3.0901e-10
Branch 12 | psi: 1.3500 | logL: -177.8693 | obj: 167.5282 | constraint_violation: 8.4280e-10
Branch 13 | psi: 1.3600 | logL: -177.7474 | obj: 167.3840 | constraint_violation: 1.8006e-10
Branch 14 | psi: 1.3700 | logL: -177.5898 | obj: 167.2510 | constraint_violation: 1.5840e-09
Branch 15 | psi: 1.3800 | logL: -177.4917 | obj: 167.1304 | constraint_violation: 2.1610e-09
Branch 16 | psi: 1.3900 | logL: -177.3623 | obj: 167.0220 | constraint_violation: 6.4298e-10
Branch 17 | psi: 1.4000 | logL: -177.3020 | obj: 166.9266 | constraint_violation: 9.0022e-10
Branch 18 | psi: 1.4100 | logL: -177.1967 | obj: 166.8443 | constraint_violation: 5.4916e-10
Branch 19 | psi: 1.4200 | logL: -177.1022 | obj: 166.7763 | constraint_violation: 3.5108e-10
Branch 20 | psi: 1.4300 | logL: -177.0885 | obj: 166.7214 | constraint_violation: 2.5295e-10
Branch 21 | psi: 1.4400 | logL: -177.0001 | obj: 166.6814 | constraint_violation: 3.1745e-10
Branch 22 | psi: 1.4500 | logL: -176.9138 | obj: 166.6568 | constraint_violation: 4.3694e-09
Branch 23 | psi: 1.4600 | logL: -176.9875 | obj: 166.6459 | constraint_violation: 2.3844e-10
Branch 24 | psi: 1.4700 | logL: -176.9517 | obj: 166.6513 | constraint_violation: 4.9908e-09
Branch 25 | psi: 1.4800 | logL: -176.9601 | obj: 166.6729 | constraint_violation: 8.6000e-10
Branch 26 | psi: 1.4900 | logL: -176.9817 | obj: 166.7092 | constraint_violation: 2.9548e-09
Branch 27 | psi: 1.5000 | logL: -177.0168 | obj: 166.7632 | constraint_violation: 7.4011e-09
Branch 28 | psi: 1.5100 | logL: -177.0150 | obj: 166.8330 | constraint_violation: 1.6943e-09
Branch 29 | psi: 1.5200 | logL: -177.1024 | obj: 166.9207 | constraint_violation: 9.8769e-07
Branch 30 | psi: 1.5300 | logL: -177.1285 | obj: 167.0239 | constraint_violation: 1.1214e-06
Branch 31 | psi: 1.5400 | logL: -177.3261 | obj: 167.1490 | constraint_violation: 1.1229e-06
Branch 32 | psi: 1.5500 | logL: -177.3209 | obj: 167.2825 | constraint_violation: 8.8023e-07
Branch 33 | psi: 1.5600 | logL: -177.4999 | obj: 167.4421 | constraint_violation: 4.4627e-07
Branch 34 | psi: 1.5700 | logL: -177.6292 | obj: 167.6142 | constraint_violation: 7.4889e-07
Branch 35 | psi: 1.5800 | logL: -177.7644 | obj: 167.8135 | constraint_violation: 3.0918e-06
Branch 36 | psi: 1.5900 | logL: -177.6924 | obj: 168.0080 | constraint_violation: 3.4270e-07
Branch 37 | psi: 1.6000 | logL: -178.0766 | obj: 168.2469 | constraint_violation: 7.8895e-08
Branch 38 | psi: 1.6100 | logL: -178.1018 | obj: 168.4872 | constraint_violation: 1.0514e-06
Branch 39 | psi: 1.6200 | logL: -178.4775 | obj: 168.7697 | constraint_violation: 9.0936e-07
Branch 40 | psi: 1.6300 | logL: -178.7172 | obj: 169.0589 | constraint_violation: 2.4540e-07
Branch 41 | psi: 1.6400 | logL: -178.9877 | obj: 169.3811 | constraint_violation: 2.0739e-07
Branch 42 | psi: 1.6500 | logL: -179.3501 | obj: 169.7298 | constraint_violation: 6.7408e-08
Branch 43 | psi: 1.6600 | logL: -179.6214 | obj: 170.1037 | constraint_violation: 2.0065e-07
Branch 44 | psi: 1.6700 | logL: -180.0362 | obj: 170.5154 | constraint_violation: 9.1603e-09
Branch 45 | psi: 1.6800 | logL: -180.2047 | obj: 170.9312 | constraint_violation: 6.8866e-10
Branch 46 | psi: 1.6900 | logL: -180.5377 | obj: 171.4039 | constraint_violation: 4.0465e-08
Branch 47 | psi: 1.7000 | logL: -181.0376 | obj: 171.9301 | constraint_violation: 4.3851e-09
Branch 48 | psi: 1.7100 | logL: -181.5670 | obj: 172.5100 | constraint_violation: 1.1431e-09
Branch 49 | psi: 1.7200 | logL: -182.1723 | obj: 173.1545 | constraint_violation: 5.2658e-10
