Branch 1 | psi: 1.2400 | logL: -180.0805 | obj: 169.8210 | constraint_violation: 6.7347e-09
Branch 2 | psi: 1.2500 | logL: -179.8722 | obj: 169.5527 | constraint_violation: 3.5619e-10
Branch 3 | psi: 1.2600 | logL: -179.5441 | obj: 169.3062 | constraint_violation: 4.8589e-09
Branch 4 | psi: 1.2700 | logL: -179.2990 | obj: 169.0720 | constraint_violation: 4.5898e-09
Branch 5 | psi: 1.2800 | logL: -179.1567 | obj: 168.8425 | constraint_violation: 1.9503e-10
Branch 6 | psi: 1.2900 | logL: -178.9539 | obj: 168.6249 | constraint_violation: 2.8211e-10
Branch 7 | psi: 1.3000 | logL: -178.7426 | obj: 168.4162 | constraint_violation: 2.2336e-09
Branch 8 | psi: 1.3100 | logL: -178.5459 | obj: 168.2177 | constraint_violation: 1.9602e-09
Branch 9 | psi: 1.3200 | logL: -178.3637 | obj: 168.0292 | constraint_violation: 5.4236e-10
Branch 10 | psi: 1.3300 | logL: -178.1784 | obj: 167.8514 | constraint_violation: 1.4738e-09
Branch 11 | psi: 1.3400 | logL: -178.0373 | obj: 167.6841 | constraint_violation: 1.5280e-09
Branch 12 | psi: 1.3500 | logL: -177.8811 | obj: 167.5282 | constraint_violation: 1.2583e-10
Branch 13 | psi: 1.3600 | logL: -177.7357 | obj: 167.3834 | constraint_violation: 3.3515e-10
Branch 14 | psi: 1.3700 | logL: -177.6199 | obj: 167.2522 | constraint_violation: 1.5079e-10
Branch 15 | psi: 1.3800 | logL: -177.5187 | obj: 167.1301 | constraint_violation: 1.2455e-09
Branch 16 | psi: 1.3900 | logL: -177.3931 | obj: 167.0217 | constraint_violation: 1.1181e-10
Branch 17 | psi: 1.4000 | logL: -177.2949 | obj: 166.9263 | constraint_violation: 8.6579e-10
Branch 18 | psi: 1.4100 | logL: -177.1845 | obj: 166.8443 | constraint_violation: 1.5593e-09
Branch 19 | psi: 1.4200 | logL: -177.1058 | obj: 166.7760 | constraint_violation: 4.3326e-10
Branch 20 | psi: 1.4300 | logL: -177.0748 | obj: 166.7218 | constraint_violation: 6.4938e-10
Branch 21 | psi: 1.4400 | logL: -177.0057 | obj: 166.6822 | constraint_violation: 4.6273e-10
Branch 22 | psi: 1.4500 | logL: -176.9931 | obj: 166.6562 | constraint_violation: 2.2896e-09
Branch 23 | psi: 1.4600 | logL: -176.9663 | obj: 166.6461 | constraint_violation: 7.4670e-10
Branch 24 | psi: 1.4700 | logL: -176.9752 | obj: 166.6509 | constraint_violation: 1.2650e-09
Branch 25 | psi: 1.4800 | logL: -176.9437 | obj: 166.6723 | constraint_violation: 2.0404e-10
Branch 26 | psi: 1.4900 | logL: -176.9919 | obj: 166.7096 | constraint_violation: 4.9157e-09
Branch 27 | psi: 1.5000 | logL: -177.0210 | obj: 166.7633 | constraint_violation: 3.9750e-09
Branch 28 | psi: 1.5100 | logL: -177.0600 | obj: 166.8344 | constraint_violation: 1.4669e-09
Branch 29 | psi: 1.5200 | logL: -177.0769 | obj: 166.9204 | constraint_violation: 1.0259e-06
Branch 30 | psi: 1.5300 | logL: -177.1924 | obj: 167.0255 | constraint_violation: 4.2091e-06
Branch 31 | psi: 1.5400 | logL: -177.2884 | obj: 167.1486 | constraint_violation: 1.1525e-06
Branch 32 | psi: 1.5500 | logL: -177.3542 | obj: 167.2834 | constraint_violation: 1.2485e-06
Branch 33 | psi: 1.5600 | logL: -177.4322 | obj: 167.4381 | constraint_violation: 5.1381e-09
Branch 34 | psi: 1.5700 | logL: -177.4447 | obj: 167.6443 | constraint_violation: 2.3339e-07
Branch 35 | psi: 1.5800 | logL: -177.7345 | obj: 167.8058 | constraint_violation: 1.0833e-07
Branch 36 | psi: 1.5900 | logL: -177.7080 | obj: 168.0089 | constraint_violation: 2.0228e-06
Branch 37 | psi: 1.6000 | logL: -178.1053 | obj: 168.2478 | constraint_violation: 2.1705e-07
Branch 38 | psi: 1.6100 | logL: -178.1008 | obj: 168.4871 | constraint_violation: 2.2453e-06
Branch 39 | psi: 1.6200 | logL: -178.4892 | obj: 168.7647 | constraint_violation: 9.5116e-08
Branch 40 | psi: 1.6300 | logL: -178.5977 | obj: 169.0557 | constraint_violation: 2.3348e-07
Branch 41 | psi: 1.6400 | logL: -179.0235 | obj: 169.3808 | constraint_violation: 6.0866e-07
Branch 42 | psi: 1.6500 | logL: -179.2227 | obj: 169.7199 | constraint_violation: 4.6095e-08
Branch 43 | psi: 1.6600 | logL: -179.5478 | obj: 170.0982 | constraint_violation: 1.2572e-07
Branch 44 | psi: 1.6700 | logL: -179.9847 | obj: 170.5056 | constraint_violation: 5.7222e-08
Branch 45 | psi: 1.6800 | logL: -180.2120 | obj: 170.9315 | constraint_violation: 2.3684e-07
Branch 46 | psi: 1.6900 | logL: -180.5315 | obj: 171.4041 | constraint_violation: 4.0681e-08
