Branch 1 | psi: 1.2400 | logL: -180.0995 | obj: 169.8044 | constraint_violation: 7.0225e-09
Branch 2 | psi: 1.2500 | logL: -179.8440 | obj: 169.5513 | constraint_violation: 5.0128e-10
Branch 3 | psi: 1.2600 | logL: -179.6174 | obj: 169.3059 | constraint_violation: 5.3735e-10
Branch 4 | psi: 1.2700 | logL: -179.3974 | obj: 169.0712 | constraint_violation: 4.1421e-09
Branch 5 | psi: 1.2800 | logL: -179.1610 | obj: 168.8425 | constraint_violation: 2.4792e-09
Branch 6 | psi: 1.2900 | logL: -178.9231 | obj: 168.6244 | constraint_violation: 5.7678e-10
Branch 7 | psi: 1.3000 | logL: -178.7877 | obj: 168.4170 | constraint_violation: 5.9029e-10
Branch 8 | psi: 1.3100 | logL: -178.5213 | obj: 168.2182 | constraint_violation: 1.5481e-09
Branch 9 | psi: 1.3200 | logL: -178.3785 | obj: 168.0291 | constraint_violation: 8.4705e-10
Branch 10 | psi: 1.3300 | logL: -178.1913 | obj: 167.8521 | constraint_violation: 6.9759e-10
Branch 11 | psi: 1.3400 | logL: -178.0263 | obj: 167.6841 | constraint_violation: 8.9040e-10
Branch 12 | psi: 1.3500 | logL: -177.8618 | obj: 167.5284 | constraint_violation: 1.1132e-09
Branch 13 | psi: 1.3600 | logL: -177.7175 | obj: 167.3846 | constraint_violation: 9.9393e-10
Branch 14 | psi: 1.3700 | logL: -177.6259 | obj: 167.2507 | constraint_violation: 1.6305e-09
Branch 15 | psi: 1.3800 | logL: -177.5183 | obj: 167.1300 | constraint_violation: 2.1245e-09
Branch 16 | psi: 1.3900 | logL: -177.3778 | obj: 167.0220 | constraint_violation: 9.2655e-10
Branch 17 | psi: 1.4000 | logL: -177.2983 | obj: 166.9266 | constraint_violation: 9.3355e-10
Branch 18 | psi: 1.4100 | logL: -177.2098 | obj: 166.8445 | constraint_violation: 8.6419e-10
Branch 19 | psi: 1.4200 | logL: -177.1296 | obj: 166.7768 | constraint_violation: 3.0907e-10
Branch 20 | psi: 1.4300 | logL: -177.0733 | obj: 166.7211 | constraint_violation: 1.7836e-10
Branch 21 | psi: 1.4400 | logL: -177.0279 | obj: 166.6808 | constraint_violation: 3.4267e-10
Branch 22 | psi: 1.4500 | logL: -176.9473 | obj: 166.6569 | constraint_violation: 2.9872e-09
Branch 23 | psi: 1.4600 | logL: -176.9849 | obj: 166.6453 | constraint_violation: 1.2733e-10
Branch 24 | psi: 1.4700 | logL: -176.9850 | obj: 166.6509 | constraint_violation: 2.6575e-09
Branch 25 | psi: 1.4800 | logL: -176.9516 | obj: 166.6719 | constraint_violation: 1.1418e-09
Branch 26 | psi: 1.4900 | logL: -176.9730 | obj: 166.7093 | constraint_violation: 3.2404e-09
Branch 27 | psi: 1.5000 | logL: -176.9976 | obj: 166.7630 | constraint_violation: 3.9640e-09
Branch 28 | psi: 1.5100 | logL: -177.0261 | obj: 166.8330 | constraint_violation: 1.4865e-09
Branch 29 | psi: 1.5200 | logL: -177.1048 | obj: 166.9206 | constraint_violation: 1.0589e-06
Branch 30 | psi: 1.5300 | logL: -177.2985 | obj: 167.0302 | constraint_violation: 5.3883e-06
Branch 31 | psi: 1.5400 | logL: -177.2617 | obj: 167.1458 | constraint_violation: 1.0156e-06
Branch 32 | psi: 1.5500 | logL: -177.3356 | obj: 167.2831 | constraint_violation: 1.0154e-06
