Branch 1 | psi: 1.2400 | logL: -180.8037 | obj: 168.7036 | constraint_violation: 1.6472e-09
Branch 2 | psi: 1.2500 | logL: -180.2936 | obj: 168.4364 | constraint_violation: 7.2131e-10
Branch 3 | psi: 1.2600 | logL: -180.0271 | obj: 168.1755 | constraint_violation: 7.2153e-11
Branch 4 | psi: 1.2700 | logL: -179.7605 | obj: 167.9230 | constraint_violation: 1.0516e-10
Branch 5 | psi: 1.2800 | logL: -179.0310 | obj: 167.6851 | constraint_violation: 5.2097e-09
Branch 6 | psi: 1.2900 | logL: -178.7569 | obj: 167.4478 | constraint_violation: 9.2632e-09
Branch 7 | psi: 1.3000 | logL: -178.7408 | obj: 167.2173 | constraint_violation: 1.6720e-10
Branch 8 | psi: 1.3100 | logL: -178.4141 | obj: 166.9970 | constraint_violation: 6.4197e-09
Branch 9 | psi: 1.3200 | logL: -178.1169 | obj: 166.7863 | constraint_violation: 1.3527e-10
Branch 10 | psi: 1.3300 | logL: -177.8518 | obj: 166.5859 | constraint_violation: 8.7591e-10
Branch 11 | psi: 1.3400 | logL: -177.8081 | obj: 166.3933 | constraint_violation: 4.3184e-10
Branch 12 | psi: 1.3500 | logL: -177.6182 | obj: 166.2128 | constraint_violation: 7.8650e-09
Branch 13 | psi: 1.3600 | logL: -177.2747 | obj: 166.0448 | constraint_violation: 2.1014e-10
Branch 14 | psi: 1.3700 | logL: -177.2799 | obj: 165.8839 | constraint_violation: 2.2378e-10
Branch 15 | psi: 1.3800 | logL: -177.6107 | obj: 165.7340 | constraint_violation: 6.8846e-10
Branch 16 | psi: 1.3900 | logL: -177.3118 | obj: 165.6020 | constraint_violation: 5.5840e-10
Branch 17 | psi: 1.4000 | logL: -177.1849 | obj: 165.4848 | constraint_violation: 1.3505e-10
Branch 18 | psi: 1.4100 | logL: -176.8632 | obj: 165.4959 | constraint_violation: 2.0583e-06
Branch 19 | psi: 1.4200 | logL: -176.9690 | obj: 165.4353 | constraint_violation: 2.8047e-06
Branch 20 | psi: 1.4300 | logL: -176.5376 | obj: 165.2335 | constraint_violation: 8.2915e-07
Branch 21 | psi: 1.4400 | logL: -176.7772 | obj: 165.2230 | constraint_violation: 1.2126e-05
Branch 22 | psi: 1.4500 | logL: -176.5775 | obj: 165.1443 | constraint_violation: 8.2134e-06
Branch 23 | psi: 1.4600 | logL: -176.5391 | obj: 165.1240 | constraint_violation: 8.3372e-08
Branch 24 | psi: 1.4700 | logL: -176.5255 | obj: 165.1330 | constraint_violation: 3.8716e-08
Branch 25 | psi: 1.4800 | logL: -176.5317 | obj: 165.1636 | constraint_violation: 5.4777e-09
Branch 26 | psi: 1.4900 | logL: -176.6879 | obj: 165.2236 | constraint_violation: 5.8954e-09
Branch 27 | psi: 1.5000 | logL: -176.7994 | obj: 165.3114 | constraint_violation: 2.4425e-09
Branch 28 | psi: 1.5100 | logL: -175.8729 | obj: 165.3755 | constraint_violation: 8.6010e-11
Branch 29 | psi: 1.5200 | logL: -175.6186 | obj: 165.4885 | constraint_violation: 1.5701e-11
Branch 30 | psi: 1.5300 | logL: -175.5865 | obj: 165.6186 | constraint_violation: 5.3489e-10
Branch 31 | psi: 1.5400 | logL: -175.5323 | obj: 165.7659 | constraint_violation: 1.2405e-09
Branch 32 | psi: 1.5500 | logL: -175.4706 | obj: 165.9304 | constraint_violation: 1.7367e-09
Branch 33 | psi: 1.5600 | logL: -175.4317 | obj: 166.1098 | constraint_violation: 9.0468e-10
Branch 34 | psi: 1.5700 | logL: -175.4511 | obj: 166.3061 | constraint_violation: 7.1567e-10
Branch 35 | psi: 1.5800 | logL: -175.4316 | obj: 166.5189 | constraint_violation: 5.0478e-10
Branch 36 | psi: 1.5900 | logL: -175.3885 | obj: 166.7503 | constraint_violation: 1.8491e-10
Branch 37 | psi: 1.6000 | logL: -175.5414 | obj: 166.9978 | constraint_violation: 2.3343e-10
Branch 38 | psi: 1.6100 | logL: -176.1196 | obj: 167.2697 | constraint_violation: 1.4110e-10
Branch 39 | psi: 1.6200 | logL: -176.2152 | obj: 167.5569 | constraint_violation: 1.4050e-10
Branch 40 | psi: 1.6300 | logL: -176.4395 | obj: 167.8661 | constraint_violation: 2.0915e-10
Branch 41 | psi: 1.6400 | logL: -176.6931 | obj: 168.1831 | constraint_violation: 8.6693e-11
Branch 42 | psi: 1.6500 | logL: -176.9501 | obj: 168.5423 | constraint_violation: 2.8452e-10
Branch 43 | psi: 1.6600 | logL: -177.1651 | obj: 168.9242 | constraint_violation: 8.2532e-10
Branch 44 | psi: 1.6700 | logL: -177.6538 | obj: 169.3645 | constraint_violation: 1.5258e-09
Branch 45 | psi: 1.6800 | logL: -177.9587 | obj: 169.8142 | constraint_violation: 5.9716e-10
Branch 46 | psi: 1.6900 | logL: -178.3449 | obj: 170.2944 | constraint_violation: 1.3907e-09
Branch 47 | psi: 1.7000 | logL: -178.7258 | obj: 170.8177 | constraint_violation: 1.2347e-09
Branch 48 | psi: 1.7100 | logL: -179.2017 | obj: 171.4008 | constraint_violation: 2.8362e-09
Branch 49 | psi: 1.7200 | logL: -179.9147 | obj: 171.9969 | constraint_violation: 1.3181e-09
Branch 50 | psi: 1.7300 | logL: -180.5929 | obj: 172.7110 | constraint_violation: 2.8567e-10
Branch 51 | psi: 1.7400 | logL: -181.3789 | obj: 173.5218 | constraint_violation: 4.5611e-10
Branch 52 | psi: 1.7500 | logL: -182.2851 | obj: 174.4580 | constraint_violation: 7.5446e-10
Branch 53 | psi: 1.7600 | logL: -183.3005 | obj: 175.5712 | constraint_violation: 1.4051e-10
