Branch 1 | psi: 1.2400 | logL: -184.2209 | obj: 162.3210 | constraint_violation: 3.7170e-10
Branch 2 | psi: 1.2500 | logL: -183.6436 | obj: 161.8565 | constraint_violation: 2.0052e-10
Branch 3 | psi: 1.2600 | logL: -182.9096 | obj: 161.3992 | constraint_violation: 7.2676e-10
Branch 4 | psi: 1.2700 | logL: -182.3330 | obj: 160.9483 | constraint_violation: 1.9008e-09
Branch 5 | psi: 1.2800 | logL: -181.7777 | obj: 160.4996 | constraint_violation: 2.6988e-09
Branch 6 | psi: 1.2900 | logL: -181.4552 | obj: 160.0574 | constraint_violation: 1.9020e-09
Branch 7 | psi: 1.3000 | logL: -181.0586 | obj: 159.6218 | constraint_violation: 1.3593e-09
Branch 8 | psi: 1.3100 | logL: -180.7024 | obj: 159.1954 | constraint_violation: 2.0559e-09
Branch 9 | psi: 1.3200 | logL: -180.1372 | obj: 158.7813 | constraint_violation: 1.0956e-09
Branch 10 | psi: 1.3300 | logL: -179.9755 | obj: 158.3742 | constraint_violation: 5.3602e-09
Branch 11 | psi: 1.3400 | logL: -179.7170 | obj: 157.9847 | constraint_violation: 3.3598e-11
Branch 12 | psi: 1.3500 | logL: -179.4779 | obj: 157.6128 | constraint_violation: 7.1184e-09
Branch 13 | psi: 1.3600 | logL: -179.3182 | obj: 157.2628 | constraint_violation: 1.6491e-09
Branch 14 | psi: 1.3700 | logL: -179.2059 | obj: 156.9365 | constraint_violation: 4.3877e-10
Branch 15 | psi: 1.3800 | logL: -179.0346 | obj: 156.6344 | constraint_violation: 4.4787e-09
Branch 16 | psi: 1.3900 | logL: -178.8076 | obj: 156.3790 | constraint_violation: 1.6070e-07
Branch 17 | psi: 1.4000 | logL: -178.6939 | obj: 156.1408 | constraint_violation: 4.3118e-07
Branch 18 | psi: 1.4100 | logL: -178.4028 | obj: 155.9247 | constraint_violation: 8.3023e-08
Branch 19 | psi: 1.4200 | logL: -178.1059 | obj: 155.7617 | constraint_violation: 4.0467e-09
Branch 20 | psi: 1.4300 | logL: -177.8078 | obj: 155.6395 | constraint_violation: 2.9206e-09
Branch 21 | psi: 1.4400 | logL: -177.3818 | obj: 155.5526 | constraint_violation: 1.0538e-10
Branch 22 | psi: 1.4500 | logL: -177.0290 | obj: 155.4994 | constraint_violation: 4.8549e-11
Branch 23 | psi: 1.4600 | logL: -176.9947 | obj: 155.4750 | constraint_violation: 2.7428e-10
Branch 24 | psi: 1.4700 | logL: -176.7137 | obj: 155.4856 | constraint_violation: 5.9744e-11
Branch 25 | psi: 1.4800 | logL: -176.6033 | obj: 155.5295 | constraint_violation: 1.4210e-09
Branch 26 | psi: 1.4900 | logL: -176.2915 | obj: 155.5823 | constraint_violation: 2.9522e-10
Branch 27 | psi: 1.5000 | logL: -176.1665 | obj: 155.6686 | constraint_violation: 4.8814e-11
Branch 28 | psi: 1.5100 | logL: -175.8974 | obj: 155.7725 | constraint_violation: 6.3545e-10
Branch 29 | psi: 1.5200 | logL: -175.6186 | obj: 155.8974 | constraint_violation: 5.1869e-11
Branch 30 | psi: 1.5300 | logL: -175.6835 | obj: 156.0396 | constraint_violation: 3.9623e-10
Branch 31 | psi: 1.5400 | logL: -175.5947 | obj: 156.1999 | constraint_violation: 1.9240e-10
Branch 32 | psi: 1.5500 | logL: -175.6505 | obj: 156.3758 | constraint_violation: 6.1688e-10
Branch 33 | psi: 1.5600 | logL: -175.6035 | obj: 156.5701 | constraint_violation: 1.4971e-09
Branch 34 | psi: 1.5700 | logL: -175.7452 | obj: 156.7789 | constraint_violation: 2.5194e-09
Branch 35 | psi: 1.5800 | logL: -175.7857 | obj: 157.0093 | constraint_violation: 2.0063e-09
Branch 36 | psi: 1.5900 | logL: -175.8251 | obj: 157.2516 | constraint_violation: 2.6687e-08
Branch 37 | psi: 1.6000 | logL: -175.8515 | obj: 157.5189 | constraint_violation: 6.5133e-08
Branch 38 | psi: 1.6100 | logL: -176.2187 | obj: 157.8024 | constraint_violation: 7.3024e-08
Branch 39 | psi: 1.6200 | logL: -176.3341 | obj: 158.1099 | constraint_violation: 1.1661e-07
Branch 40 | psi: 1.6300 | logL: -176.7102 | obj: 158.4332 | constraint_violation: 1.9914e-07
Branch 41 | psi: 1.6400 | logL: -176.7299 | obj: 158.7830 | constraint_violation: 4.2348e-06
Branch 42 | psi: 1.6500 | logL: -177.1035 | obj: 159.1610 | constraint_violation: 3.2246e-06
Branch 43 | psi: 1.6600 | logL: -177.3211 | obj: 159.5531 | constraint_violation: 1.4698e-07
Branch 44 | psi: 1.6700 | logL: -177.7097 | obj: 159.9767 | constraint_violation: 1.3783e-06
Branch 45 | psi: 1.6800 | logL: -177.9316 | obj: 160.4373 | constraint_violation: 5.9870e-08
Branch 46 | psi: 1.6900 | logL: -178.1325 | obj: 160.9395 | constraint_violation: 4.8990e-07
Branch 47 | psi: 1.7000 | logL: -178.5897 | obj: 161.4862 | constraint_violation: 2.6629e-07
Branch 48 | psi: 1.7100 | logL: -179.0004 | obj: 162.0845 | constraint_violation: 3.5473e-08
Branch 49 | psi: 1.7200 | logL: -179.5599 | obj: 162.7436 | constraint_violation: 4.9747e-09
Branch 50 | psi: 1.7300 | logL: -180.1476 | obj: 163.4773 | constraint_violation: 7.8963e-09
Branch 51 | psi: 1.7400 | logL: -180.8849 | obj: 164.3051 | constraint_violation: 1.6185e-09
Branch 52 | psi: 1.7500 | logL: -181.7246 | obj: 165.2568 | constraint_violation: 2.5941e-09
Branch 53 | psi: 1.7600 | logL: -182.5548 | obj: 166.3768 | constraint_violation: 2.3819e-09
