Branch 1 | psi: 1.2400 | logL: -180.5864 | obj: 162.7995 | constraint_violation: 1.0119e-09
Branch 2 | psi: 1.2500 | logL: -180.2405 | obj: 162.5651 | constraint_violation: 2.8771e-10
Branch 3 | psi: 1.2600 | logL: -179.9388 | obj: 162.3406 | constraint_violation: 1.3671e-09
Branch 4 | psi: 1.2700 | logL: -179.6740 | obj: 162.1292 | constraint_violation: 3.4796e-09
Branch 5 | psi: 1.2800 | logL: -179.3965 | obj: 161.9256 | constraint_violation: 1.0828e-09
Branch 6 | psi: 1.2900 | logL: -179.1740 | obj: 161.7327 | constraint_violation: 8.0526e-10
Branch 7 | psi: 1.3000 | logL: -178.9324 | obj: 161.5511 | constraint_violation: 4.1022e-09
Branch 8 | psi: 1.3100 | logL: -178.7949 | obj: 161.3777 | constraint_violation: 5.0432e-09
Branch 9 | psi: 1.3200 | logL: -178.6553 | obj: 161.2164 | constraint_violation: 3.0512e-09
Branch 10 | psi: 1.3300 | logL: -178.3534 | obj: 161.0649 | constraint_violation: 1.7615e-09
Branch 11 | psi: 1.3400 | logL: -178.1547 | obj: 160.9244 | constraint_violation: 1.7585e-09
Branch 12 | psi: 1.3500 | logL: -178.0256 | obj: 160.7942 | constraint_violation: 7.4411e-10
Branch 13 | psi: 1.3600 | logL: -177.7972 | obj: 160.6755 | constraint_violation: 1.7892e-09
Branch 14 | psi: 1.3700 | logL: -177.5854 | obj: 160.5675 | constraint_violation: 2.9119e-09
Branch 15 | psi: 1.3800 | logL: -177.4253 | obj: 160.4704 | constraint_violation: 8.4911e-10
Branch 16 | psi: 1.3900 | logL: -177.3816 | obj: 160.3820 | constraint_violation: 1.2613e-09
Branch 17 | psi: 1.4000 | logL: -177.2806 | obj: 160.3064 | constraint_violation: 1.0737e-09
Branch 18 | psi: 1.4100 | logL: -177.1557 | obj: 160.2405 | constraint_violation: 1.0696e-09
Branch 19 | psi: 1.4200 | logL: -177.1636 | obj: 160.1859 | constraint_violation: 1.0600e-09
Branch 20 | psi: 1.4300 | logL: -177.1040 | obj: 160.1432 | constraint_violation: 2.6934e-10
Branch 21 | psi: 1.4400 | logL: -176.8969 | obj: 160.1118 | constraint_violation: 3.7976e-10
Branch 22 | psi: 1.4500 | logL: -176.8003 | obj: 160.0926 | constraint_violation: 1.3651e-10
Branch 23 | psi: 1.4600 | logL: -176.8427 | obj: 160.0843 | constraint_violation: 5.7919e-11
Branch 24 | psi: 1.4700 | logL: -176.8128 | obj: 160.0886 | constraint_violation: 4.7722e-11
Branch 25 | psi: 1.4800 | logL: -176.7647 | obj: 160.1054 | constraint_violation: 1.2838e-09
Branch 26 | psi: 1.4900 | logL: -176.9179 | obj: 160.1344 | constraint_violation: 1.2408e-09
Branch 27 | psi: 1.5000 | logL: -176.8879 | obj: 160.1760 | constraint_violation: 2.0101e-09
