Branch 1 | psi: 1.2400 | logL: -180.0863 | obj: 169.8090 | constraint_violation: 9.8510e-10
Branch 2 | psi: 1.2500 | logL: -179.8148 | obj: 169.5508 | constraint_violation: 5.2550e-10
Branch 3 | psi: 1.2600 | logL: -179.5701 | obj: 169.3070 | constraint_violation: 4.6357e-10
Branch 4 | psi: 1.2700 | logL: -179.3474 | obj: 169.0697 | constraint_violation: 3.8122e-10
Branch 5 | psi: 1.2800 | logL: -179.1536 | obj: 168.8424 | constraint_violation: 1.3844e-10
Branch 6 | psi: 1.2900 | logL: -178.9477 | obj: 168.6244 | constraint_violation: 4.8821e-10
Branch 7 | psi: 1.3000 | logL: -178.7270 | obj: 168.4161 | constraint_violation: 2.2031e-10
Branch 8 | psi: 1.3100 | logL: -178.5442 | obj: 168.2176 | constraint_violation: 1.2138e-10
Branch 9 | psi: 1.3200 | logL: -178.3302 | obj: 168.0294 | constraint_violation: 2.3607e-09
Branch 10 | psi: 1.3300 | logL: -178.1507 | obj: 167.8519 | constraint_violation: 1.9437e-09
Branch 11 | psi: 1.3400 | logL: -178.0213 | obj: 167.6843 | constraint_violation: 1.6128e-10
Branch 12 | psi: 1.3500 | logL: -177.8619 | obj: 167.5284 | constraint_violation: 5.5698e-10
Branch 13 | psi: 1.3600 | logL: -177.7465 | obj: 167.3839 | constraint_violation: 8.8296e-10
Branch 14 | psi: 1.3700 | logL: -177.5898 | obj: 167.2515 | constraint_violation: 1.6761e-09
Branch 15 | psi: 1.3800 | logL: -177.5319 | obj: 167.1302 | constraint_violation: 5.5670e-10
Branch 16 | psi: 1.3900 | logL: -177.3954 | obj: 167.0219 | constraint_violation: 4.0656e-10
Branch 17 | psi: 1.4000 | logL: -177.2810 | obj: 166.9267 | constraint_violation: 6.5510e-10
Branch 18 | psi: 1.4100 | logL: -177.2042 | obj: 166.8444 | constraint_violation: 3.3248e-10
Branch 19 | psi: 1.4200 | logL: -177.1347 | obj: 166.7757 | constraint_violation: 7.6935e-10
Branch 20 | psi: 1.4300 | logL: -177.0837 | obj: 166.7211 | constraint_violation: 2.6042e-10
Branch 21 | psi: 1.4400 | logL: -176.9882 | obj: 166.6816 | constraint_violation: 8.0767e-11
Branch 22 | psi: 1.4500 | logL: -176.9598 | obj: 166.6559 | constraint_violation: 3.1856e-09
Branch 23 | psi: 1.4600 | logL: -176.9656 | obj: 166.6456 | constraint_violation: 5.9190e-10
Branch 24 | psi: 1.4700 | logL: -177.0046 | obj: 166.6511 | constraint_violation: 2.4259e-09
Branch 25 | psi: 1.4800 | logL: -176.9528 | obj: 166.6719 | constraint_violation: 1.4416e-09
Branch 26 | psi: 1.4900 | logL: -176.9436 | obj: 166.7093 | constraint_violation: 3.1987e-09
Branch 27 | psi: 1.5000 | logL: -176.9993 | obj: 166.7629 | constraint_violation: 4.8487e-09
Branch 28 | psi: 1.5100 | logL: -177.0135 | obj: 166.8329 | constraint_violation: 1.5106e-09
Branch 29 | psi: 1.5200 | logL: -177.1048 | obj: 166.9219 | constraint_violation: 2.4098e-07
Branch 30 | psi: 1.5300 | logL: -177.1559 | obj: 167.0241 | constraint_violation: 6.9636e-07
Branch 31 | psi: 1.5400 | logL: -177.3138 | obj: 167.1489 | constraint_violation: 1.1249e-06
Branch 32 | psi: 1.5500 | logL: -177.3575 | obj: 167.2832 | constraint_violation: 8.1901e-08
Branch 33 | psi: 1.5600 | logL: -177.4775 | obj: 167.4412 | constraint_violation: 4.9304e-07
Branch 34 | psi: 1.5700 | logL: -177.6331 | obj: 167.6247 | constraint_violation: 1.3501e-07
Branch 35 | psi: 1.5800 | logL: -177.7373 | obj: 167.8117 | constraint_violation: 1.7649e-06
Branch 36 | psi: 1.5900 | logL: -177.7361 | obj: 168.0091 | constraint_violation: 3.5339e-07
Branch 37 | psi: 1.6000 | logL: -178.0960 | obj: 168.2465 | constraint_violation: 1.3586e-07
Branch 38 | psi: 1.6100 | logL: -178.1051 | obj: 168.4869 | constraint_violation: 2.1577e-06
