Branch 1 | psi: 1.2400 | logL: -180.0953 | obj: 169.8054 | constraint_violation: 2.2569e-10
Branch 2 | psi: 1.2500 | logL: -179.8482 | obj: 169.5512 | constraint_violation: 4.4134e-10
Branch 3 | psi: 1.2600 | logL: -179.6186 | obj: 169.3059 | constraint_violation: 4.8913e-10
Branch 4 | psi: 1.2700 | logL: -179.3491 | obj: 169.0707 | constraint_violation: 2.9624e-09
Branch 5 | psi: 1.2800 | logL: -179.1501 | obj: 168.8427 | constraint_violation: 2.9016e-09
Branch 6 | psi: 1.2900 | logL: -178.9139 | obj: 168.6251 | constraint_violation: 1.6771e-10
Branch 7 | psi: 1.3000 | logL: -178.7363 | obj: 168.4164 | constraint_violation: 1.9256e-09
Branch 8 | psi: 1.3100 | logL: -178.5370 | obj: 168.2177 | constraint_violation: 1.6648e-09
Branch 9 | psi: 1.3200 | logL: -178.3491 | obj: 168.0291 | constraint_violation: 1.4773e-09
Branch 10 | psi: 1.3300 | logL: -178.2054 | obj: 167.8513 | constraint_violation: 1.8638e-10
Branch 11 | psi: 1.3400 | logL: -178.0302 | obj: 167.6843 | constraint_violation: 1.8233e-09
Branch 12 | psi: 1.3500 | logL: -177.9056 | obj: 167.5292 | constraint_violation: 1.1754e-09
Branch 13 | psi: 1.3600 | logL: -177.7451 | obj: 167.3838 | constraint_violation: 9.1827e-10
Branch 14 | psi: 1.3700 | logL: -177.6069 | obj: 167.2511 | constraint_violation: 1.6836e-09
Branch 15 | psi: 1.3800 | logL: -177.4916 | obj: 167.1300 | constraint_violation: 1.6213e-10
Branch 16 | psi: 1.3900 | logL: -177.3722 | obj: 167.0220 | constraint_violation: 2.8992e-10
Branch 17 | psi: 1.4000 | logL: -177.2992 | obj: 166.9264 | constraint_violation: 9.3957e-10
Branch 18 | psi: 1.4100 | logL: -177.1912 | obj: 166.8445 | constraint_violation: 2.0349e-10
Branch 19 | psi: 1.4200 | logL: -177.1260 | obj: 166.7758 | constraint_violation: 3.5639e-10
Branch 20 | psi: 1.4300 | logL: -177.0577 | obj: 166.7210 | constraint_violation: 3.6564e-10
Branch 21 | psi: 1.4400 | logL: -177.0392 | obj: 166.6809 | constraint_violation: 3.9744e-10
Branch 22 | psi: 1.4500 | logL: -176.9530 | obj: 166.6561 | constraint_violation: 3.1844e-09
Branch 23 | psi: 1.4600 | logL: -176.9838 | obj: 166.6456 | constraint_violation: 7.4842e-10
Branch 24 | psi: 1.4700 | logL: -176.9707 | obj: 166.6506 | constraint_violation: 2.0376e-09
Branch 25 | psi: 1.4800 | logL: -176.9760 | obj: 166.6725 | constraint_violation: 9.5956e-10
Branch 26 | psi: 1.4900 | logL: -176.9962 | obj: 166.7094 | constraint_violation: 3.5581e-09
Branch 27 | psi: 1.5000 | logL: -176.9872 | obj: 166.7628 | constraint_violation: 3.9520e-09
Branch 28 | psi: 1.5100 | logL: -177.0239 | obj: 166.8331 | constraint_violation: 2.3177e-09
Branch 29 | psi: 1.5200 | logL: -177.0839 | obj: 166.9203 | constraint_violation: 1.0607e-06
Branch 30 | psi: 1.5300 | logL: -177.1282 | obj: 167.0245 | constraint_violation: 9.5208e-07
Branch 31 | psi: 1.5400 | logL: -177.2567 | obj: 167.1451 | constraint_violation: 3.6700e-06
Branch 32 | psi: 1.5500 | logL: -177.3554 | obj: 167.2840 | constraint_violation: 1.7436e-06
Branch 33 | psi: 1.5600 | logL: -177.4990 | obj: 167.4408 | constraint_violation: 8.5573e-07
Branch 34 | psi: 1.5700 | logL: -177.7441 | obj: 167.6465 | constraint_violation: 2.8178e-07
Branch 35 | psi: 1.5800 | logL: -177.7236 | obj: 167.8115 | constraint_violation: 3.6004e-06
Branch 36 | psi: 1.5900 | logL: -177.8979 | obj: 168.0186 | constraint_violation: 3.1335e-06
Branch 37 | psi: 1.6000 | logL: -178.1078 | obj: 168.2461 | constraint_violation: 2.2951e-07
Branch 38 | psi: 1.6100 | logL: -178.1088 | obj: 168.4883 | constraint_violation: 1.0128e-06
Branch 39 | psi: 1.6200 | logL: -178.5009 | obj: 168.7657 | constraint_violation: 9.9691e-08
Branch 40 | psi: 1.6300 | logL: -178.7594 | obj: 169.0621 | constraint_violation: 3.2411e-06
Branch 41 | psi: 1.6400 | logL: -178.9415 | obj: 169.3736 | constraint_violation: 6.8773e-07
Branch 42 | psi: 1.6500 | logL: -179.2428 | obj: 169.7243 | constraint_violation: 4.1454e-08
Branch 43 | psi: 1.6600 | logL: -179.6388 | obj: 170.1058 | constraint_violation: 3.9566e-07
Branch 44 | psi: 1.6700 | logL: -180.0268 | obj: 170.5146 | constraint_violation: 1.6247e-08
Branch 45 | psi: 1.6800 | logL: -180.4410 | obj: 170.9553 | constraint_violation: 2.2331e-07
Branch 46 | psi: 1.6900 | logL: -180.5310 | obj: 171.4041 | constraint_violation: 4.0539e-08
Branch 47 | psi: 1.7000 | logL: -181.0394 | obj: 171.9302 | constraint_violation: 4.3720e-09
Branch 48 | psi: 1.7100 | logL: -181.5636 | obj: 172.5100 | constraint_violation: 1.1357e-09
Branch 49 | psi: 1.7200 | logL: -182.1672 | obj: 173.1542 | constraint_violation: 5.3998e-10
Branch 50 | psi: 1.7300 | logL: -182.8576 | obj: 173.8772 | constraint_violation: 6.5972e-10
Branch 51 | psi: 1.7400 | logL: -183.6384 | obj: 174.6996 | constraint_violation: 9.0334e-10
Branch 52 | psi: 1.7500 | logL: -184.5453 | obj: 175.6528 | constraint_violation: 2.8002e-09
Branch 53 | psi: 1.7600 | logL: -185.7144 | obj: 176.7921 | constraint_violation: 5.0778e-10
