Branch 1 | psi: 1.2400 | logL: -179.9483 | obj: 169.8114 | constraint_violation: 7.4464e-09
Branch 2 | psi: 1.2500 | logL: -179.8009 | obj: 169.5527 | constraint_violation: 2.0325e-09
Branch 3 | psi: 1.2600 | logL: -179.5379 | obj: 169.3068 | constraint_violation: 7.2321e-09
Branch 4 | psi: 1.2700 | logL: -179.3570 | obj: 169.0703 | constraint_violation: 3.4823e-09
Branch 5 | psi: 1.2800 | logL: -179.0981 | obj: 168.8441 | constraint_violation: 2.1941e-09
Branch 6 | psi: 1.2900 | logL: -178.9632 | obj: 168.6252 | constraint_violation: 2.6566e-09
Branch 7 | psi: 1.3000 | logL: -178.7213 | obj: 168.4167 | constraint_violation: 2.2002e-09
Branch 8 | psi: 1.3100 | logL: -178.5334 | obj: 168.2178 | constraint_violation: 1.1101e-09
Branch 9 | psi: 1.3200 | logL: -178.3181 | obj: 168.0305 | constraint_violation: 1.8942e-09
Branch 10 | psi: 1.3300 | logL: -178.1454 | obj: 167.8518 | constraint_violation: 5.3975e-09
Branch 11 | psi: 1.3400 | logL: -178.0376 | obj: 167.6843 | constraint_violation: 1.3896e-10
Branch 12 | psi: 1.3500 | logL: -177.8880 | obj: 167.5282 | constraint_violation: 5.8184e-10
Branch 13 | psi: 1.3600 | logL: -177.7305 | obj: 167.3836 | constraint_violation: 4.4217e-10
Branch 14 | psi: 1.3700 | logL: -177.6063 | obj: 167.2507 | constraint_violation: 1.3842e-09
Branch 15 | psi: 1.3800 | logL: -177.4975 | obj: 167.1300 | constraint_violation: 1.0923e-09
Branch 16 | psi: 1.3900 | logL: -177.3914 | obj: 167.0221 | constraint_violation: 8.5915e-11
Branch 17 | psi: 1.4000 | logL: -177.3049 | obj: 166.9264 | constraint_violation: 2.4323e-09
Branch 18 | psi: 1.4100 | logL: -177.1586 | obj: 166.8448 | constraint_violation: 4.9508e-10
Branch 19 | psi: 1.4200 | logL: -177.0781 | obj: 166.7765 | constraint_violation: 1.0070e-09
Branch 20 | psi: 1.4300 | logL: -177.0883 | obj: 166.7218 | constraint_violation: 2.3813e-09
Branch 21 | psi: 1.4400 | logL: -177.0615 | obj: 166.6813 | constraint_violation: 2.6139e-10
Branch 22 | psi: 1.4500 | logL: -176.9597 | obj: 166.6560 | constraint_violation: 4.1013e-09
Branch 23 | psi: 1.4600 | logL: -176.9682 | obj: 166.6455 | constraint_violation: 5.8004e-10
Branch 24 | psi: 1.4700 | logL: -176.9904 | obj: 166.6520 | constraint_violation: 3.2720e-09
Branch 25 | psi: 1.4800 | logL: -176.9850 | obj: 166.6720 | constraint_violation: 4.5767e-10
Branch 26 | psi: 1.4900 | logL: -176.9922 | obj: 166.7094 | constraint_violation: 4.2160e-09
Branch 27 | psi: 1.5000 | logL: -177.0106 | obj: 166.7629 | constraint_violation: 3.9787e-09
Branch 28 | psi: 1.5100 | logL: -177.0258 | obj: 166.8329 | constraint_violation: 1.1066e-09
Branch 29 | psi: 1.5200 | logL: -177.0921 | obj: 166.9213 | constraint_violation: 1.0265e-06
Branch 30 | psi: 1.5300 | logL: -177.2047 | obj: 167.0250 | constraint_violation: 4.2055e-06
Branch 31 | psi: 1.5400 | logL: -177.3017 | obj: 167.1475 | constraint_violation: 1.0514e-06
Branch 32 | psi: 1.5500 | logL: -177.3522 | obj: 167.2832 | constraint_violation: 1.1784e-06
Branch 33 | psi: 1.5600 | logL: -177.4467 | obj: 167.4389 | constraint_violation: 4.5332e-06
Branch 34 | psi: 1.5700 | logL: -177.8073 | obj: 167.6421 | constraint_violation: 7.1265e-07
Branch 35 | psi: 1.5800 | logL: -177.7511 | obj: 167.8080 | constraint_violation: 1.8236e-08
Branch 36 | psi: 1.5900 | logL: -177.7160 | obj: 168.0089 | constraint_violation: 2.8370e-07
Branch 37 | psi: 1.6000 | logL: -178.1141 | obj: 168.2480 | constraint_violation: 2.4224e-07
Branch 38 | psi: 1.6100 | logL: -178.1013 | obj: 168.4871 | constraint_violation: 3.3505e-06
Branch 39 | psi: 1.6200 | logL: -178.5121 | obj: 168.7686 | constraint_violation: 8.1967e-07
Branch 40 | psi: 1.6300 | logL: -178.7544 | obj: 169.0619 | constraint_violation: 9.5555e-07
Branch 41 | psi: 1.6400 | logL: -178.9684 | obj: 169.3782 | constraint_violation: 8.4494e-07
Branch 42 | psi: 1.6500 | logL: -179.2966 | obj: 169.7268 | constraint_violation: 1.4740e-07
Branch 43 | psi: 1.6600 | logL: -179.6289 | obj: 170.1029 | constraint_violation: 3.4823e-07
Branch 44 | psi: 1.6700 | logL: -180.0461 | obj: 170.5140 | constraint_violation: 8.8569e-09
Branch 45 | psi: 1.6800 | logL: -180.4544 | obj: 170.9594 | constraint_violation: 1.7671e-07
Branch 46 | psi: 1.6900 | logL: -180.5295 | obj: 171.4034 | constraint_violation: 3.9748e-08
Branch 47 | psi: 1.7000 | logL: -181.0290 | obj: 171.9298 | constraint_violation: 4.3124e-09
Branch 48 | psi: 1.7100 | logL: -181.5613 | obj: 172.5098 | constraint_violation: 1.1346e-09
Branch 49 | psi: 1.7200 | logL: -182.1681 | obj: 173.1542 | constraint_violation: 5.2810e-10
Branch 50 | psi: 1.7300 | logL: -182.8490 | obj: 173.8768 | constraint_violation: 3.1072e-10
Branch 51 | psi: 1.7400 | logL: -183.6392 | obj: 174.6997 | constraint_violation: 8.4299e-10
Branch 52 | psi: 1.7500 | logL: -184.5510 | obj: 175.6530 | constraint_violation: 3.7096e-10
Branch 53 | psi: 1.7600 | logL: -185.7148 | obj: 176.7920 | constraint_violation: 5.0692e-10
