Branch 1 | psi: 1.2400 | logL: -180.0098 | obj: 169.8121 | constraint_violation: 7.1457e-09
Branch 2 | psi: 1.2500 | logL: -179.8459 | obj: 169.5510 | constraint_violation: 3.5230e-10
Branch 3 | psi: 1.2600 | logL: -179.5611 | obj: 169.3069 | constraint_violation: 4.9985e-09
Branch 4 | psi: 1.2700 | logL: -179.3602 | obj: 169.0696 | constraint_violation: 4.6743e-09
Branch 5 | psi: 1.2800 | logL: -179.1529 | obj: 168.8435 | constraint_violation: 2.0549e-09
Branch 6 | psi: 1.2900 | logL: -178.9555 | obj: 168.6245 | constraint_violation: 2.9486e-09
Branch 7 | psi: 1.3000 | logL: -178.7171 | obj: 168.4159 | constraint_violation: 1.9232e-09
Branch 8 | psi: 1.3100 | logL: -178.5490 | obj: 168.2174 | constraint_violation: 2.3665e-09
Branch 9 | psi: 1.3200 | logL: -178.3477 | obj: 168.0296 | constraint_violation: 2.4545e-09
Branch 10 | psi: 1.3300 | logL: -178.1718 | obj: 167.8510 | constraint_violation: 2.0362e-09
Branch 11 | psi: 1.3400 | logL: -178.0142 | obj: 167.6841 | constraint_violation: 1.9156e-09
Branch 12 | psi: 1.3500 | logL: -177.8747 | obj: 167.5279 | constraint_violation: 5.4822e-10
Branch 13 | psi: 1.3600 | logL: -177.7322 | obj: 167.3833 | constraint_violation: 5.8904e-10
Branch 14 | psi: 1.3700 | logL: -177.5724 | obj: 167.2512 | constraint_violation: 2.4632e-10
Branch 15 | psi: 1.3800 | logL: -177.5012 | obj: 167.1312 | constraint_violation: 4.9372e-10
Branch 16 | psi: 1.3900 | logL: -177.3913 | obj: 167.0216 | constraint_violation: 3.8459e-10
Branch 17 | psi: 1.4000 | logL: -177.3088 | obj: 166.9261 | constraint_violation: 1.1723e-09
Branch 18 | psi: 1.4100 | logL: -177.1715 | obj: 166.8449 | constraint_violation: 1.1622e-09
Branch 19 | psi: 1.4200 | logL: -177.1241 | obj: 166.7758 | constraint_violation: 4.5750e-10
Branch 20 | psi: 1.4300 | logL: -177.0934 | obj: 166.7212 | constraint_violation: 1.1406e-09
Branch 21 | psi: 1.4400 | logL: -177.0229 | obj: 166.6808 | constraint_violation: 1.0881e-09
Branch 22 | psi: 1.4500 | logL: -176.9672 | obj: 166.6556 | constraint_violation: 2.8802e-09
Branch 23 | psi: 1.4600 | logL: -176.9718 | obj: 166.6452 | constraint_violation: 1.3360e-10
Branch 24 | psi: 1.4700 | logL: -176.9559 | obj: 166.6510 | constraint_violation: 3.0750e-09
Branch 25 | psi: 1.4800 | logL: -176.9470 | obj: 166.6718 | constraint_violation: 2.9409e-09
Branch 26 | psi: 1.4900 | logL: -176.9635 | obj: 166.7093 | constraint_violation: 1.8620e-10
Branch 27 | psi: 1.5000 | logL: -176.9981 | obj: 166.7629 | constraint_violation: 3.9305e-09
Branch 28 | psi: 1.5100 | logL: -177.0271 | obj: 166.8329 | constraint_violation: 1.2160e-09
