Branch 1 | psi: 1.2400 | logL: -181.2391 | obj: 170.5204 | constraint_violation: 1.0765e-09
Branch 2 | psi: 1.2500 | logL: -180.7921 | obj: 170.1624 | constraint_violation: 4.2012e-10
Branch 3 | psi: 1.2600 | logL: -180.3787 | obj: 169.8151 | constraint_violation: 1.2404e-09
Branch 4 | psi: 1.2700 | logL: -179.9891 | obj: 169.4744 | constraint_violation: 8.5681e-10
Branch 5 | psi: 1.2800 | logL: -179.6459 | obj: 169.1454 | constraint_violation: 3.6396e-09
Branch 6 | psi: 1.2900 | logL: -179.2496 | obj: 168.8278 | constraint_violation: 1.4213e-09
Branch 7 | psi: 1.3000 | logL: -178.9158 | obj: 168.5246 | constraint_violation: 3.9356e-09
Branch 8 | psi: 1.3100 | logL: -178.5925 | obj: 168.2310 | constraint_violation: 3.3376e-09
Branch 9 | psi: 1.3200 | logL: -178.2743 | obj: 167.9542 | constraint_violation: 3.6940e-09
Branch 10 | psi: 1.3300 | logL: -178.0002 | obj: 167.6899 | constraint_violation: 2.0824e-09
Branch 11 | psi: 1.3400 | logL: -177.7288 | obj: 167.4440 | constraint_violation: 2.1456e-09
Branch 12 | psi: 1.3500 | logL: -177.5009 | obj: 167.2117 | constraint_violation: 2.7809e-09
Branch 13 | psi: 1.3600 | logL: -177.2658 | obj: 167.0000 | constraint_violation: 2.7106e-09
Branch 14 | psi: 1.3700 | logL: -177.0662 | obj: 166.8032 | constraint_violation: 4.5204e-09
Branch 15 | psi: 1.3800 | logL: -176.8327 | obj: 166.6274 | constraint_violation: 4.0918e-09
Branch 16 | psi: 1.3900 | logL: -176.6806 | obj: 166.4693 | constraint_violation: 3.7743e-09
Branch 17 | psi: 1.4000 | logL: -176.5020 | obj: 166.3335 | constraint_violation: 4.3939e-09
Branch 18 | psi: 1.4100 | logL: -176.3409 | obj: 166.2149 | constraint_violation: 2.3377e-09
Branch 19 | psi: 1.4200 | logL: -176.1845 | obj: 166.1181 | constraint_violation: 2.0164e-09
Branch 20 | psi: 1.4300 | logL: -176.0452 | obj: 166.0426 | constraint_violation: 1.5123e-09
Branch 21 | psi: 1.4400 | logL: -175.8619 | obj: 165.9887 | constraint_violation: 1.1153e-09
Branch 22 | psi: 1.4500 | logL: -175.7342 | obj: 165.9544 | constraint_violation: 3.6935e-09
Branch 23 | psi: 1.4600 | logL: -175.7046 | obj: 165.9388 | constraint_violation: 9.9819e-10
Branch 24 | psi: 1.4700 | logL: -175.6668 | obj: 165.9461 | constraint_violation: 3.1575e-09
Branch 25 | psi: 1.4800 | logL: -175.6205 | obj: 165.9762 | constraint_violation: 1.2771e-09
Branch 26 | psi: 1.4900 | logL: -175.4877 | obj: 166.0197 | constraint_violation: 2.7821e-09
Branch 27 | psi: 1.5000 | logL: -175.4574 | obj: 166.0864 | constraint_violation: 3.1165e-09
Branch 28 | psi: 1.5100 | logL: -175.3999 | obj: 166.1716 | constraint_violation: 4.1769e-09
Branch 29 | psi: 1.5200 | logL: -175.4084 | obj: 166.2751 | constraint_violation: 2.1296e-09
Branch 30 | psi: 1.5300 | logL: -175.3944 | obj: 166.3974 | constraint_violation: 3.5994e-09
Branch 31 | psi: 1.5400 | logL: -175.4160 | obj: 166.5366 | constraint_violation: 2.5523e-09
Branch 32 | psi: 1.5500 | logL: -175.4834 | obj: 166.6935 | constraint_violation: 2.7646e-09
Branch 33 | psi: 1.5600 | logL: -175.5333 | obj: 166.8695 | constraint_violation: 7.7806e-10
Branch 34 | psi: 1.5700 | logL: -175.6383 | obj: 167.0613 | constraint_violation: 2.3920e-09
Branch 35 | psi: 1.5800 | logL: -175.7186 | obj: 167.2723 | constraint_violation: 8.8264e-09
Branch 36 | psi: 1.5900 | logL: -175.8829 | obj: 167.5021 | constraint_violation: 4.8729e-09
Branch 37 | psi: 1.6000 | logL: -176.0231 | obj: 167.7504 | constraint_violation: 1.8863e-09
Branch 38 | psi: 1.6100 | logL: -176.1916 | obj: 168.0192 | constraint_violation: 1.6071e-09
Branch 39 | psi: 1.6200 | logL: -176.4280 | obj: 168.3119 | constraint_violation: 3.7840e-10
Branch 40 | psi: 1.6300 | logL: -176.6484 | obj: 168.6242 | constraint_violation: 2.3235e-10
Branch 41 | psi: 1.6400 | logL: -176.9178 | obj: 168.9652 | constraint_violation: 1.2603e-09
Branch 42 | psi: 1.6500 | logL: -177.0888 | obj: 169.3155 | constraint_violation: 3.9830e-10
Branch 43 | psi: 1.6600 | logL: -177.3916 | obj: 169.7063 | constraint_violation: 2.0156e-10
Branch 44 | psi: 1.6700 | logL: -177.8430 | obj: 170.1516 | constraint_violation: 2.9475e-09
Branch 45 | psi: 1.6800 | logL: -178.1081 | obj: 170.5825 | constraint_violation: 3.9640e-10
Branch 46 | psi: 1.6900 | logL: -178.6798 | obj: 171.1216 | constraint_violation: 1.0591e-06
Branch 47 | psi: 1.7000 | logL: -178.9758 | obj: 171.6192 | constraint_violation: 2.9522e-07
Branch 48 | psi: 1.7100 | logL: -179.5121 | obj: 172.2098 | constraint_violation: 3.7177e-08
Branch 49 | psi: 1.7200 | logL: -180.1155 | obj: 172.8878 | constraint_violation: 1.2179e-06
Branch 50 | psi: 1.7300 | logL: -180.8124 | obj: 173.6009 | constraint_violation: 1.2106e-06
Branch 51 | psi: 1.7400 | logL: -181.5359 | obj: 174.4245 | constraint_violation: 1.3840e-08
Branch 52 | psi: 1.7500 | logL: -182.4274 | obj: 175.3792 | constraint_violation: 4.3273e-09
Branch 53 | psi: 1.7600 | logL: -183.4883 | obj: 176.5107 | constraint_violation: 4.5809e-10
