Branch 1 | psi: 1.2400 | logL: -180.0612 | obj: 169.8055 | constraint_violation: 2.4811e-09
Branch 2 | psi: 1.2500 | logL: -179.8241 | obj: 169.5506 | constraint_violation: 5.1191e-10
Branch 3 | psi: 1.2600 | logL: -179.5505 | obj: 169.3059 | constraint_violation: 1.2920e-09
Branch 4 | psi: 1.2700 | logL: -179.3355 | obj: 169.0695 | constraint_violation: 4.6982e-09
Branch 5 | psi: 1.2800 | logL: -179.0979 | obj: 168.8431 | constraint_violation: 2.7371e-09
Branch 6 | psi: 1.2900 | logL: -178.9463 | obj: 168.6242 | constraint_violation: 8.4011e-11
Branch 7 | psi: 1.3000 | logL: -178.6991 | obj: 168.4163 | constraint_violation: 8.4652e-10
Branch 8 | psi: 1.3100 | logL: -178.5359 | obj: 168.2176 | constraint_violation: 1.4788e-10
Branch 9 | psi: 1.3200 | logL: -178.3604 | obj: 168.0289 | constraint_violation: 1.8843e-09
Branch 10 | psi: 1.3300 | logL: -178.1764 | obj: 167.8511 | constraint_violation: 2.0922e-09
Branch 11 | psi: 1.3400 | logL: -178.0173 | obj: 167.6845 | constraint_violation: 1.0553e-09
Branch 12 | psi: 1.3500 | logL: -177.9017 | obj: 167.5280 | constraint_violation: 6.5070e-10
Branch 13 | psi: 1.3600 | logL: -177.7458 | obj: 167.3836 | constraint_violation: 1.3825e-09
Branch 14 | psi: 1.3700 | logL: -177.6013 | obj: 167.2511 | constraint_violation: 1.5420e-09
Branch 15 | psi: 1.3800 | logL: -177.4869 | obj: 167.1325 | constraint_violation: 7.7353e-10
Branch 16 | psi: 1.3900 | logL: -177.3863 | obj: 167.0219 | constraint_violation: 2.8158e-10
Branch 17 | psi: 1.4000 | logL: -177.2672 | obj: 166.9273 | constraint_violation: 6.5305e-10
Branch 18 | psi: 1.4100 | logL: -177.1996 | obj: 166.8444 | constraint_violation: 1.4951e-09
Branch 19 | psi: 1.4200 | logL: -177.0850 | obj: 166.7759 | constraint_violation: 7.9604e-10
Branch 20 | psi: 1.4300 | logL: -177.0740 | obj: 166.7213 | constraint_violation: 1.8934e-10
Branch 21 | psi: 1.4400 | logL: -177.0135 | obj: 166.6811 | constraint_violation: 3.4390e-10
Branch 22 | psi: 1.4500 | logL: -176.9783 | obj: 166.6559 | constraint_violation: 3.1768e-09
Branch 23 | psi: 1.4600 | logL: -176.9845 | obj: 166.6456 | constraint_violation: 6.7357e-10
Branch 24 | psi: 1.4700 | logL: -176.9718 | obj: 166.6509 | constraint_violation: 3.4413e-09
Branch 25 | psi: 1.4800 | logL: -176.9511 | obj: 166.6720 | constraint_violation: 3.6961e-10
Branch 26 | psi: 1.4900 | logL: -176.9835 | obj: 166.7093 | constraint_violation: 3.0334e-09
Branch 27 | psi: 1.5000 | logL: -177.0159 | obj: 166.7632 | constraint_violation: 1.9085e-09
Branch 28 | psi: 1.5100 | logL: -177.0579 | obj: 166.8332 | constraint_violation: 1.2641e-09
Branch 29 | psi: 1.5200 | logL: -177.0953 | obj: 166.9203 | constraint_violation: 7.4720e-07
Branch 30 | psi: 1.5300 | logL: -177.1393 | obj: 167.0246 | constraint_violation: 6.3090e-07
Branch 31 | psi: 1.5400 | logL: -177.2462 | obj: 167.1456 | constraint_violation: 5.6399e-06
Branch 32 | psi: 1.5500 | logL: -177.3224 | obj: 167.2882 | constraint_violation: 7.4431e-07
Branch 33 | psi: 1.5600 | logL: -177.4438 | obj: 167.4388 | constraint_violation: 3.3837e-09
Branch 34 | psi: 1.5700 | logL: -177.5826 | obj: 167.6149 | constraint_violation: 7.4632e-07
Branch 35 | psi: 1.5800 | logL: -177.7663 | obj: 167.8086 | constraint_violation: 9.4163e-08
Branch 36 | psi: 1.5900 | logL: -177.7069 | obj: 168.0099 | constraint_violation: 2.9015e-06
Branch 37 | psi: 1.6000 | logL: -178.0943 | obj: 168.2469 | constraint_violation: 2.0768e-07
Branch 38 | psi: 1.6100 | logL: -178.1004 | obj: 168.4882 | constraint_violation: 9.0365e-07
Branch 39 | psi: 1.6200 | logL: -178.4795 | obj: 168.7665 | constraint_violation: 6.2934e-08
Branch 40 | psi: 1.6300 | logL: -178.7157 | obj: 169.0603 | constraint_violation: 5.4066e-07
Branch 41 | psi: 1.6400 | logL: -178.9788 | obj: 169.3780 | constraint_violation: 1.6170e-07
Branch 42 | psi: 1.6500 | logL: -179.3190 | obj: 169.7277 | constraint_violation: 1.7516e-07
Branch 43 | psi: 1.6600 | logL: -179.6506 | obj: 170.1058 | constraint_violation: 3.5592e-07
Branch 44 | psi: 1.6700 | logL: -179.9828 | obj: 170.5068 | constraint_violation: 1.1955e-07
Branch 45 | psi: 1.6800 | logL: -180.4337 | obj: 170.9573 | constraint_violation: 1.3577e-07
Branch 46 | psi: 1.6900 | logL: -180.5305 | obj: 171.4039 | constraint_violation: 4.0482e-08
Branch 47 | psi: 1.7000 | logL: -181.0392 | obj: 171.9300 | constraint_violation: 4.3614e-09
Branch 48 | psi: 1.7100 | logL: -181.5526 | obj: 172.5094 | constraint_violation: 1.1206e-09
Branch 49 | psi: 1.7200 | logL: -182.1669 | obj: 173.1540 | constraint_violation: 5.3235e-10
Branch 50 | psi: 1.7300 | logL: -182.8574 | obj: 173.8771 | constraint_violation: 1.5222e-09
Branch 51 | psi: 1.7400 | logL: -183.6360 | obj: 174.6995 | constraint_violation: 8.3950e-10
Branch 52 | psi: 1.7500 | logL: -184.5492 | obj: 175.6529 | constraint_violation: 2.6079e-09
Branch 53 | psi: 1.7600 | logL: -185.7103 | obj: 176.7918 | constraint_violation: 8.2083e-10
