Branch 1 | psi: 1.2400 | logL: -180.0839 | obj: 169.8055 | constraint_violation: 6.2775e-09
Branch 2 | psi: 1.2500 | logL: -179.8151 | obj: 169.5511 | constraint_violation: 1.0615e-09
Branch 3 | psi: 1.2600 | logL: -179.4957 | obj: 169.3072 | constraint_violation: 7.1344e-09
Branch 4 | psi: 1.2700 | logL: -179.3502 | obj: 169.0698 | constraint_violation: 3.2659e-09
Branch 5 | psi: 1.2800 | logL: -179.1557 | obj: 168.8426 | constraint_violation: 1.1272e-09
Branch 6 | psi: 1.2900 | logL: -178.9187 | obj: 168.6244 | constraint_violation: 8.6624e-10
Branch 7 | psi: 1.3000 | logL: -178.6730 | obj: 168.4176 | constraint_violation: 9.9100e-10
Branch 8 | psi: 1.3100 | logL: -178.4807 | obj: 168.2184 | constraint_violation: 4.9929e-09
Branch 9 | psi: 1.3200 | logL: -178.3228 | obj: 168.0307 | constraint_violation: 2.1404e-09
Branch 10 | psi: 1.3300 | logL: -178.1962 | obj: 167.8516 | constraint_violation: 4.8390e-10
Branch 11 | psi: 1.3400 | logL: -178.0284 | obj: 167.6849 | constraint_violation: 7.7643e-10
Branch 12 | psi: 1.3500 | logL: -177.9317 | obj: 167.5284 | constraint_violation: 7.5628e-10
Branch 13 | psi: 1.3600 | logL: -177.7534 | obj: 167.3841 | constraint_violation: 4.9219e-10
Branch 14 | psi: 1.3700 | logL: -177.5863 | obj: 167.2510 | constraint_violation: 1.2500e-09
Branch 15 | psi: 1.3800 | logL: -177.4796 | obj: 167.1299 | constraint_violation: 1.3226e-09
Branch 16 | psi: 1.3900 | logL: -177.3497 | obj: 167.0230 | constraint_violation: 5.2296e-10
Branch 17 | psi: 1.4000 | logL: -177.2973 | obj: 166.9264 | constraint_violation: 1.1185e-10
Branch 18 | psi: 1.4100 | logL: -177.1882 | obj: 166.8442 | constraint_violation: 8.6626e-10
Branch 19 | psi: 1.4200 | logL: -177.1203 | obj: 166.7755 | constraint_violation: 1.8396e-09
Branch 20 | psi: 1.4300 | logL: -177.0533 | obj: 166.7211 | constraint_violation: 5.1676e-10
Branch 21 | psi: 1.4400 | logL: -177.0310 | obj: 166.6810 | constraint_violation: 1.3825e-10
Branch 22 | psi: 1.4500 | logL: -176.9804 | obj: 166.6559 | constraint_violation: 3.3137e-09
Branch 23 | psi: 1.4600 | logL: -176.9584 | obj: 166.6453 | constraint_violation: 4.9454e-10
Branch 24 | psi: 1.4700 | logL: -176.9855 | obj: 166.6508 | constraint_violation: 3.6302e-09
Branch 25 | psi: 1.4800 | logL: -176.9697 | obj: 166.6721 | constraint_violation: 6.8368e-10
Branch 26 | psi: 1.4900 | logL: -176.9780 | obj: 166.7097 | constraint_violation: 6.3178e-09
Branch 27 | psi: 1.5000 | logL: -177.0108 | obj: 166.7631 | constraint_violation: 3.1833e-09
Branch 28 | psi: 1.5100 | logL: -177.0345 | obj: 166.8330 | constraint_violation: 1.0299e-09
Branch 29 | psi: 1.5200 | logL: -177.0716 | obj: 166.9203 | constraint_violation: 7.5624e-07
Branch 30 | psi: 1.5300 | logL: -177.1960 | obj: 167.0253 | constraint_violation: 4.0646e-06
Branch 31 | psi: 1.5400 | logL: -177.2344 | obj: 167.1454 | constraint_violation: 1.0979e-06
Branch 32 | psi: 1.5500 | logL: -177.3424 | obj: 167.2850 | constraint_violation: 1.1656e-06
Branch 33 | psi: 1.5600 | logL: -177.4530 | obj: 167.4386 | constraint_violation: 7.7114e-07
Branch 34 | psi: 1.5700 | logL: -177.6750 | obj: 167.6240 | constraint_violation: 6.0547e-06
Branch 35 | psi: 1.5800 | logL: -177.7458 | obj: 167.8108 | constraint_violation: 2.6247e-06
Branch 36 | psi: 1.5900 | logL: -177.8525 | obj: 168.0128 | constraint_violation: 2.6308e-07
Branch 37 | psi: 1.6000 | logL: -178.0413 | obj: 168.2416 | constraint_violation: 4.6139e-07
Branch 38 | psi: 1.6100 | logL: -178.0485 | obj: 168.4885 | constraint_violation: 2.4382e-06
