Branch 1 | psi: 1.2400 | logL: -180.1080 | obj: 169.8042 | constraint_violation: 1.8369e-09
Branch 2 | psi: 1.2500 | logL: -179.8502 | obj: 169.5503 | constraint_violation: 5.3411e-10
Branch 3 | psi: 1.2600 | logL: -179.5818 | obj: 169.3069 | constraint_violation: 3.6234e-10
Branch 4 | psi: 1.2700 | logL: -179.3610 | obj: 169.0695 | constraint_violation: 3.7676e-09
Branch 5 | psi: 1.2800 | logL: -179.1454 | obj: 168.8423 | constraint_violation: 1.5816e-09
Branch 6 | psi: 1.2900 | logL: -178.9007 | obj: 168.6245 | constraint_violation: 2.5149e-09
Branch 7 | psi: 1.3000 | logL: -178.7264 | obj: 168.4159 | constraint_violation: 1.3940e-10
Branch 8 | psi: 1.3100 | logL: -178.5094 | obj: 168.2179 | constraint_violation: 2.2123e-09
Branch 9 | psi: 1.3200 | logL: -178.3406 | obj: 168.0291 | constraint_violation: 2.5406e-09
Branch 10 | psi: 1.3300 | logL: -178.2062 | obj: 167.8512 | constraint_violation: 1.9287e-10
Branch 11 | psi: 1.3400 | logL: -178.0342 | obj: 167.6843 | constraint_violation: 1.7895e-09
Branch 12 | psi: 1.3500 | logL: -177.8876 | obj: 167.5281 | constraint_violation: 8.8640e-10
Branch 13 | psi: 1.3600 | logL: -177.7116 | obj: 167.3836 | constraint_violation: 3.4593e-09
Branch 14 | psi: 1.3700 | logL: -177.5727 | obj: 167.2514 | constraint_violation: 2.5001e-09
Branch 15 | psi: 1.3800 | logL: -177.4889 | obj: 167.1299 | constraint_violation: 1.4341e-09
Branch 16 | psi: 1.3900 | logL: -177.3682 | obj: 167.0219 | constraint_violation: 9.3528e-10
Branch 17 | psi: 1.4000 | logL: -177.2730 | obj: 166.9267 | constraint_violation: 7.6256e-10
Branch 18 | psi: 1.4100 | logL: -177.1898 | obj: 166.8441 | constraint_violation: 9.1551e-10
Branch 19 | psi: 1.4200 | logL: -177.0936 | obj: 166.7763 | constraint_violation: 5.0173e-10
Branch 20 | psi: 1.4300 | logL: -177.0900 | obj: 166.7214 | constraint_violation: 1.6346e-09
Branch 21 | psi: 1.4400 | logL: -177.0407 | obj: 166.6810 | constraint_violation: 9.4655e-10
Branch 22 | psi: 1.4500 | logL: -176.9811 | obj: 166.6560 | constraint_violation: 3.8635e-09
Branch 23 | psi: 1.4600 | logL: -176.9838 | obj: 166.6455 | constraint_violation: 2.6821e-10
Branch 24 | psi: 1.4700 | logL: -176.9913 | obj: 166.6509 | constraint_violation: 1.2494e-09
Branch 25 | psi: 1.4800 | logL: -176.9746 | obj: 166.6722 | constraint_violation: 2.2195e-09
Branch 26 | psi: 1.4900 | logL: -176.9555 | obj: 166.7094 | constraint_violation: 2.1278e-09
Branch 27 | psi: 1.5000 | logL: -176.9989 | obj: 166.7628 | constraint_violation: 3.8942e-09
Branch 28 | psi: 1.5100 | logL: -177.0460 | obj: 166.8331 | constraint_violation: 1.2740e-09
Branch 29 | psi: 1.5200 | logL: -177.0730 | obj: 166.9204 | constraint_violation: 1.0041e-06
Branch 30 | psi: 1.5300 | logL: -177.1954 | obj: 167.0251 | constraint_violation: 4.2284e-06
Branch 31 | psi: 1.5400 | logL: -177.2971 | obj: 167.1486 | constraint_violation: 1.1531e-06
Branch 32 | psi: 1.5500 | logL: -177.3376 | obj: 167.2828 | constraint_violation: 8.6665e-07
Branch 33 | psi: 1.5600 | logL: -177.4255 | obj: 167.4386 | constraint_violation: 2.9846e-06
Branch 34 | psi: 1.5700 | logL: -177.5839 | obj: 167.6136 | constraint_violation: 4.4737e-06
Branch 35 | psi: 1.5800 | logL: -177.7079 | obj: 167.8114 | constraint_violation: 4.8392e-06
Branch 36 | psi: 1.5900 | logL: -178.1009 | obj: 168.0491 | constraint_violation: 1.1797e-06
Branch 37 | psi: 1.6000 | logL: -178.1197 | obj: 168.2488 | constraint_violation: 1.8744e-07
Branch 38 | psi: 1.6100 | logL: -178.1076 | obj: 168.4881 | constraint_violation: 1.0275e-06
Branch 39 | psi: 1.6200 | logL: -178.5636 | obj: 168.7697 | constraint_violation: 2.0363e-07
Branch 40 | psi: 1.6300 | logL: -178.7016 | obj: 169.0595 | constraint_violation: 2.8570e-08
Branch 41 | psi: 1.6400 | logL: -179.0050 | obj: 169.3806 | constraint_violation: 3.3718e-07
Branch 42 | psi: 1.6500 | logL: -179.2728 | obj: 169.7247 | constraint_violation: 6.9857e-07
Branch 43 | psi: 1.6600 | logL: -179.6416 | obj: 170.1056 | constraint_violation: 3.8448e-07
Branch 44 | psi: 1.6700 | logL: -180.0230 | obj: 170.5154 | constraint_violation: 6.0090e-08
Branch 45 | psi: 1.6800 | logL: -180.4107 | obj: 170.9525 | constraint_violation: 9.7450e-09
Branch 46 | psi: 1.6900 | logL: -180.5349 | obj: 171.4039 | constraint_violation: 4.0491e-08
Branch 47 | psi: 1.7000 | logL: -181.0348 | obj: 171.9300 | constraint_violation: 4.3489e-09
Branch 48 | psi: 1.7100 | logL: -181.5585 | obj: 172.5098 | constraint_violation: 1.0868e-09
Branch 49 | psi: 1.7200 | logL: -182.1662 | obj: 173.1543 | constraint_violation: 5.3865e-10
Branch 50 | psi: 1.7300 | logL: -182.8482 | obj: 173.8769 | constraint_violation: 4.8721e-10
Branch 51 | psi: 1.7400 | logL: -183.6389 | obj: 174.6996 | constraint_violation: 9.1892e-10
Branch 52 | psi: 1.7500 | logL: -184.5496 | obj: 175.6530 | constraint_violation: 4.7917e-10
Branch 53 | psi: 1.7600 | logL: -185.7115 | obj: 176.7919 | constraint_violation: 7.0340e-10
