Branch 1 | psi: 1.2400 | logL: -180.5464 | obj: 165.1840 | constraint_violation: 1.9868e-09
Branch 2 | psi: 1.2500 | logL: -180.3533 | obj: 164.8023 | constraint_violation: 1.0674e-09
Branch 3 | psi: 1.2600 | logL: -180.0805 | obj: 164.4272 | constraint_violation: 8.6064e-10
Branch 4 | psi: 1.2700 | logL: -179.8781 | obj: 164.0596 | constraint_violation: 3.5503e-09
Branch 5 | psi: 1.2800 | logL: -179.6740 | obj: 163.6981 | constraint_violation: 1.2695e-09
Branch 6 | psi: 1.2900 | logL: -179.4239 | obj: 163.3445 | constraint_violation: 2.5420e-09
Branch 7 | psi: 1.3000 | logL: -179.2985 | obj: 162.9997 | constraint_violation: 2.5258e-09
Branch 8 | psi: 1.3100 | logL: -179.0531 | obj: 162.6631 | constraint_violation: 7.7899e-09
Branch 9 | psi: 1.3200 | logL: -178.9329 | obj: 162.3388 | constraint_violation: 2.9769e-07
Branch 10 | psi: 1.3300 | logL: -178.5959 | obj: 162.0210 | constraint_violation: 1.7778e-07
Branch 11 | psi: 1.3400 | logL: -178.4795 | obj: 161.7179 | constraint_violation: 1.0427e-06
Branch 12 | psi: 1.3500 | logL: -178.3086 | obj: 161.4284 | constraint_violation: 2.5143e-07
Branch 13 | psi: 1.3600 | logL: -178.1109 | obj: 161.1526 | constraint_violation: 9.7073e-08
Branch 14 | psi: 1.3700 | logL: -178.0333 | obj: 160.8936 | constraint_violation: 1.0435e-09
Branch 15 | psi: 1.3800 | logL: -177.9622 | obj: 160.6550 | constraint_violation: 7.7284e-10
Branch 16 | psi: 1.3900 | logL: -177.8546 | obj: 160.4366 | constraint_violation: 1.3002e-09
Branch 17 | psi: 1.4000 | logL: -177.6105 | obj: 160.2440 | constraint_violation: 2.7771e-09
Branch 18 | psi: 1.4100 | logL: -177.5423 | obj: 160.0764 | constraint_violation: 2.0213e-09
Branch 19 | psi: 1.4200 | logL: -177.4264 | obj: 159.9381 | constraint_violation: 3.4341e-09
Branch 20 | psi: 1.4300 | logL: -177.4435 | obj: 159.8295 | constraint_violation: 2.5090e-10
Branch 21 | psi: 1.4400 | logL: -177.2522 | obj: 159.7516 | constraint_violation: 2.3614e-10
Branch 22 | psi: 1.4500 | logL: -176.8014 | obj: 159.7053 | constraint_violation: 1.0514e-09
Branch 23 | psi: 1.4600 | logL: -176.7467 | obj: 159.6845 | constraint_violation: 6.0038e-10
Branch 24 | psi: 1.4700 | logL: -176.6257 | obj: 159.6952 | constraint_violation: 5.4137e-10
Branch 25 | psi: 1.4800 | logL: -176.6865 | obj: 159.7336 | constraint_violation: 2.4335e-10
Branch 26 | psi: 1.4900 | logL: -176.2680 | obj: 159.7906 | constraint_violation: 2.1681e-10
Branch 27 | psi: 1.5000 | logL: -176.0648 | obj: 159.8708 | constraint_violation: 7.3752e-11
Branch 28 | psi: 1.5100 | logL: -175.9727 | obj: 159.9726 | constraint_violation: 1.4136e-10
Branch 29 | psi: 1.5200 | logL: -175.8230 | obj: 160.0931 | constraint_violation: 2.1659e-10
Branch 30 | psi: 1.5300 | logL: -175.7787 | obj: 160.2322 | constraint_violation: 6.8504e-10
Branch 31 | psi: 1.5400 | logL: -175.7469 | obj: 160.3869 | constraint_violation: 3.4503e-10
Branch 32 | psi: 1.5500 | logL: -175.6633 | obj: 160.5597 | constraint_violation: 3.7843e-10
Branch 33 | psi: 1.5600 | logL: -175.7633 | obj: 160.7479 | constraint_violation: 1.5127e-09
Branch 34 | psi: 1.5700 | logL: -175.7712 | obj: 160.9544 | constraint_violation: 6.0461e-10
Branch 35 | psi: 1.5800 | logL: -175.8207 | obj: 161.1769 | constraint_violation: 6.8320e-10
Branch 36 | psi: 1.5900 | logL: -175.9878 | obj: 161.4171 | constraint_violation: 2.7567e-10
Branch 37 | psi: 1.6000 | logL: -176.1878 | obj: 161.6749 | constraint_violation: 4.9145e-11
Branch 38 | psi: 1.6100 | logL: -176.2372 | obj: 161.9522 | constraint_violation: 2.1848e-09
Branch 39 | psi: 1.6200 | logL: -176.4214 | obj: 162.2493 | constraint_violation: 1.8375e-10
Branch 40 | psi: 1.6300 | logL: -176.6519 | obj: 162.5679 | constraint_violation: 2.7491e-10
Branch 41 | psi: 1.6400 | logL: -176.8261 | obj: 162.9092 | constraint_violation: 2.3334e-10
Branch 42 | psi: 1.6500 | logL: -177.1244 | obj: 163.2757 | constraint_violation: 9.7018e-11
Branch 43 | psi: 1.6600 | logL: -177.4743 | obj: 163.6703 | constraint_violation: 1.2730e-10
Branch 44 | psi: 1.6700 | logL: -177.6966 | obj: 164.0944 | constraint_violation: 8.4302e-11
Branch 45 | psi: 1.6800 | logL: -178.1406 | obj: 164.5523 | constraint_violation: 8.4145e-10
Branch 46 | psi: 1.6900 | logL: -178.5054 | obj: 165.0485 | constraint_violation: 1.1857e-09
Branch 47 | psi: 1.7000 | logL: -178.9455 | obj: 165.5903 | constraint_violation: 1.2905e-09
Branch 48 | psi: 1.7100 | logL: -179.4116 | obj: 166.1781 | constraint_violation: 3.8883e-10
Branch 49 | psi: 1.7200 | logL: -179.9712 | obj: 166.8374 | constraint_violation: 4.8567e-10
Branch 50 | psi: 1.7300 | logL: -180.6094 | obj: 167.5556 | constraint_violation: 1.3522e-09
Branch 51 | psi: 1.7400 | logL: -181.2353 | obj: 168.3820 | constraint_violation: 2.1812e-10
Branch 52 | psi: 1.7500 | logL: -182.1881 | obj: 169.3233 | constraint_violation: 1.5189e-10
Branch 53 | psi: 1.7600 | logL: -183.2321 | obj: 170.4363 | constraint_violation: 2.6145e-09
