Branch 1 | psi: 1.2400 | logL: -180.1485 | obj: 169.8036 | constraint_violation: 5.4850e-10
Branch 2 | psi: 1.2500 | logL: -179.8316 | obj: 169.5504 | constraint_violation: 4.3758e-10
Branch 3 | psi: 1.2600 | logL: -179.6209 | obj: 169.3060 | constraint_violation: 5.3532e-10
Branch 4 | psi: 1.2700 | logL: -179.3597 | obj: 169.0697 | constraint_violation: 4.5194e-09
Branch 5 | psi: 1.2800 | logL: -179.1633 | obj: 168.8420 | constraint_violation: 2.8563e-10
Branch 6 | psi: 1.2900 | logL: -178.9235 | obj: 168.6253 | constraint_violation: 5.7878e-10
Branch 7 | psi: 1.3000 | logL: -178.7431 | obj: 168.4160 | constraint_violation: 1.1408e-10
Branch 8 | psi: 1.3100 | logL: -178.5325 | obj: 168.2172 | constraint_violation: 2.3478e-09
Branch 9 | psi: 1.3200 | logL: -178.3674 | obj: 168.0289 | constraint_violation: 6.9439e-10
Branch 10 | psi: 1.3300 | logL: -178.1744 | obj: 167.8522 | constraint_violation: 4.0632e-10
Branch 11 | psi: 1.3400 | logL: -178.0286 | obj: 167.6840 | constraint_violation: 7.4134e-10
Branch 12 | psi: 1.3500 | logL: -177.8730 | obj: 167.5292 | constraint_violation: 8.2327e-10
Branch 13 | psi: 1.3600 | logL: -177.7433 | obj: 167.3835 | constraint_violation: 1.2347e-09
Branch 14 | psi: 1.3700 | logL: -177.6064 | obj: 167.2507 | constraint_violation: 1.5384e-09
Branch 15 | psi: 1.3800 | logL: -177.4818 | obj: 167.1304 | constraint_violation: 1.4092e-10
Branch 16 | psi: 1.3900 | logL: -177.3970 | obj: 167.0217 | constraint_violation: 1.8746e-10
Branch 17 | psi: 1.4000 | logL: -177.2952 | obj: 166.9263 | constraint_violation: 1.3733e-09
Branch 18 | psi: 1.4100 | logL: -177.1612 | obj: 166.8444 | constraint_violation: 6.7275e-10
Branch 19 | psi: 1.4200 | logL: -177.1319 | obj: 166.7757 | constraint_violation: 8.0899e-10
Branch 20 | psi: 1.4300 | logL: -177.0816 | obj: 166.7212 | constraint_violation: 6.5612e-10
Branch 21 | psi: 1.4400 | logL: -177.0116 | obj: 166.6809 | constraint_violation: 6.0591e-11
Branch 22 | psi: 1.4500 | logL: -176.9700 | obj: 166.6562 | constraint_violation: 2.3346e-09
Branch 23 | psi: 1.4600 | logL: -176.9726 | obj: 166.6455 | constraint_violation: 1.5736e-10
Branch 24 | psi: 1.4700 | logL: -176.9732 | obj: 166.6508 | constraint_violation: 3.1526e-09
Branch 25 | psi: 1.4800 | logL: -176.9961 | obj: 166.6724 | constraint_violation: 3.8176e-10
Branch 26 | psi: 1.4900 | logL: -176.9596 | obj: 166.7096 | constraint_violation: 1.4370e-09
Branch 27 | psi: 1.5000 | logL: -176.9857 | obj: 166.7628 | constraint_violation: 3.9429e-09
Branch 28 | psi: 1.5100 | logL: -177.0556 | obj: 166.8340 | constraint_violation: 2.4184e-09
Branch 29 | psi: 1.5200 | logL: -177.1354 | obj: 166.9212 | constraint_violation: 1.0227e-06
Branch 30 | psi: 1.5300 | logL: -177.1939 | obj: 167.0249 | constraint_violation: 4.2251e-06
Branch 31 | psi: 1.5400 | logL: -177.2905 | obj: 167.1466 | constraint_violation: 1.8455e-06
Branch 32 | psi: 1.5500 | logL: -177.3725 | obj: 167.2890 | constraint_violation: 8.9770e-07
Branch 33 | psi: 1.5600 | logL: -177.4767 | obj: 167.4393 | constraint_violation: 9.0756e-07
Branch 34 | psi: 1.5700 | logL: -177.6952 | obj: 167.6227 | constraint_violation: 1.0959e-06
Branch 35 | psi: 1.5800 | logL: -177.7521 | obj: 167.8081 | constraint_violation: 1.8445e-08
Branch 36 | psi: 1.5900 | logL: -177.7115 | obj: 168.0085 | constraint_violation: 6.7933e-07
Branch 37 | psi: 1.6000 | logL: -178.0778 | obj: 168.2456 | constraint_violation: 2.1994e-07
Branch 38 | psi: 1.6100 | logL: -178.1032 | obj: 168.4880 | constraint_violation: 1.0354e-06
Branch 39 | psi: 1.6200 | logL: -178.4949 | obj: 168.7686 | constraint_violation: 2.0745e-06
Branch 40 | psi: 1.6300 | logL: -178.6972 | obj: 169.0606 | constraint_violation: 2.0442e-07
Branch 41 | psi: 1.6400 | logL: -178.9614 | obj: 169.3790 | constraint_violation: 2.1339e-07
Branch 42 | psi: 1.6500 | logL: -179.3117 | obj: 169.7276 | constraint_violation: 1.4812e-07
Branch 43 | psi: 1.6600 | logL: -179.6699 | obj: 170.1091 | constraint_violation: 1.4757e-07
Branch 44 | psi: 1.6700 | logL: -179.9874 | obj: 170.5069 | constraint_violation: 9.6171e-08
Branch 45 | psi: 1.6800 | logL: -180.4251 | obj: 170.9531 | constraint_violation: 1.8025e-07
Branch 46 | psi: 1.6900 | logL: -180.8089 | obj: 171.4332 | constraint_violation: 9.5563e-09
Branch 47 | psi: 1.7000 | logL: -181.0447 | obj: 171.9301 | constraint_violation: 4.2992e-09
Branch 48 | psi: 1.7100 | logL: -181.5597 | obj: 172.5097 | constraint_violation: 3.9521e-09
Branch 49 | psi: 1.7200 | logL: -182.1671 | obj: 173.1543 | constraint_violation: 5.3928e-10
Branch 50 | psi: 1.7300 | logL: -182.8570 | obj: 173.8772 | constraint_violation: 4.5520e-09
Branch 51 | psi: 1.7400 | logL: -183.6383 | obj: 174.6996 | constraint_violation: 8.5034e-10
Branch 52 | psi: 1.7500 | logL: -184.5467 | obj: 175.6527 | constraint_violation: 9.1706e-09
Branch 53 | psi: 1.7600 | logL: -185.7120 | obj: 176.7920 | constraint_violation: 1.0343e-09
