Branch 1 | psi: 1.2400 | logL: -180.0605 | obj: 169.8053 | constraint_violation: 4.0619e-10
Branch 2 | psi: 1.2500 | logL: -179.8331 | obj: 169.5517 | constraint_violation: 3.7197e-10
Branch 3 | psi: 1.2600 | logL: -179.6045 | obj: 169.3056 | constraint_violation: 4.4170e-10
Branch 4 | psi: 1.2700 | logL: -179.3364 | obj: 169.0694 | constraint_violation: 4.6667e-09
Branch 5 | psi: 1.2800 | logL: -179.1608 | obj: 168.8424 | constraint_violation: 8.2468e-10
Branch 6 | psi: 1.2900 | logL: -178.9598 | obj: 168.6246 | constraint_violation: 4.5087e-10
Branch 7 | psi: 1.3000 | logL: -178.7293 | obj: 168.4163 | constraint_violation: 7.2733e-10
Branch 8 | psi: 1.3100 | logL: -178.5348 | obj: 168.2176 | constraint_violation: 8.0248e-10
Branch 9 | psi: 1.3200 | logL: -178.3631 | obj: 168.0291 | constraint_violation: 1.7279e-09
Branch 10 | psi: 1.3300 | logL: -178.1765 | obj: 167.8512 | constraint_violation: 2.0769e-09
Branch 11 | psi: 1.3400 | logL: -178.0228 | obj: 167.6841 | constraint_violation: 1.5834e-09
Branch 12 | psi: 1.3500 | logL: -177.8810 | obj: 167.5282 | constraint_violation: 1.5423e-10
Branch 13 | psi: 1.3600 | logL: -177.7583 | obj: 167.3835 | constraint_violation: 7.0058e-10
Branch 14 | psi: 1.3700 | logL: -177.6041 | obj: 167.2508 | constraint_violation: 2.3058e-09
Branch 15 | psi: 1.3800 | logL: -177.4935 | obj: 167.1309 | constraint_violation: 1.5499e-09
Branch 16 | psi: 1.3900 | logL: -177.3923 | obj: 167.0220 | constraint_violation: 1.0455e-10
Branch 17 | psi: 1.4000 | logL: -177.2774 | obj: 166.9265 | constraint_violation: 1.6862e-09
Branch 18 | psi: 1.4100 | logL: -177.1677 | obj: 166.8453 | constraint_violation: 8.6260e-10
Branch 19 | psi: 1.4200 | logL: -177.1503 | obj: 166.7767 | constraint_violation: 8.9432e-10
Branch 20 | psi: 1.4300 | logL: -177.0820 | obj: 166.7216 | constraint_violation: 3.9818e-10
Branch 21 | psi: 1.4400 | logL: -177.0055 | obj: 166.6815 | constraint_violation: 4.3723e-10
Branch 22 | psi: 1.4500 | logL: -176.9764 | obj: 166.6562 | constraint_violation: 5.6466e-09
Branch 23 | psi: 1.4600 | logL: -176.9204 | obj: 166.6462 | constraint_violation: 2.4245e-10
Branch 24 | psi: 1.4700 | logL: -177.0054 | obj: 166.6511 | constraint_violation: 6.0584e-09
Branch 25 | psi: 1.4800 | logL: -176.9674 | obj: 166.6720 | constraint_violation: 2.7124e-10
Branch 26 | psi: 1.4900 | logL: -176.9233 | obj: 166.7101 | constraint_violation: 3.5518e-09
Branch 27 | psi: 1.5000 | logL: -177.0060 | obj: 166.7630 | constraint_violation: 3.7043e-09
Branch 28 | psi: 1.5100 | logL: -176.9961 | obj: 166.8333 | constraint_violation: 8.5128e-10
Branch 29 | psi: 1.5200 | logL: -177.0725 | obj: 166.9209 | constraint_violation: 1.0582e-06
Branch 30 | psi: 1.5300 | logL: -177.1794 | obj: 167.0253 | constraint_violation: 4.2557e-06
Branch 31 | psi: 1.5400 | logL: -177.2872 | obj: 167.1488 | constraint_violation: 1.1441e-06
Branch 32 | psi: 1.5500 | logL: -177.3597 | obj: 167.2846 | constraint_violation: 8.1061e-07
Branch 33 | psi: 1.5600 | logL: -177.4616 | obj: 167.4390 | constraint_violation: 4.5106e-06
Branch 34 | psi: 1.5700 | logL: -177.9164 | obj: 167.6550 | constraint_violation: 5.9427e-06
Branch 35 | psi: 1.5800 | logL: -177.7582 | obj: 167.8091 | constraint_violation: 3.6115e-09
Branch 36 | psi: 1.5900 | logL: -177.7088 | obj: 168.0086 | constraint_violation: 1.0418e-06
Branch 37 | psi: 1.6000 | logL: -178.1139 | obj: 168.2477 | constraint_violation: 2.1526e-07
Branch 38 | psi: 1.6100 | logL: -178.1058 | obj: 168.4879 | constraint_violation: 9.8602e-07
Branch 39 | psi: 1.6200 | logL: -178.5101 | obj: 168.7654 | constraint_violation: 4.6234e-06
Branch 40 | psi: 1.6300 | logL: -178.7275 | obj: 169.0606 | constraint_violation: 5.6836e-07
Branch 41 | psi: 1.6400 | logL: -178.9905 | obj: 169.3799 | constraint_violation: 1.7185e-07
Branch 42 | psi: 1.6500 | logL: -179.3314 | obj: 169.7319 | constraint_violation: 9.0640e-08
Branch 43 | psi: 1.6600 | logL: -179.6206 | obj: 170.1037 | constraint_violation: 1.9930e-07
Branch 44 | psi: 1.6700 | logL: -180.0165 | obj: 170.5142 | constraint_violation: 1.3450e-08
Branch 45 | psi: 1.6800 | logL: -180.2114 | obj: 170.9316 | constraint_violation: 2.7765e-07
Branch 46 | psi: 1.6900 | logL: -180.5420 | obj: 171.4041 | constraint_violation: 4.0644e-08
Branch 47 | psi: 1.7000 | logL: -181.0273 | obj: 171.9296 | constraint_violation: 4.3558e-09
Branch 48 | psi: 1.7100 | logL: -181.5618 | obj: 172.5097 | constraint_violation: 1.1266e-09
Branch 49 | psi: 1.7200 | logL: -182.1675 | obj: 173.1540 | constraint_violation: 5.3285e-10
Branch 50 | psi: 1.7300 | logL: -182.8574 | obj: 173.8772 | constraint_violation: 5.6511e-10
Branch 51 | psi: 1.7400 | logL: -183.6414 | obj: 174.6997 | constraint_violation: 9.5846e-10
Branch 52 | psi: 1.7500 | logL: -184.5460 | obj: 175.6528 | constraint_violation: 1.3361e-09
Branch 53 | psi: 1.7600 | logL: -185.7166 | obj: 176.7922 | constraint_violation: 5.3112e-10
