Branch 1 | psi: 1.2400 | logL: -181.8523 | obj: 164.0188 | constraint_violation: 2.8930e-09
Branch 2 | psi: 1.2500 | logL: -181.5217 | obj: 163.7557 | constraint_violation: 3.1061e-09
Branch 3 | psi: 1.2600 | logL: -181.2642 | obj: 163.5020 | constraint_violation: 1.9332e-09
Branch 4 | psi: 1.2700 | logL: -180.9457 | obj: 163.2571 | constraint_violation: 2.0604e-09
Branch 5 | psi: 1.2800 | logL: -180.6636 | obj: 163.0232 | constraint_violation: 5.1689e-09
Branch 6 | psi: 1.2900 | logL: -180.4207 | obj: 162.7929 | constraint_violation: 2.5270e-10
Branch 7 | psi: 1.3000 | logL: -180.1220 | obj: 162.5727 | constraint_violation: 1.1411e-09
Branch 8 | psi: 1.3100 | logL: -179.9020 | obj: 162.3633 | constraint_violation: 1.6583e-09
Branch 9 | psi: 1.3200 | logL: -179.5985 | obj: 162.1647 | constraint_violation: 1.1598e-09
Branch 10 | psi: 1.3300 | logL: -179.2767 | obj: 161.9770 | constraint_violation: 2.9823e-10
Branch 11 | psi: 1.3400 | logL: -179.1169 | obj: 161.7984 | constraint_violation: 8.9914e-10
Branch 12 | psi: 1.3500 | logL: -178.9260 | obj: 161.6326 | constraint_violation: 4.6943e-09
Branch 13 | psi: 1.3600 | logL: -178.6253 | obj: 161.4789 | constraint_violation: 2.6320e-09
Branch 14 | psi: 1.3700 | logL: -178.4615 | obj: 161.3352 | constraint_violation: 2.5276e-09
Branch 15 | psi: 1.3800 | logL: -178.1715 | obj: 161.2066 | constraint_violation: 8.4347e-10
Branch 16 | psi: 1.3900 | logL: -178.0629 | obj: 161.0889 | constraint_violation: 1.2208e-09
Branch 17 | psi: 1.4000 | logL: -177.4092 | obj: 161.0330 | constraint_violation: 3.0460e-06
Branch 18 | psi: 1.4100 | logL: -177.2782 | obj: 160.9098 | constraint_violation: 1.9107e-07
Branch 19 | psi: 1.4200 | logL: -177.4872 | obj: 160.8237 | constraint_violation: 5.8900e-07
Branch 20 | psi: 1.4300 | logL: -177.1707 | obj: 160.7706 | constraint_violation: 2.2647e-07
Branch 21 | psi: 1.4400 | logL: -177.0296 | obj: 160.7280 | constraint_violation: 1.5567e-06
Branch 22 | psi: 1.4500 | logL: -176.9942 | obj: 160.6956 | constraint_violation: 2.1268e-07
Branch 23 | psi: 1.4600 | logL: -176.9851 | obj: 160.6838 | constraint_violation: 9.2845e-09
Branch 24 | psi: 1.4700 | logL: -176.8524 | obj: 160.6917 | constraint_violation: 7.1270e-07
Branch 25 | psi: 1.4800 | logL: -176.7987 | obj: 160.7165 | constraint_violation: 2.6918e-08
Branch 26 | psi: 1.4900 | logL: -176.7160 | obj: 160.7526 | constraint_violation: 7.2759e-08
Branch 27 | psi: 1.5000 | logL: -176.6614 | obj: 160.8106 | constraint_violation: 6.8084e-08
Branch 28 | psi: 1.5100 | logL: -176.5891 | obj: 160.8810 | constraint_violation: 3.4663e-08
Branch 29 | psi: 1.5200 | logL: -176.5414 | obj: 160.9725 | constraint_violation: 6.0329e-09
