Branch 1 | psi: 1.2400 | logL: -180.0233 | obj: 169.8072 | constraint_violation: 3.4870e-09
Branch 2 | psi: 1.2500 | logL: -179.7715 | obj: 169.5520 | constraint_violation: 2.5624e-10
Branch 3 | psi: 1.2600 | logL: -179.5641 | obj: 169.3069 | constraint_violation: 4.8853e-10
Branch 4 | psi: 1.2700 | logL: -179.3562 | obj: 169.0691 | constraint_violation: 3.6800e-10
Branch 5 | psi: 1.2800 | logL: -179.1233 | obj: 168.8421 | constraint_violation: 2.0920e-09
Branch 6 | psi: 1.2900 | logL: -178.9025 | obj: 168.6241 | constraint_violation: 2.8936e-09
Branch 7 | psi: 1.3000 | logL: -178.7272 | obj: 168.4163 | constraint_violation: 5.5964e-10
Branch 8 | psi: 1.3100 | logL: -178.5493 | obj: 168.2173 | constraint_violation: 1.9046e-09
Branch 9 | psi: 1.3200 | logL: -178.3456 | obj: 168.0294 | constraint_violation: 2.1643e-09
Branch 10 | psi: 1.3300 | logL: -178.2006 | obj: 167.8515 | constraint_violation: 4.2879e-10
Branch 11 | psi: 1.3400 | logL: -178.0442 | obj: 167.6840 | constraint_violation: 6.8847e-10
Branch 12 | psi: 1.3500 | logL: -177.8158 | obj: 167.5302 | constraint_violation: 1.3781e-09
Branch 13 | psi: 1.3600 | logL: -177.7650 | obj: 167.3836 | constraint_violation: 8.4498e-10
Branch 14 | psi: 1.3700 | logL: -177.6000 | obj: 167.2513 | constraint_violation: 2.4816e-09
Branch 15 | psi: 1.3800 | logL: -177.4879 | obj: 167.1311 | constraint_violation: 7.4351e-10
Branch 16 | psi: 1.3900 | logL: -177.4084 | obj: 167.0220 | constraint_violation: 3.9441e-10
Branch 17 | psi: 1.4000 | logL: -177.2801 | obj: 166.9264 | constraint_violation: 3.5398e-10
Branch 18 | psi: 1.4100 | logL: -177.1769 | obj: 166.8448 | constraint_violation: 5.1326e-10
Branch 19 | psi: 1.4200 | logL: -177.1223 | obj: 166.7758 | constraint_violation: 7.9364e-10
Branch 20 | psi: 1.4300 | logL: -177.0723 | obj: 166.7210 | constraint_violation: 1.3194e-09
Branch 21 | psi: 1.4400 | logL: -177.0237 | obj: 166.6809 | constraint_violation: 3.8657e-10
Branch 22 | psi: 1.4500 | logL: -176.9591 | obj: 166.6558 | constraint_violation: 3.6288e-09
Branch 23 | psi: 1.4600 | logL: -176.9666 | obj: 166.6452 | constraint_violation: 5.5072e-11
Branch 24 | psi: 1.4700 | logL: -176.9424 | obj: 166.6519 | constraint_violation: 1.9301e-09
Branch 25 | psi: 1.4800 | logL: -176.9381 | obj: 166.6719 | constraint_violation: 2.0604e-09
Branch 26 | psi: 1.4900 | logL: -176.9783 | obj: 166.7092 | constraint_violation: 4.1956e-09
Branch 27 | psi: 1.5000 | logL: -177.0132 | obj: 166.7635 | constraint_violation: 3.8068e-09
