Branch 1 | psi: 1.2400 | logL: -180.0914 | obj: 169.8059 | constraint_violation: 2.0528e-09
Branch 2 | psi: 1.2500 | logL: -179.8563 | obj: 169.5507 | constraint_violation: 5.6322e-10
Branch 3 | psi: 1.2600 | logL: -179.5936 | obj: 169.3060 | constraint_violation: 6.6216e-10
Branch 4 | psi: 1.2700 | logL: -179.3557 | obj: 169.0693 | constraint_violation: 3.3929e-10
Branch 5 | psi: 1.2800 | logL: -179.1229 | obj: 168.8421 | constraint_violation: 2.7083e-09
Branch 6 | psi: 1.2900 | logL: -178.9441 | obj: 168.6244 | constraint_violation: 1.5559e-10
Branch 7 | psi: 1.3000 | logL: -178.7462 | obj: 168.4159 | constraint_violation: 1.3870e-09
Branch 8 | psi: 1.3100 | logL: -178.5579 | obj: 168.2177 | constraint_violation: 2.2894e-09
Branch 9 | psi: 1.3200 | logL: -178.3506 | obj: 168.0291 | constraint_violation: 1.4633e-09
Branch 10 | psi: 1.3300 | logL: -178.1722 | obj: 167.8513 | constraint_violation: 1.7701e-09
Branch 11 | psi: 1.3400 | logL: -178.0173 | obj: 167.6842 | constraint_violation: 1.2354e-09
Branch 12 | psi: 1.3500 | logL: -177.8513 | obj: 167.5293 | constraint_violation: 2.4236e-09
Branch 13 | psi: 1.3600 | logL: -177.7244 | obj: 167.3841 | constraint_violation: 9.9879e-10
Branch 14 | psi: 1.3700 | logL: -177.6003 | obj: 167.2516 | constraint_violation: 1.2895e-09
Branch 15 | psi: 1.3800 | logL: -177.4871 | obj: 167.1301 | constraint_violation: 1.9182e-09
Branch 16 | psi: 1.3900 | logL: -177.3963 | obj: 167.0215 | constraint_violation: 6.0130e-10
Branch 17 | psi: 1.4000 | logL: -177.2915 | obj: 166.9262 | constraint_violation: 3.6938e-10
Branch 18 | psi: 1.4100 | logL: -177.2097 | obj: 166.8443 | constraint_violation: 1.1382e-09
Branch 19 | psi: 1.4200 | logL: -177.0889 | obj: 166.7763 | constraint_violation: 7.6317e-10
Branch 20 | psi: 1.4300 | logL: -177.0603 | obj: 166.7212 | constraint_violation: 1.6743e-10
Branch 21 | psi: 1.4400 | logL: -177.0001 | obj: 166.6814 | constraint_violation: 1.9157e-09
Branch 22 | psi: 1.4500 | logL: -176.9654 | obj: 166.6557 | constraint_violation: 4.0753e-09
Branch 23 | psi: 1.4600 | logL: -176.9805 | obj: 166.6456 | constraint_violation: 1.6046e-10
Branch 24 | psi: 1.4700 | logL: -176.9393 | obj: 166.6520 | constraint_violation: 2.0295e-09
Branch 25 | psi: 1.4800 | logL: -176.9677 | obj: 166.6719 | constraint_violation: 3.5832e-10
Branch 26 | psi: 1.4900 | logL: -176.9448 | obj: 166.7093 | constraint_violation: 2.9538e-10
Branch 27 | psi: 1.5000 | logL: -177.0172 | obj: 166.7631 | constraint_violation: 3.9156e-09
Branch 28 | psi: 1.5100 | logL: -177.0300 | obj: 166.8330 | constraint_violation: 1.1702e-09
Branch 29 | psi: 1.5200 | logL: -177.0859 | obj: 166.9205 | constraint_violation: 1.0468e-06
Branch 30 | psi: 1.5300 | logL: -177.1833 | obj: 167.0252 | constraint_violation: 4.2434e-06
Branch 31 | psi: 1.5400 | logL: -177.2874 | obj: 167.1485 | constraint_violation: 1.1476e-06
Branch 32 | psi: 1.5500 | logL: -177.3392 | obj: 167.2827 | constraint_violation: 2.5532e-07
Branch 33 | psi: 1.5600 | logL: -177.4627 | obj: 167.4386 | constraint_violation: 8.2223e-07
Branch 34 | psi: 1.5700 | logL: -177.8662 | obj: 167.6422 | constraint_violation: 9.3035e-06
Branch 35 | psi: 1.5800 | logL: -177.7089 | obj: 167.8056 | constraint_violation: 3.9895e-07
Branch 36 | psi: 1.5900 | logL: -177.7151 | obj: 168.0085 | constraint_violation: 2.7364e-07
Branch 37 | psi: 1.6000 | logL: -178.1248 | obj: 168.2480 | constraint_violation: 2.0193e-07
Branch 38 | psi: 1.6100 | logL: -178.0978 | obj: 168.4871 | constraint_violation: 1.0614e-06
Branch 39 | psi: 1.6200 | logL: -178.2652 | obj: 168.7554 | constraint_violation: 7.2090e-07
Branch 40 | psi: 1.6300 | logL: -178.6975 | obj: 169.0580 | constraint_violation: 3.4946e-08
Branch 41 | psi: 1.6400 | logL: -179.0031 | obj: 169.3794 | constraint_violation: 3.7247e-08
Branch 42 | psi: 1.6500 | logL: -179.2227 | obj: 169.7226 | constraint_violation: 2.5549e-08
Branch 43 | psi: 1.6600 | logL: -179.6302 | obj: 170.1054 | constraint_violation: 4.0759e-07
Branch 44 | psi: 1.6700 | logL: -180.0245 | obj: 170.5135 | constraint_violation: 3.5313e-08
