Branch 1 | psi: 1.2400 | logL: -181.6441 | obj: 167.2727 | constraint_violation: 1.8001e-09
Branch 2 | psi: 1.2500 | logL: -178.3649 | obj: 166.9665 | constraint_violation: 1.6344e-09
Branch 3 | psi: 1.2600 | logL: -178.1899 | obj: 166.7109 | constraint_violation: 2.1237e-09
Branch 4 | psi: 1.2700 | logL: -177.9791 | obj: 166.4646 | constraint_violation: 8.8575e-10
Branch 5 | psi: 1.2800 | logL: -177.6879 | obj: 166.2268 | constraint_violation: 6.9805e-10
Branch 6 | psi: 1.2900 | logL: -177.5712 | obj: 165.9985 | constraint_violation: 7.6184e-10
Branch 7 | psi: 1.3000 | logL: -177.3790 | obj: 165.7798 | constraint_violation: 1.5829e-09
Branch 8 | psi: 1.3100 | logL: -177.0758 | obj: 165.5683 | constraint_violation: 1.1158e-09
Branch 9 | psi: 1.3200 | logL: -176.8653 | obj: 165.3681 | constraint_violation: 3.4906e-10
Branch 10 | psi: 1.3300 | logL: -176.7758 | obj: 165.1779 | constraint_violation: 9.3091e-10
Branch 11 | psi: 1.3400 | logL: -176.5825 | obj: 164.9981 | constraint_violation: 6.0262e-10
Branch 12 | psi: 1.3500 | logL: -176.3725 | obj: 164.8299 | constraint_violation: 8.4574e-10
Branch 13 | psi: 1.3600 | logL: -176.2738 | obj: 164.6737 | constraint_violation: 7.4125e-10
Branch 14 | psi: 1.3700 | logL: -176.0304 | obj: 164.5279 | constraint_violation: 9.9900e-10
Branch 15 | psi: 1.3800 | logL: -175.9233 | obj: 164.3962 | constraint_violation: 1.8708e-09
Branch 16 | psi: 1.3900 | logL: -175.8086 | obj: 164.2754 | constraint_violation: 1.5967e-10
Branch 17 | psi: 1.4000 | logL: -175.8648 | obj: 164.1704 | constraint_violation: 2.1382e-10
Branch 18 | psi: 1.4100 | logL: -175.7062 | obj: 164.0786 | constraint_violation: 2.4096e-09
Branch 19 | psi: 1.4200 | logL: -175.6562 | obj: 164.0007 | constraint_violation: 4.1125e-10
Branch 20 | psi: 1.4300 | logL: -175.6318 | obj: 163.9386 | constraint_violation: 1.0949e-09
Branch 21 | psi: 1.4400 | logL: -175.4792 | obj: 163.8917 | constraint_violation: 2.4694e-10
Branch 22 | psi: 1.4500 | logL: -175.4432 | obj: 163.8648 | constraint_violation: 2.2046e-09
Branch 23 | psi: 1.4600 | logL: -175.5243 | obj: 163.8511 | constraint_violation: 5.1766e-10
Branch 24 | psi: 1.4700 | logL: -175.6195 | obj: 163.8593 | constraint_violation: 3.7564e-09
Branch 25 | psi: 1.4800 | logL: -175.6757 | obj: 163.8873 | constraint_violation: 2.5965e-06
Branch 26 | psi: 1.4900 | logL: -175.8219 | obj: 163.9529 | constraint_violation: 1.4090e-06
Branch 27 | psi: 1.5000 | logL: -175.9660 | obj: 164.0261 | constraint_violation: 5.2823e-06
Branch 28 | psi: 1.5100 | logL: -175.5098 | obj: 164.0722 | constraint_violation: 4.9261e-07
Branch 29 | psi: 1.5200 | logL: -175.4319 | obj: 164.1734 | constraint_violation: 3.2189e-07
Branch 30 | psi: 1.5300 | logL: -175.4771 | obj: 164.2974 | constraint_violation: 8.3258e-07
Branch 31 | psi: 1.5400 | logL: -175.3389 | obj: 164.4254 | constraint_violation: 8.6597e-07
Branch 32 | psi: 1.5500 | logL: -175.3458 | obj: 164.5781 | constraint_violation: 8.7812e-07
Branch 33 | psi: 1.5600 | logL: -175.4770 | obj: 164.7531 | constraint_violation: 1.5787e-08
Branch 34 | psi: 1.5700 | logL: -175.6634 | obj: 164.9683 | constraint_violation: 2.6320e-06
Branch 35 | psi: 1.5800 | logL: -175.5697 | obj: 165.1429 | constraint_violation: 8.1217e-07
Branch 36 | psi: 1.5900 | logL: -175.5415 | obj: 165.3594 | constraint_violation: 4.0457e-07
Branch 37 | psi: 1.6000 | logL: -175.9313 | obj: 165.6046 | constraint_violation: 7.2086e-08
Branch 38 | psi: 1.6100 | logL: -175.8691 | obj: 165.8588 | constraint_violation: 4.5661e-09
Branch 39 | psi: 1.6200 | logL: -176.2214 | obj: 166.1413 | constraint_violation: 1.9700e-08
Branch 40 | psi: 1.6300 | logL: -176.2928 | obj: 166.4386 | constraint_violation: 5.5481e-09
Branch 41 | psi: 1.6400 | logL: -176.5112 | obj: 166.7626 | constraint_violation: 2.9888e-08
Branch 42 | psi: 1.6500 | logL: -176.7572 | obj: 167.1114 | constraint_violation: 8.4626e-08
Branch 43 | psi: 1.6600 | logL: -177.0389 | obj: 167.4864 | constraint_violation: 9.1467e-09
Branch 44 | psi: 1.6700 | logL: -177.4122 | obj: 167.8928 | constraint_violation: 4.1629e-09
Branch 45 | psi: 1.6800 | logL: -177.8017 | obj: 168.3330 | constraint_violation: 3.7672e-09
Branch 46 | psi: 1.6900 | logL: -178.2044 | obj: 168.8121 | constraint_violation: 4.4374e-10
Branch 47 | psi: 1.7000 | logL: -178.7162 | obj: 169.3356 | constraint_violation: 6.8306e-10
Branch 48 | psi: 1.7100 | logL: -179.2839 | obj: 169.9118 | constraint_violation: 6.3986e-10
Branch 49 | psi: 1.7200 | logL: -179.8663 | obj: 170.5503 | constraint_violation: 3.4636e-10
Branch 50 | psi: 1.7300 | logL: -180.5804 | obj: 171.2649 | constraint_violation: 7.6026e-10
Branch 51 | psi: 1.7400 | logL: -181.3839 | obj: 172.0769 | constraint_violation: 6.8677e-10
Branch 52 | psi: 1.7500 | logL: -182.3431 | obj: 173.0162 | constraint_violation: 4.4871e-09
Branch 53 | psi: 1.7600 | logL: -183.4582 | obj: 174.1357 | constraint_violation: 3.6848e-09
