Branch 1 | psi: 1.2400 | logL: -181.1667 | obj: 160.0983 | constraint_violation: 1.8328e-09
Branch 2 | psi: 1.2500 | logL: -179.8245 | obj: 159.8547 | constraint_violation: 4.4757e-11
Branch 3 | psi: 1.2600 | logL: -178.7921 | obj: 159.6320 | constraint_violation: 1.4065e-10
Branch 4 | psi: 1.2700 | logL: -179.1574 | obj: 159.4192 | constraint_violation: 1.6742e-10
Branch 5 | psi: 1.2800 | logL: -178.8391 | obj: 159.2215 | constraint_violation: 8.9587e-10
Branch 6 | psi: 1.2900 | logL: -178.5220 | obj: 159.0267 | constraint_violation: 2.6429e-10
Branch 7 | psi: 1.3000 | logL: -179.7527 | obj: 158.8394 | constraint_violation: 9.6234e-10
Branch 8 | psi: 1.3100 | logL: -179.1980 | obj: 158.6644 | constraint_violation: 5.9447e-10
Branch 9 | psi: 1.3200 | logL: -178.5288 | obj: 158.4989 | constraint_violation: 1.1079e-09
Branch 10 | psi: 1.3300 | logL: -177.9436 | obj: 158.3477 | constraint_violation: 1.7444e-09
Branch 11 | psi: 1.3400 | logL: -177.6336 | obj: 158.2014 | constraint_violation: 3.9669e-09
Branch 12 | psi: 1.3500 | logL: -177.9362 | obj: 158.0642 | constraint_violation: 8.6071e-11
Branch 13 | psi: 1.3600 | logL: -176.4198 | obj: 157.9429 | constraint_violation: 4.1919e-10
Branch 14 | psi: 1.3700 | logL: -177.8769 | obj: 157.8283 | constraint_violation: 2.9028e-09
Branch 15 | psi: 1.3800 | logL: -176.2238 | obj: 157.7269 | constraint_violation: 1.0269e-10
Branch 16 | psi: 1.3900 | logL: -176.1314 | obj: 157.6349 | constraint_violation: 2.0172e-10
Branch 17 | psi: 1.4000 | logL: -177.1977 | obj: 157.5580 | constraint_violation: 4.2527e-10
Branch 18 | psi: 1.4100 | logL: -179.5316 | obj: 157.4848 | constraint_violation: 2.7226e-10
Branch 19 | psi: 1.4200 | logL: -177.7092 | obj: 157.4290 | constraint_violation: 6.4964e-11
Branch 20 | psi: 1.4300 | logL: -177.7837 | obj: 157.3862 | constraint_violation: 6.2512e-11
Branch 21 | psi: 1.4400 | logL: -178.5752 | obj: 157.3522 | constraint_violation: 5.9819e-11
Branch 22 | psi: 1.4500 | logL: -178.4019 | obj: 157.3282 | constraint_violation: 1.3260e-10
Branch 23 | psi: 1.4600 | logL: -176.4390 | obj: 157.3205 | constraint_violation: 3.8425e-11
Branch 24 | psi: 1.4700 | logL: -176.7564 | obj: 157.3252 | constraint_violation: 6.8610e-11
Branch 25 | psi: 1.4800 | logL: -175.5582 | obj: 157.3450 | constraint_violation: 1.0359e-10
Branch 26 | psi: 1.4900 | logL: -175.8661 | obj: 157.3754 | constraint_violation: 6.6563e-11
Branch 27 | psi: 1.5000 | logL: -175.0984 | obj: 157.4198 | constraint_violation: 2.4848e-10
Branch 28 | psi: 1.5100 | logL: -175.7244 | obj: 157.4797 | constraint_violation: 4.4332e-10
Branch 29 | psi: 1.5200 | logL: -176.3501 | obj: 157.5542 | constraint_violation: 4.8444e-10
Branch 30 | psi: 1.5300 | logL: -176.6188 | obj: 157.6418 | constraint_violation: 3.4105e-10
Branch 31 | psi: 1.5400 | logL: -176.3169 | obj: 157.7483 | constraint_violation: 6.8924e-11
Branch 32 | psi: 1.5500 | logL: -175.9965 | obj: 157.8685 | constraint_violation: 1.1922e-10
Branch 33 | psi: 1.5600 | logL: -175.7762 | obj: 158.0093 | constraint_violation: 1.4793e-10
Branch 34 | psi: 1.5700 | logL: -177.2205 | obj: 158.1627 | constraint_violation: 9.3979e-11
Branch 35 | psi: 1.5800 | logL: -176.1266 | obj: 158.3408 | constraint_violation: 1.5261e-09
Branch 36 | psi: 1.5900 | logL: -176.7536 | obj: 158.5337 | constraint_violation: 1.1205e-10
Branch 37 | psi: 1.6000 | logL: -178.1307 | obj: 158.7511 | constraint_violation: 4.9383e-10
Branch 38 | psi: 1.6100 | logL: -178.9782 | obj: 158.9874 | constraint_violation: 1.4141e-09
Branch 39 | psi: 1.6200 | logL: -180.0458 | obj: 159.2504 | constraint_violation: 1.5596e-09
Branch 40 | psi: 1.6300 | logL: -178.4381 | obj: 159.5334 | constraint_violation: 2.7376e-10
Branch 41 | psi: 1.6400 | logL: -179.2587 | obj: 159.8482 | constraint_violation: 1.5746e-10
Branch 42 | psi: 1.6500 | logL: -179.3368 | obj: 160.1933 | constraint_violation: 4.4723e-06
Branch 43 | psi: 1.6600 | logL: -180.2730 | obj: 160.5724 | constraint_violation: 2.6437e-06
Branch 44 | psi: 1.6700 | logL: -180.3004 | obj: 161.0015 | constraint_violation: 6.7801e-07
Branch 45 | psi: 1.6800 | logL: -180.6728 | obj: 161.4637 | constraint_violation: 3.3638e-07
Branch 46 | psi: 1.6900 | logL: -180.7524 | obj: 161.9370 | constraint_violation: 3.9501e-08
Branch 47 | psi: 1.7000 | logL: -181.2802 | obj: 162.4896 | constraint_violation: 7.1215e-10
Branch 48 | psi: 1.7100 | logL: -181.9877 | obj: 163.1033 | constraint_violation: 2.4020e-08
Branch 49 | psi: 1.7200 | logL: -182.0311 | obj: 163.7901 | constraint_violation: 8.3994e-10
Branch 50 | psi: 1.7300 | logL: -183.2610 | obj: 164.5650 | constraint_violation: 4.9334e-10
Branch 51 | psi: 1.7400 | logL: -184.4829 | obj: 165.4475 | constraint_violation: 7.3984e-10
Branch 52 | psi: 1.7500 | logL: -185.7102 | obj: 166.4811 | constraint_violation: 9.9177e-10
