Branch 1 | psi: 1.2400 | logL: -209.2448 | obj: 155.8802 | constraint_violation: 1.9544e-09
Branch 2 | psi: 1.2500 | logL: -182.0184 | obj: 155.4627 | constraint_violation: 1.0493e-10
Branch 3 | psi: 1.2600 | logL: -181.6849 | obj: 155.2537 | constraint_violation: 2.8712e-10
Branch 4 | psi: 1.2700 | logL: -181.3701 | obj: 155.0549 | constraint_violation: 4.1180e-10
Branch 5 | psi: 1.2800 | logL: -180.4047 | obj: 154.8604 | constraint_violation: 7.5586e-10
Branch 6 | psi: 1.2900 | logL: -180.1069 | obj: 154.6807 | constraint_violation: 3.9961e-10
Branch 7 | psi: 1.3000 | logL: -179.9099 | obj: 154.5113 | constraint_violation: 6.0277e-10
Branch 8 | psi: 1.3100 | logL: -179.7526 | obj: 154.3506 | constraint_violation: 5.3355e-10
Branch 9 | psi: 1.3200 | logL: -179.3499 | obj: 154.2010 | constraint_violation: 7.5622e-11
Branch 10 | psi: 1.3300 | logL: -179.2759 | obj: 154.0601 | constraint_violation: 1.2261e-09
Branch 11 | psi: 1.3400 | logL: -178.9079 | obj: 153.9282 | constraint_violation: 8.1228e-10
Branch 12 | psi: 1.3500 | logL: -178.7402 | obj: 153.8066 | constraint_violation: 7.5035e-10
Branch 13 | psi: 1.3600 | logL: -178.5564 | obj: 153.6961 | constraint_violation: 2.3719e-09
Branch 14 | psi: 1.3700 | logL: -178.6519 | obj: 153.5957 | constraint_violation: 2.2776e-09
Branch 15 | psi: 1.3800 | logL: -178.1382 | obj: 153.5037 | constraint_violation: 1.2899e-09
Branch 16 | psi: 1.3900 | logL: -177.9478 | obj: 153.4197 | constraint_violation: 6.3807e-10
Branch 17 | psi: 1.4000 | logL: -177.7781 | obj: 153.3484 | constraint_violation: 7.3809e-10
Branch 18 | psi: 1.4100 | logL: -177.6366 | obj: 153.2893 | constraint_violation: 9.3511e-10
Branch 19 | psi: 1.4200 | logL: -177.4671 | obj: 153.2352 | constraint_violation: 6.3468e-10
Branch 20 | psi: 1.4300 | logL: -177.4141 | obj: 153.1948 | constraint_violation: 1.1538e-09
Branch 21 | psi: 1.4400 | logL: -177.2425 | obj: 153.1636 | constraint_violation: 1.1705e-09
Branch 22 | psi: 1.4500 | logL: -177.1033 | obj: 153.1449 | constraint_violation: 4.3230e-10
Branch 23 | psi: 1.4600 | logL: -176.9138 | obj: 153.1383 | constraint_violation: 4.0429e-11
Branch 24 | psi: 1.4700 | logL: -176.8965 | obj: 153.1407 | constraint_violation: 4.4460e-10
Branch 25 | psi: 1.4800 | logL: -176.7375 | obj: 153.1567 | constraint_violation: 3.8061e-11
Branch 26 | psi: 1.4900 | logL: -176.7356 | obj: 153.1857 | constraint_violation: 5.6260e-10
Branch 27 | psi: 1.5000 | logL: -176.4408 | obj: 153.2257 | constraint_violation: 3.5874e-10
Branch 28 | psi: 1.5100 | logL: -176.7141 | obj: 153.2790 | constraint_violation: 1.8215e-10
Branch 29 | psi: 1.5200 | logL: -176.5215 | obj: 153.3450 | constraint_violation: 9.8964e-10
Branch 30 | psi: 1.5300 | logL: -176.3373 | obj: 153.4247 | constraint_violation: 6.6361e-10
Branch 31 | psi: 1.5400 | logL: -176.5317 | obj: 153.5196 | constraint_violation: 6.4182e-11
Branch 32 | psi: 1.5500 | logL: -176.5649 | obj: 153.6294 | constraint_violation: 1.6023e-10
Branch 33 | psi: 1.5600 | logL: -176.6121 | obj: 153.7514 | constraint_violation: 2.2433e-09
Branch 34 | psi: 1.5700 | logL: -176.5555 | obj: 153.8933 | constraint_violation: 8.8593e-10
Branch 35 | psi: 1.5800 | logL: -176.5999 | obj: 154.0501 | constraint_violation: 8.2551e-11
Branch 36 | psi: 1.5900 | logL: -176.7518 | obj: 154.2267 | constraint_violation: 5.7448e-10
Branch 37 | psi: 1.6000 | logL: -176.6578 | obj: 154.4218 | constraint_violation: 8.0499e-10
Branch 38 | psi: 1.6100 | logL: -176.8622 | obj: 154.6366 | constraint_violation: 7.6352e-10
Branch 39 | psi: 1.6200 | logL: -176.9164 | obj: 154.8739 | constraint_violation: 6.7286e-10
Branch 40 | psi: 1.6300 | logL: -177.1647 | obj: 155.1335 | constraint_violation: 3.3153e-09
Branch 41 | psi: 1.6400 | logL: -177.2766 | obj: 155.4187 | constraint_violation: 1.0639e-09
