Branch 1 | psi: 1.2400 | logL: -180.0957 | obj: 169.8048 | constraint_violation: 4.6606e-10
Branch 2 | psi: 1.2500 | logL: -179.8547 | obj: 169.5504 | constraint_violation: 5.1273e-10
Branch 3 | psi: 1.2600 | logL: -179.6018 | obj: 169.3054 | constraint_violation: 7.1902e-10
Branch 4 | psi: 1.2700 | logL: -179.3604 | obj: 169.0698 | constraint_violation: 3.8692e-09
Branch 5 | psi: 1.2800 | logL: -179.1430 | obj: 168.8425 | constraint_violation: 9.6591e-10
Branch 6 | psi: 1.2900 | logL: -178.9214 | obj: 168.6248 | constraint_violation: 2.2667e-09
Branch 7 | psi: 1.3000 | logL: -178.7162 | obj: 168.4162 | constraint_violation: 1.2945e-09
Branch 8 | psi: 1.3100 | logL: -178.5459 | obj: 168.2181 | constraint_violation: 2.2512e-09
Branch 9 | psi: 1.3200 | logL: -178.3536 | obj: 168.0291 | constraint_violation: 1.1700e-09
Branch 10 | psi: 1.3300 | logL: -178.1835 | obj: 167.8512 | constraint_violation: 1.3407e-09
Branch 11 | psi: 1.3400 | logL: -178.0227 | obj: 167.6843 | constraint_violation: 1.9844e-09
Branch 12 | psi: 1.3500 | logL: -177.8406 | obj: 167.5301 | constraint_violation: 8.0683e-10
Branch 13 | psi: 1.3600 | logL: -177.7379 | obj: 167.3835 | constraint_violation: 1.0343e-09
Branch 14 | psi: 1.3700 | logL: -177.6150 | obj: 167.2509 | constraint_violation: 2.7467e-09
Branch 15 | psi: 1.3800 | logL: -177.5096 | obj: 167.1311 | constraint_violation: 3.0119e-10
Branch 16 | psi: 1.3900 | logL: -177.3904 | obj: 167.0217 | constraint_violation: 7.8987e-10
Branch 17 | psi: 1.4000 | logL: -177.2937 | obj: 166.9266 | constraint_violation: 3.7217e-10
Branch 18 | psi: 1.4100 | logL: -177.1845 | obj: 166.8447 | constraint_violation: 6.6661e-11
Branch 19 | psi: 1.4200 | logL: -177.1272 | obj: 166.7759 | constraint_violation: 1.6296e-09
Branch 20 | psi: 1.4300 | logL: -177.0389 | obj: 166.7212 | constraint_violation: 6.8739e-10
Branch 21 | psi: 1.4400 | logL: -177.0304 | obj: 166.6811 | constraint_violation: 4.0492e-11
Branch 22 | psi: 1.4500 | logL: -176.9424 | obj: 166.6564 | constraint_violation: 4.0032e-09
Branch 23 | psi: 1.4600 | logL: -176.9591 | obj: 166.6453 | constraint_violation: 4.8813e-10
Branch 24 | psi: 1.4700 | logL: -176.9279 | obj: 166.6518 | constraint_violation: 1.8005e-09
Branch 25 | psi: 1.4800 | logL: -176.9643 | obj: 166.6720 | constraint_violation: 4.0001e-09
Branch 26 | psi: 1.4900 | logL: -176.9665 | obj: 166.7092 | constraint_violation: 4.3872e-09
Branch 27 | psi: 1.5000 | logL: -177.0094 | obj: 166.7631 | constraint_violation: 3.9672e-09
Branch 28 | psi: 1.5100 | logL: -177.0150 | obj: 166.8334 | constraint_violation: 1.7153e-09
Branch 29 | psi: 1.5200 | logL: -177.0945 | obj: 166.9208 | constraint_violation: 1.0071e-06
Branch 30 | psi: 1.5300 | logL: -177.1944 | obj: 167.0252 | constraint_violation: 4.0535e-06
Branch 31 | psi: 1.5400 | logL: -177.2967 | obj: 167.1504 | constraint_violation: 2.4061e-07
Branch 32 | psi: 1.5500 | logL: -177.3332 | obj: 167.2859 | constraint_violation: 9.6950e-07
Branch 33 | psi: 1.5600 | logL: -177.3054 | obj: 167.4357 | constraint_violation: 2.3094e-07
Branch 34 | psi: 1.5700 | logL: -177.5476 | obj: 167.6118 | constraint_violation: 7.4806e-08
Branch 35 | psi: 1.5800 | logL: -177.8066 | obj: 167.8123 | constraint_violation: 1.4069e-06
Branch 36 | psi: 1.5900 | logL: -177.6915 | obj: 168.0084 | constraint_violation: 2.8038e-06
Branch 37 | psi: 1.6000 | logL: -178.1107 | obj: 168.2476 | constraint_violation: 2.1436e-07
Branch 38 | psi: 1.6100 | logL: -178.1054 | obj: 168.4880 | constraint_violation: 8.3391e-07
Branch 39 | psi: 1.6200 | logL: -178.4630 | obj: 168.7722 | constraint_violation: 1.9572e-06
Branch 40 | psi: 1.6300 | logL: -178.7288 | obj: 169.0605 | constraint_violation: 1.0367e-07
Branch 41 | psi: 1.6400 | logL: -178.9173 | obj: 169.3791 | constraint_violation: 1.3166e-07
Branch 42 | psi: 1.6500 | logL: -179.3299 | obj: 169.7276 | constraint_violation: 1.7623e-07
Branch 43 | psi: 1.6600 | logL: -179.6240 | obj: 170.1038 | constraint_violation: 4.0875e-07
Branch 44 | psi: 1.6700 | logL: -179.9897 | obj: 170.5070 | constraint_violation: 8.4839e-08
Branch 45 | psi: 1.6800 | logL: -180.4259 | obj: 170.9529 | constraint_violation: 1.2591e-07
Branch 46 | psi: 1.6900 | logL: -180.5428 | obj: 171.4044 | constraint_violation: 4.0556e-08
Branch 47 | psi: 1.7000 | logL: -181.0368 | obj: 171.9301 | constraint_violation: 4.3671e-09
Branch 48 | psi: 1.7100 | logL: -181.5616 | obj: 172.5098 | constraint_violation: 1.1104e-09
Branch 49 | psi: 1.7200 | logL: -182.1669 | obj: 173.1542 | constraint_violation: 5.3223e-10
Branch 50 | psi: 1.7300 | logL: -182.8597 | obj: 173.8773 | constraint_violation: 1.4096e-09
Branch 51 | psi: 1.7400 | logL: -183.6384 | obj: 174.6998 | constraint_violation: 8.4174e-10
Branch 52 | psi: 1.7500 | logL: -184.5465 | obj: 175.6529 | constraint_violation: 5.2495e-09
Branch 53 | psi: 1.7600 | logL: -185.7141 | obj: 176.7922 | constraint_violation: 3.4371e-10
