Branch 1 | psi: 1.2400 | logL: -180.0861 | obj: 169.8047 | constraint_violation: 4.4740e-10
Branch 2 | psi: 1.2500 | logL: -179.8351 | obj: 169.5505 | constraint_violation: 4.6890e-10
Branch 3 | psi: 1.2600 | logL: -179.6052 | obj: 169.3055 | constraint_violation: 5.0273e-10
Branch 4 | psi: 1.2700 | logL: -179.3640 | obj: 169.0695 | constraint_violation: 3.2066e-10
Branch 5 | psi: 1.2800 | logL: -179.1444 | obj: 168.8420 | constraint_violation: 4.1583e-09
Branch 6 | psi: 1.2900 | logL: -178.9378 | obj: 168.6242 | constraint_violation: 8.0458e-10
Branch 7 | psi: 1.3000 | logL: -178.7339 | obj: 168.4162 | constraint_violation: 2.1517e-09
Branch 8 | psi: 1.3100 | logL: -178.5384 | obj: 168.2174 | constraint_violation: 1.8462e-09
Branch 9 | psi: 1.3200 | logL: -178.3539 | obj: 168.0290 | constraint_violation: 2.3046e-09
Branch 10 | psi: 1.3300 | logL: -178.1832 | obj: 167.8511 | constraint_violation: 1.4585e-09
Branch 11 | psi: 1.3400 | logL: -178.0414 | obj: 167.6839 | constraint_violation: 5.0578e-10
Branch 12 | psi: 1.3500 | logL: -177.8749 | obj: 167.5281 | constraint_violation: 1.8250e-09
Branch 13 | psi: 1.3600 | logL: -177.7538 | obj: 167.3835 | constraint_violation: 3.6372e-10
Branch 14 | psi: 1.3700 | logL: -177.6359 | obj: 167.2508 | constraint_violation: 9.5934e-10
Branch 15 | psi: 1.3800 | logL: -177.4585 | obj: 167.1307 | constraint_violation: 2.0914e-10
Branch 16 | psi: 1.3900 | logL: -177.4006 | obj: 167.0217 | constraint_violation: 2.0156e-10
Branch 17 | psi: 1.4000 | logL: -177.2883 | obj: 166.9268 | constraint_violation: 6.0923e-10
Branch 18 | psi: 1.4100 | logL: -177.1997 | obj: 166.8445 | constraint_violation: 2.2266e-10
Branch 19 | psi: 1.4200 | logL: -177.1203 | obj: 166.7757 | constraint_violation: 6.5402e-10
Branch 20 | psi: 1.4300 | logL: -177.0681 | obj: 166.7218 | constraint_violation: 2.7715e-09
Branch 21 | psi: 1.4400 | logL: -177.0522 | obj: 166.6811 | constraint_violation: 1.2246e-10
Branch 22 | psi: 1.4500 | logL: -176.9556 | obj: 166.6561 | constraint_violation: 4.2658e-09
Branch 23 | psi: 1.4600 | logL: -176.9522 | obj: 166.6453 | constraint_violation: 2.1538e-10
Branch 24 | psi: 1.4700 | logL: -176.9319 | obj: 166.6513 | constraint_violation: 2.1432e-09
Branch 25 | psi: 1.4800 | logL: -176.9484 | obj: 166.6720 | constraint_violation: 1.1800e-09
Branch 26 | psi: 1.4900 | logL: -176.9744 | obj: 166.7093 | constraint_violation: 1.8102e-09
Branch 27 | psi: 1.5000 | logL: -176.9825 | obj: 166.7633 | constraint_violation: 6.6088e-10
Branch 28 | psi: 1.5100 | logL: -177.0289 | obj: 166.8331 | constraint_violation: 1.7455e-09
Branch 29 | psi: 1.5200 | logL: -177.0484 | obj: 166.9201 | constraint_violation: 9.8474e-07
Branch 30 | psi: 1.5300 | logL: -177.1431 | obj: 167.0237 | constraint_violation: 9.1723e-07
Branch 31 | psi: 1.5400 | logL: -177.2743 | obj: 167.1461 | constraint_violation: 9.3729e-07
Branch 32 | psi: 1.5500 | logL: -177.3497 | obj: 167.2844 | constraint_violation: 7.2890e-07
Branch 33 | psi: 1.5600 | logL: -177.4900 | obj: 167.4394 | constraint_violation: 8.9903e-07
Branch 34 | psi: 1.5700 | logL: -177.6959 | obj: 167.6277 | constraint_violation: 4.6998e-06
Branch 35 | psi: 1.5800 | logL: -177.7796 | obj: 167.8088 | constraint_violation: 1.4692e-07
Branch 36 | psi: 1.5900 | logL: -177.7177 | obj: 168.0087 | constraint_violation: 1.1399e-06
Branch 37 | psi: 1.6000 | logL: -178.1270 | obj: 168.2480 | constraint_violation: 2.6787e-07
Branch 38 | psi: 1.6100 | logL: -178.0972 | obj: 168.4870 | constraint_violation: 2.1465e-06
Branch 39 | psi: 1.6200 | logL: -178.4026 | obj: 168.7853 | constraint_violation: 2.3451e-07
Branch 40 | psi: 1.6300 | logL: -178.7101 | obj: 169.0597 | constraint_violation: 2.2670e-09
Branch 41 | psi: 1.6400 | logL: -178.9525 | obj: 169.3766 | constraint_violation: 9.3944e-07
Branch 42 | psi: 1.6500 | logL: -179.3045 | obj: 169.7262 | constraint_violation: 2.1364e-07
Branch 43 | psi: 1.6600 | logL: -179.6481 | obj: 170.1000 | constraint_violation: 1.2124e-06
Branch 44 | psi: 1.6700 | logL: -179.9826 | obj: 170.5064 | constraint_violation: 6.8818e-08
Branch 45 | psi: 1.6800 | logL: -180.4202 | obj: 170.9552 | constraint_violation: 2.0980e-07
Branch 46 | psi: 1.6900 | logL: -180.5394 | obj: 171.4040 | constraint_violation: 4.0595e-08
Branch 47 | psi: 1.7000 | logL: -181.0397 | obj: 171.9302 | constraint_violation: 4.3520e-09
Branch 48 | psi: 1.7100 | logL: -181.5519 | obj: 172.5094 | constraint_violation: 1.1214e-09
Branch 49 | psi: 1.7200 | logL: -182.1687 | obj: 173.1541 | constraint_violation: 5.4103e-10
Branch 50 | psi: 1.7300 | logL: -182.8483 | obj: 173.8768 | constraint_violation: 3.8446e-10
Branch 51 | psi: 1.7400 | logL: -183.6380 | obj: 174.6996 | constraint_violation: 9.3649e-10
Branch 52 | psi: 1.7500 | logL: -184.5464 | obj: 175.6528 | constraint_violation: 3.9979e-09
Branch 53 | psi: 1.7600 | logL: -185.7119 | obj: 176.7918 | constraint_violation: 6.4973e-10
