Branch 1 | psi: 1.2400 | logL: -180.0454 | obj: 169.8104 | constraint_violation: 6.0180e-09
Branch 2 | psi: 1.2500 | logL: -179.8129 | obj: 169.5523 | constraint_violation: 4.1825e-10
Branch 3 | psi: 1.2600 | logL: -179.6098 | obj: 169.3059 | constraint_violation: 4.8388e-10
Branch 4 | psi: 1.2700 | logL: -179.3212 | obj: 169.0696 | constraint_violation: 4.6845e-09
Branch 5 | psi: 1.2800 | logL: -179.1436 | obj: 168.8426 | constraint_violation: 2.0884e-09
Branch 6 | psi: 1.2900 | logL: -178.9215 | obj: 168.6241 | constraint_violation: 2.4241e-09
Branch 7 | psi: 1.3000 | logL: -178.7380 | obj: 168.4163 | constraint_violation: 5.9246e-10
Branch 8 | psi: 1.3100 | logL: -178.5502 | obj: 168.2177 | constraint_violation: 2.2826e-09
Branch 9 | psi: 1.3200 | logL: -178.3560 | obj: 168.0291 | constraint_violation: 7.6415e-10
Branch 10 | psi: 1.3300 | logL: -178.1856 | obj: 167.8512 | constraint_violation: 5.8917e-10
Branch 11 | psi: 1.3400 | logL: -178.0120 | obj: 167.6849 | constraint_violation: 5.3569e-09
Branch 12 | psi: 1.3500 | logL: -177.8797 | obj: 167.5281 | constraint_violation: 1.1073e-09
Branch 13 | psi: 1.3600 | logL: -177.7324 | obj: 167.3834 | constraint_violation: 1.1470e-09
Branch 14 | psi: 1.3700 | logL: -177.6231 | obj: 167.2509 | constraint_violation: 1.2192e-09
Branch 15 | psi: 1.3800 | logL: -177.5100 | obj: 167.1301 | constraint_violation: 6.7107e-10
Branch 16 | psi: 1.3900 | logL: -177.3813 | obj: 167.0219 | constraint_violation: 5.2641e-10
Branch 17 | psi: 1.4000 | logL: -177.2942 | obj: 166.9266 | constraint_violation: 1.1759e-09
Branch 18 | psi: 1.4100 | logL: -177.1742 | obj: 166.8449 | constraint_violation: 1.0530e-09
Branch 19 | psi: 1.4200 | logL: -177.1295 | obj: 166.7758 | constraint_violation: 3.3955e-10
Branch 20 | psi: 1.4300 | logL: -177.0895 | obj: 166.7217 | constraint_violation: 9.9196e-11
Branch 21 | psi: 1.4400 | logL: -177.0349 | obj: 166.6811 | constraint_violation: 6.1627e-10
Branch 22 | psi: 1.4500 | logL: -176.9572 | obj: 166.6565 | constraint_violation: 3.8489e-09
Branch 23 | psi: 1.4600 | logL: -176.9649 | obj: 166.6454 | constraint_violation: 1.1759e-10
Branch 24 | psi: 1.4700 | logL: -176.9700 | obj: 166.6508 | constraint_violation: 3.3342e-09
