Branch 1 | psi: 1.2400 | logL: -179.6672 | obj: 162.1558 | constraint_violation: 3.1627e-09
Branch 2 | psi: 1.2500 | logL: -179.3984 | obj: 161.9425 | constraint_violation: 4.6727e-10
Branch 3 | psi: 1.2600 | logL: -179.1736 | obj: 161.7381 | constraint_violation: 1.1151e-09
Branch 4 | psi: 1.2700 | logL: -178.9366 | obj: 161.5433 | constraint_violation: 1.4728e-09
Branch 5 | psi: 1.2800 | logL: -178.7709 | obj: 161.3558 | constraint_violation: 1.0364e-09
Branch 6 | psi: 1.2900 | logL: -178.4862 | obj: 161.1772 | constraint_violation: 1.7968e-09
Branch 7 | psi: 1.3000 | logL: -178.2999 | obj: 161.0081 | constraint_violation: 2.9085e-10
Branch 8 | psi: 1.3100 | logL: -178.0872 | obj: 160.8475 | constraint_violation: 1.0610e-09
Branch 9 | psi: 1.3200 | logL: -177.8693 | obj: 160.6965 | constraint_violation: 6.3809e-10
Branch 10 | psi: 1.3300 | logL: -177.7221 | obj: 160.5544 | constraint_violation: 3.8751e-10
Branch 11 | psi: 1.3400 | logL: -177.6297 | obj: 160.4218 | constraint_violation: 5.9717e-10
Branch 12 | psi: 1.3500 | logL: -177.4177 | obj: 160.2983 | constraint_violation: 8.9701e-10
Branch 13 | psi: 1.3600 | logL: -177.2333 | obj: 160.1851 | constraint_violation: 1.8816e-09
Branch 14 | psi: 1.3700 | logL: -177.0734 | obj: 160.0812 | constraint_violation: 9.9219e-10
Branch 15 | psi: 1.3800 | logL: -176.9768 | obj: 159.9869 | constraint_violation: 1.6093e-09
Branch 16 | psi: 1.3900 | logL: -176.8990 | obj: 159.9032 | constraint_violation: 5.0837e-10
Branch 17 | psi: 1.4000 | logL: -176.7398 | obj: 159.8300 | constraint_violation: 3.0666e-10
Branch 18 | psi: 1.4100 | logL: -176.6773 | obj: 159.7658 | constraint_violation: 3.0817e-10
Branch 19 | psi: 1.4200 | logL: -176.6034 | obj: 159.7131 | constraint_violation: 4.4133e-09
Branch 20 | psi: 1.4300 | logL: -176.5025 | obj: 159.6711 | constraint_violation: 2.4913e-10
Branch 21 | psi: 1.4400 | logL: -176.4375 | obj: 159.6407 | constraint_violation: 2.8995e-09
Branch 22 | psi: 1.4500 | logL: -176.4062 | obj: 159.6211 | constraint_violation: 7.0801e-10
Branch 23 | psi: 1.4600 | logL: -176.3799 | obj: 159.6133 | constraint_violation: 4.6689e-11
Branch 24 | psi: 1.4700 | logL: -176.3513 | obj: 159.6172 | constraint_violation: 1.0380e-11
Branch 25 | psi: 1.4800 | logL: -176.3211 | obj: 159.6336 | constraint_violation: 6.1896e-10
Branch 26 | psi: 1.4900 | logL: -176.3469 | obj: 159.6624 | constraint_violation: 8.6838e-10
Branch 27 | psi: 1.5000 | logL: -176.3392 | obj: 159.7046 | constraint_violation: 4.0365e-10
Branch 28 | psi: 1.5100 | logL: -176.3618 | obj: 159.7595 | constraint_violation: 6.4206e-10
Branch 29 | psi: 1.5200 | logL: -176.4330 | obj: 159.8282 | constraint_violation: 1.1735e-09
Branch 30 | psi: 1.5300 | logL: -176.5079 | obj: 159.9110 | constraint_violation: 2.7097e-10
Branch 31 | psi: 1.5400 | logL: -176.5458 | obj: 160.0092 | constraint_violation: 2.9542e-10
Branch 32 | psi: 1.5500 | logL: -176.6483 | obj: 160.1212 | constraint_violation: 8.7507e-10
Branch 33 | psi: 1.5600 | logL: -176.7490 | obj: 160.2499 | constraint_violation: 3.8832e-11
Branch 34 | psi: 1.5700 | logL: -176.8646 | obj: 160.3953 | constraint_violation: 1.6702e-10
Branch 35 | psi: 1.5800 | logL: -177.0218 | obj: 160.5579 | constraint_violation: 3.7349e-10
Branch 36 | psi: 1.5900 | logL: -177.1610 | obj: 160.7390 | constraint_violation: 4.0507e-10
Branch 37 | psi: 1.6000 | logL: -177.3471 | obj: 160.9389 | constraint_violation: 2.2639e-10
Branch 38 | psi: 1.6100 | logL: -177.5255 | obj: 161.1599 | constraint_violation: 1.0299e-10
Branch 39 | psi: 1.6200 | logL: -177.7549 | obj: 161.4022 | constraint_violation: 3.7545e-10
Branch 40 | psi: 1.6300 | logL: -178.0273 | obj: 161.6680 | constraint_violation: 1.5980e-10
Branch 41 | psi: 1.6400 | logL: -178.2943 | obj: 161.9594 | constraint_violation: 1.5724e-10
Branch 42 | psi: 1.6500 | logL: -178.5851 | obj: 162.2784 | constraint_violation: 1.8764e-10
Branch 43 | psi: 1.6600 | logL: -178.9404 | obj: 162.6281 | constraint_violation: 9.0330e-11
Branch 44 | psi: 1.6700 | logL: -179.2181 | obj: 163.0132 | constraint_violation: 3.2683e-07
Branch 45 | psi: 1.6800 | logL: -179.6798 | obj: 163.4341 | constraint_violation: 1.4088e-06
Branch 46 | psi: 1.6900 | logL: -180.1139 | obj: 163.8963 | constraint_violation: 3.5430e-09
Branch 47 | psi: 1.7000 | logL: -180.5269 | obj: 164.4082 | constraint_violation: 1.0577e-06
Branch 48 | psi: 1.7100 | logL: -181.1320 | obj: 164.9801 | constraint_violation: 2.6268e-07
Branch 49 | psi: 1.7200 | logL: -181.7446 | obj: 165.6172 | constraint_violation: 4.3348e-09
Branch 50 | psi: 1.7300 | logL: -182.3811 | obj: 166.3396 | constraint_violation: 5.4622e-10
Branch 51 | psi: 1.7400 | logL: -183.1441 | obj: 167.1644 | constraint_violation: 2.5255e-10
Branch 52 | psi: 1.7500 | logL: -184.0659 | obj: 168.1308 | constraint_violation: 1.0799e-09
Branch 53 | psi: 1.7600 | logL: -185.1618 | obj: 169.2922 | constraint_violation: 4.3645e-10
