Branch 1 | psi: 1.2400 | logL: -179.9690 | obj: 169.8094 | constraint_violation: 6.5724e-09
Branch 2 | psi: 1.2500 | logL: -179.8580 | obj: 169.5519 | constraint_violation: 3.6790e-10
Branch 3 | psi: 1.2600 | logL: -179.5607 | obj: 169.3075 | constraint_violation: 2.9004e-09
Branch 4 | psi: 1.2700 | logL: -179.3615 | obj: 169.0695 | constraint_violation: 3.7866e-09
Branch 5 | psi: 1.2800 | logL: -179.1374 | obj: 168.8423 | constraint_violation: 1.2066e-09
Branch 6 | psi: 1.2900 | logL: -178.8863 | obj: 168.6252 | constraint_violation: 7.3676e-10
Branch 7 | psi: 1.3000 | logL: -178.7368 | obj: 168.4159 | constraint_violation: 1.6257e-09
Branch 8 | psi: 1.3100 | logL: -178.5278 | obj: 168.2180 | constraint_violation: 1.6523e-09
Branch 9 | psi: 1.3200 | logL: -178.3618 | obj: 168.0292 | constraint_violation: 1.6929e-09
Branch 10 | psi: 1.3300 | logL: -178.1799 | obj: 167.8511 | constraint_violation: 5.0896e-10
Branch 11 | psi: 1.3400 | logL: -178.0473 | obj: 167.6841 | constraint_violation: 4.2722e-10
Branch 12 | psi: 1.3500 | logL: -177.8906 | obj: 167.5282 | constraint_violation: 6.6488e-11
Branch 13 | psi: 1.3600 | logL: -177.7085 | obj: 167.3838 | constraint_violation: 7.9043e-10
Branch 14 | psi: 1.3700 | logL: -177.6232 | obj: 167.2506 | constraint_violation: 4.2748e-10
Branch 15 | psi: 1.3800 | logL: -177.5167 | obj: 167.1303 | constraint_violation: 1.4532e-09
Branch 16 | psi: 1.3900 | logL: -177.3860 | obj: 167.0216 | constraint_violation: 9.0248e-10
Branch 17 | psi: 1.4000 | logL: -177.2958 | obj: 166.9270 | constraint_violation: 9.8681e-10
Branch 18 | psi: 1.4100 | logL: -177.1897 | obj: 166.8443 | constraint_violation: 8.6202e-10
Branch 19 | psi: 1.4200 | logL: -177.1200 | obj: 166.7755 | constraint_violation: 5.0254e-10
Branch 20 | psi: 1.4300 | logL: -177.0434 | obj: 166.7214 | constraint_violation: 1.3396e-10
Branch 21 | psi: 1.4400 | logL: -177.0209 | obj: 166.6807 | constraint_violation: 1.2231e-10
Branch 22 | psi: 1.4500 | logL: -176.9615 | obj: 166.6556 | constraint_violation: 4.0126e-09
Branch 23 | psi: 1.4600 | logL: -176.9659 | obj: 166.6453 | constraint_violation: 3.8325e-10
Branch 24 | psi: 1.4700 | logL: -176.9959 | obj: 166.6518 | constraint_violation: 3.0837e-09
Branch 25 | psi: 1.4800 | logL: -176.9711 | obj: 166.6718 | constraint_violation: 3.1047e-10
Branch 26 | psi: 1.4900 | logL: -176.9829 | obj: 166.7091 | constraint_violation: 3.7937e-09
Branch 27 | psi: 1.5000 | logL: -176.9964 | obj: 166.7628 | constraint_violation: 2.1319e-09
Branch 28 | psi: 1.5100 | logL: -177.0401 | obj: 166.8332 | constraint_violation: 1.1009e-09
