Branch 1 | psi: 1.2400 | logL: -185.2742 | obj: 158.0556 | constraint_violation: 3.0730e-09
Branch 2 | psi: 1.2500 | logL: -183.8371 | obj: 157.7938 | constraint_violation: 3.1197e-09
Branch 3 | psi: 1.2600 | logL: -181.7834 | obj: 157.5447 | constraint_violation: 1.2474e-09
Branch 4 | psi: 1.2700 | logL: -180.9838 | obj: 157.3076 | constraint_violation: 7.4478e-09
Branch 5 | psi: 1.2800 | logL: -179.8740 | obj: 157.0858 | constraint_violation: 7.3209e-09
Branch 6 | psi: 1.2900 | logL: -180.0926 | obj: 156.8756 | constraint_violation: 1.5746e-09
Branch 7 | psi: 1.3000 | logL: -179.1791 | obj: 156.6758 | constraint_violation: 6.4202e-09
Branch 8 | psi: 1.3100 | logL: -178.9806 | obj: 156.4862 | constraint_violation: 8.1648e-10
Branch 9 | psi: 1.3200 | logL: -178.8139 | obj: 156.3086 | constraint_violation: 1.0752e-09
Branch 10 | psi: 1.3300 | logL: -177.9594 | obj: 156.1421 | constraint_violation: 4.7053e-09
Branch 11 | psi: 1.3400 | logL: -178.1737 | obj: 155.9859 | constraint_violation: 1.6399e-09
Branch 12 | psi: 1.3500 | logL: -177.9763 | obj: 155.8402 | constraint_violation: 1.4648e-09
Branch 13 | psi: 1.3600 | logL: -176.7356 | obj: 155.7084 | constraint_violation: 3.7791e-10
Branch 14 | psi: 1.3700 | logL: -176.7468 | obj: 155.5877 | constraint_violation: 1.4189e-10
Branch 15 | psi: 1.3800 | logL: -177.1938 | obj: 155.4793 | constraint_violation: 7.1257e-10
Branch 16 | psi: 1.3900 | logL: -176.9626 | obj: 155.3808 | constraint_violation: 1.7816e-10
Branch 17 | psi: 1.4000 | logL: -176.0664 | obj: 155.2961 | constraint_violation: 7.6096e-09
Branch 18 | psi: 1.4100 | logL: -175.9923 | obj: 155.2240 | constraint_violation: 2.6528e-09
Branch 19 | psi: 1.4200 | logL: -176.3234 | obj: 155.1638 | constraint_violation: 9.0790e-10
Branch 20 | psi: 1.4300 | logL: -176.8223 | obj: 155.1153 | constraint_violation: 4.0578e-11
Branch 21 | psi: 1.4400 | logL: -176.1849 | obj: 155.0809 | constraint_violation: 2.3147e-09
Branch 22 | psi: 1.4500 | logL: -176.1596 | obj: 155.0600 | constraint_violation: 4.9459e-10
Branch 23 | psi: 1.4600 | logL: -176.0006 | obj: 155.0506 | constraint_violation: 1.2574e-11
Branch 24 | psi: 1.4700 | logL: -175.1354 | obj: 155.0570 | constraint_violation: 7.0393e-10
Branch 25 | psi: 1.4800 | logL: -175.8780 | obj: 155.0751 | constraint_violation: 5.2288e-09
Branch 26 | psi: 1.4900 | logL: -175.8916 | obj: 155.1058 | constraint_violation: 1.9163e-09
Branch 27 | psi: 1.5000 | logL: -176.0310 | obj: 155.1531 | constraint_violation: 6.9375e-11
Branch 28 | psi: 1.5100 | logL: -176.5118 | obj: 155.2152 | constraint_violation: 8.4822e-09
Branch 29 | psi: 1.5200 | logL: -176.7087 | obj: 155.2921 | constraint_violation: 1.0547e-09
Branch 30 | psi: 1.5300 | logL: -176.7837 | obj: 155.3866 | constraint_violation: 3.3254e-10
Branch 31 | psi: 1.5400 | logL: -177.1059 | obj: 155.4934 | constraint_violation: 4.2421e-10
Branch 32 | psi: 1.5500 | logL: -177.2260 | obj: 155.6202 | constraint_violation: 1.3460e-10
Branch 33 | psi: 1.5600 | logL: -176.9955 | obj: 155.7648 | constraint_violation: 4.2962e-10
Branch 34 | psi: 1.5700 | logL: -176.6541 | obj: 155.9286 | constraint_violation: 1.9863e-09
Branch 35 | psi: 1.5800 | logL: -176.9679 | obj: 156.1101 | constraint_violation: 2.4509e-09
Branch 36 | psi: 1.5900 | logL: -177.0814 | obj: 156.3019 | constraint_violation: 8.9868e-10
Branch 37 | psi: 1.6000 | logL: -176.9405 | obj: 156.5235 | constraint_violation: 8.7049e-10
Branch 38 | psi: 1.6100 | logL: -177.8287 | obj: 156.7669 | constraint_violation: 1.4267e-09
Branch 39 | psi: 1.6200 | logL: -178.0749 | obj: 157.0347 | constraint_violation: 7.4541e-11
Branch 40 | psi: 1.6300 | logL: -177.7561 | obj: 157.3254 | constraint_violation: 1.5190e-09
Branch 41 | psi: 1.6400 | logL: -178.1441 | obj: 157.6444 | constraint_violation: 1.3307e-10
Branch 42 | psi: 1.6500 | logL: -179.0824 | obj: 158.0416 | constraint_violation: 7.2100e-09
Branch 43 | psi: 1.6600 | logL: -179.4039 | obj: 158.4336 | constraint_violation: 6.1424e-09
Branch 44 | psi: 1.6700 | logL: -179.2519 | obj: 158.7870 | constraint_violation: 2.0672e-09
Branch 45 | psi: 1.6800 | logL: -179.9764 | obj: 159.2982 | constraint_violation: 3.9221e-08
Branch 46 | psi: 1.6900 | logL: -180.0215 | obj: 159.7552 | constraint_violation: 2.3235e-07
Branch 47 | psi: 1.7000 | logL: -180.7725 | obj: 160.2911 | constraint_violation: 4.5680e-07
Branch 48 | psi: 1.7100 | logL: -180.5289 | obj: 160.8986 | constraint_violation: 2.0587e-07
Branch 49 | psi: 1.7200 | logL: -181.4245 | obj: 161.5748 | constraint_violation: 1.5418e-08
Branch 50 | psi: 1.7300 | logL: -181.9412 | obj: 162.3385 | constraint_violation: 6.9529e-10
Branch 51 | psi: 1.7400 | logL: -183.1031 | obj: 163.2059 | constraint_violation: 7.0519e-11
Branch 52 | psi: 1.7500 | logL: -184.1783 | obj: 164.2206 | constraint_violation: 6.0929e-10
Branch 53 | psi: 1.7600 | logL: -184.5552 | obj: 165.3911 | constraint_violation: 5.2874e-11
