Branch 1 | psi: 1.2400 | logL: -180.2595 | obj: 157.8533 | constraint_violation: 1.4325e-08
Branch 2 | psi: 1.2500 | logL: -179.9325 | obj: 157.6200 | constraint_violation: 5.6975e-09
Branch 3 | psi: 1.2600 | logL: -179.6570 | obj: 157.3997 | constraint_violation: 8.2742e-09
Branch 4 | psi: 1.2700 | logL: -179.3435 | obj: 157.1899 | constraint_violation: 1.7901e-09
Branch 5 | psi: 1.2800 | logL: -179.0433 | obj: 156.9907 | constraint_violation: 6.4916e-10
Branch 6 | psi: 1.2900 | logL: -178.7611 | obj: 156.7994 | constraint_violation: 8.6339e-10
Branch 7 | psi: 1.3000 | logL: -178.4986 | obj: 156.6165 | constraint_violation: 1.1734e-09
Branch 8 | psi: 1.3100 | logL: -178.2505 | obj: 156.4454 | constraint_violation: 4.0721e-09
Branch 9 | psi: 1.3200 | logL: -178.0069 | obj: 156.2847 | constraint_violation: 1.7626e-09
Branch 10 | psi: 1.3300 | logL: -177.7957 | obj: 156.1320 | constraint_violation: 3.7736e-09
Branch 11 | psi: 1.3400 | logL: -177.5668 | obj: 155.9896 | constraint_violation: 1.5680e-09
Branch 12 | psi: 1.3500 | logL: -177.3892 | obj: 155.8584 | constraint_violation: 2.1339e-09
Branch 13 | psi: 1.3600 | logL: -177.2242 | obj: 155.7377 | constraint_violation: 6.9994e-09
Branch 14 | psi: 1.3700 | logL: -177.0010 | obj: 155.6285 | constraint_violation: 7.2153e-09
Branch 15 | psi: 1.3800 | logL: -176.8408 | obj: 155.5279 | constraint_violation: 1.0430e-09
Branch 16 | psi: 1.3900 | logL: -176.6830 | obj: 155.4396 | constraint_violation: 8.9279e-10
Branch 17 | psi: 1.4000 | logL: -176.5708 | obj: 155.3625 | constraint_violation: 3.0488e-10
Branch 18 | psi: 1.4100 | logL: -176.4239 | obj: 155.2964 | constraint_violation: 2.9132e-10
Branch 19 | psi: 1.4200 | logL: -176.3127 | obj: 155.2411 | constraint_violation: 4.6494e-10
Branch 20 | psi: 1.4300 | logL: -176.2126 | obj: 155.1977 | constraint_violation: 1.1422e-09
Branch 21 | psi: 1.4400 | logL: -176.1549 | obj: 155.1653 | constraint_violation: 1.5686e-09
Branch 22 | psi: 1.4500 | logL: -176.0821 | obj: 155.1459 | constraint_violation: 1.3642e-09
Branch 23 | psi: 1.4600 | logL: -175.9986 | obj: 155.1358 | constraint_violation: 8.9813e-11
Branch 24 | psi: 1.4700 | logL: -175.9386 | obj: 155.1400 | constraint_violation: 2.6588e-10
Branch 25 | psi: 1.4800 | logL: -175.9109 | obj: 155.1570 | constraint_violation: 7.4479e-10
Branch 26 | psi: 1.4900 | logL: -175.8993 | obj: 155.1886 | constraint_violation: 5.5927e-10
Branch 27 | psi: 1.5000 | logL: -175.9211 | obj: 155.2306 | constraint_violation: 1.1564e-09
Branch 28 | psi: 1.5100 | logL: -175.9299 | obj: 155.2889 | constraint_violation: 1.5252e-09
Branch 29 | psi: 1.5200 | logL: -175.9430 | obj: 155.3606 | constraint_violation: 5.6550e-10
Branch 30 | psi: 1.5300 | logL: -175.9884 | obj: 155.4455 | constraint_violation: 3.8121e-09
Branch 31 | psi: 1.5400 | logL: -176.0703 | obj: 155.5457 | constraint_violation: 2.2776e-09
Branch 32 | psi: 1.5500 | logL: -176.1314 | obj: 155.6609 | constraint_violation: 3.3500e-09
Branch 33 | psi: 1.5600 | logL: -176.2176 | obj: 155.7930 | constraint_violation: 1.6491e-09
Branch 34 | psi: 1.5700 | logL: -176.3424 | obj: 155.9426 | constraint_violation: 5.5727e-09
Branch 35 | psi: 1.5800 | logL: -176.5122 | obj: 156.1111 | constraint_violation: 5.1062e-09
Branch 36 | psi: 1.5900 | logL: -176.6263 | obj: 156.2945 | constraint_violation: 3.7788e-09
Branch 37 | psi: 1.6000 | logL: -176.7746 | obj: 156.4997 | constraint_violation: 4.0420e-09
Branch 38 | psi: 1.6100 | logL: -176.9896 | obj: 156.7261 | constraint_violation: 1.8612e-09
Branch 39 | psi: 1.6200 | logL: -177.1888 | obj: 156.9753 | constraint_violation: 3.6820e-09
Branch 40 | psi: 1.6300 | logL: -177.4398 | obj: 157.2463 | constraint_violation: 5.4582e-09
Branch 41 | psi: 1.6400 | logL: -177.6979 | obj: 157.5448 | constraint_violation: 6.9569e-09
Branch 42 | psi: 1.6500 | logL: -177.9813 | obj: 157.8713 | constraint_violation: 5.8524e-09
Branch 43 | psi: 1.6600 | logL: -178.1278 | obj: 158.2241 | constraint_violation: 1.8835e-09
Branch 44 | psi: 1.6700 | logL: -178.4763 | obj: 158.6143 | constraint_violation: 1.6599e-09
Branch 45 | psi: 1.6800 | logL: -178.7521 | obj: 159.0387 | constraint_violation: 6.7689e-10
Branch 46 | psi: 1.6900 | logL: -179.1584 | obj: 159.5097 | constraint_violation: 3.7372e-10
Branch 47 | psi: 1.7000 | logL: -179.6017 | obj: 160.0303 | constraint_violation: 9.9453e-10
Branch 48 | psi: 1.7100 | logL: -180.0950 | obj: 160.6089 | constraint_violation: 1.0770e-09
Branch 49 | psi: 1.7200 | logL: -180.6816 | obj: 161.2569 | constraint_violation: 5.8006e-10
Branch 50 | psi: 1.7300 | logL: -181.3243 | obj: 161.9890 | constraint_violation: 1.1794e-09
Branch 51 | psi: 1.7400 | logL: -182.1084 | obj: 162.8283 | constraint_violation: 2.8280e-06
Branch 52 | psi: 1.7500 | logL: -182.8512 | obj: 163.8049 | constraint_violation: 9.2115e-07
Branch 53 | psi: 1.7600 | logL: -183.9527 | obj: 164.9782 | constraint_violation: 3.4545e-09
