Branch 1 | psi: 1.2400 | logL: -180.5698 | obj: 159.4350 | constraint_violation: 8.2677e-09
Branch 2 | psi: 1.2500 | logL: -180.1984 | obj: 159.1179 | constraint_violation: 2.9452e-09
Branch 3 | psi: 1.2600 | logL: -179.8731 | obj: 158.8142 | constraint_violation: 1.1694e-09
Branch 4 | psi: 1.2700 | logL: -179.6606 | obj: 158.5253 | constraint_violation: 5.5717e-09
Branch 5 | psi: 1.2800 | logL: -179.6159 | obj: 158.2490 | constraint_violation: 4.2784e-09
Branch 6 | psi: 1.2900 | logL: -179.1116 | obj: 157.9863 | constraint_violation: 2.9964e-09
Branch 7 | psi: 1.3000 | logL: -178.8633 | obj: 157.7387 | constraint_violation: 4.6552e-09
Branch 8 | psi: 1.3100 | logL: -178.6201 | obj: 157.5039 | constraint_violation: 5.8140e-10
Branch 9 | psi: 1.3200 | logL: -178.4712 | obj: 157.2803 | constraint_violation: 2.4564e-09
Branch 10 | psi: 1.3300 | logL: -178.2336 | obj: 157.0728 | constraint_violation: 2.1834e-09
Branch 11 | psi: 1.3400 | logL: -178.0934 | obj: 156.8789 | constraint_violation: 1.8512e-09
Branch 12 | psi: 1.3500 | logL: -177.8926 | obj: 156.6997 | constraint_violation: 3.3893e-09
Branch 13 | psi: 1.3600 | logL: -177.7576 | obj: 156.5358 | constraint_violation: 4.0229e-09
Branch 14 | psi: 1.3700 | logL: -177.6800 | obj: 156.3858 | constraint_violation: 1.7537e-09
Branch 15 | psi: 1.3800 | logL: -177.4823 | obj: 156.2500 | constraint_violation: 2.3836e-09
Branch 16 | psi: 1.3900 | logL: -177.3464 | obj: 156.1296 | constraint_violation: 2.2532e-09
Branch 17 | psi: 1.4000 | logL: -177.2455 | obj: 156.0247 | constraint_violation: 1.3137e-09
Branch 18 | psi: 1.4100 | logL: -177.2483 | obj: 155.9348 | constraint_violation: 4.2276e-09
Branch 19 | psi: 1.4200 | logL: -176.9636 | obj: 155.8608 | constraint_violation: 1.0433e-09
Branch 20 | psi: 1.4300 | logL: -177.0246 | obj: 155.8023 | constraint_violation: 1.2681e-09
Branch 21 | psi: 1.4400 | logL: -176.8946 | obj: 155.7600 | constraint_violation: 1.1825e-09
Branch 22 | psi: 1.4500 | logL: -176.9615 | obj: 155.7334 | constraint_violation: 1.1556e-09
Branch 23 | psi: 1.4600 | logL: -176.8394 | obj: 155.7229 | constraint_violation: 1.6368e-10
Branch 24 | psi: 1.4700 | logL: -176.8855 | obj: 155.7282 | constraint_violation: 2.0095e-09
Branch 25 | psi: 1.4800 | logL: -176.8978 | obj: 155.7504 | constraint_violation: 1.3938e-09
Branch 26 | psi: 1.4900 | logL: -176.9123 | obj: 155.7884 | constraint_violation: 1.2038e-09
Branch 27 | psi: 1.5000 | logL: -176.9572 | obj: 155.8417 | constraint_violation: 6.1352e-10
Branch 28 | psi: 1.5100 | logL: -176.9643 | obj: 155.9118 | constraint_violation: 3.7892e-10
Branch 29 | psi: 1.5200 | logL: -176.9766 | obj: 155.9983 | constraint_violation: 3.9210e-10
Branch 30 | psi: 1.5300 | logL: -177.0602 | obj: 156.1021 | constraint_violation: 7.9338e-10
Branch 31 | psi: 1.5400 | logL: -176.8169 | obj: 156.2224 | constraint_violation: 6.3395e-10
Branch 32 | psi: 1.5500 | logL: -177.2940 | obj: 156.3589 | constraint_violation: 3.6627e-09
Branch 33 | psi: 1.5600 | logL: -177.5299 | obj: 156.5131 | constraint_violation: 6.1129e-10
Branch 34 | psi: 1.5700 | logL: -177.5200 | obj: 156.6851 | constraint_violation: 2.7246e-09
Branch 35 | psi: 1.5800 | logL: -177.8246 | obj: 156.8745 | constraint_violation: 3.3814e-10
Branch 36 | psi: 1.5900 | logL: -177.8868 | obj: 157.0834 | constraint_violation: 1.1587e-09
Branch 37 | psi: 1.6000 | logL: -178.1316 | obj: 157.3120 | constraint_violation: 2.9761e-10
Branch 38 | psi: 1.6100 | logL: -178.3498 | obj: 157.5606 | constraint_violation: 2.8415e-10
Branch 39 | psi: 1.6200 | logL: -178.5623 | obj: 157.8313 | constraint_violation: 2.9342e-10
Branch 40 | psi: 1.6300 | logL: -178.8790 | obj: 158.1257 | constraint_violation: 8.0332e-11
Branch 41 | psi: 1.6400 | logL: -179.0687 | obj: 158.4458 | constraint_violation: 1.7244e-10
