Branch 1 | psi: 1.2400 | logL: -180.1061 | obj: 169.8039 | constraint_violation: 1.6070e-09
Branch 2 | psi: 1.2500 | logL: -179.8462 | obj: 169.5511 | constraint_violation: 5.1338e-10
Branch 3 | psi: 1.2600 | logL: -179.6179 | obj: 169.3062 | constraint_violation: 1.3168e-09
Branch 4 | psi: 1.2700 | logL: -179.3663 | obj: 169.0698 | constraint_violation: 2.9969e-09
Branch 5 | psi: 1.2800 | logL: -179.1675 | obj: 168.8427 | constraint_violation: 2.2638e-09
Branch 6 | psi: 1.2900 | logL: -178.9264 | obj: 168.6249 | constraint_violation: 6.8314e-10
Branch 7 | psi: 1.3000 | logL: -178.7308 | obj: 168.4165 | constraint_violation: 2.2873e-10
Branch 8 | psi: 1.3100 | logL: -178.5392 | obj: 168.2179 | constraint_violation: 2.2748e-09
Branch 9 | psi: 1.3200 | logL: -178.3617 | obj: 168.0299 | constraint_violation: 1.1612e-10
Branch 10 | psi: 1.3300 | logL: -178.1810 | obj: 167.8514 | constraint_violation: 4.3961e-10
Branch 11 | psi: 1.3400 | logL: -178.0218 | obj: 167.6840 | constraint_violation: 1.5528e-09
Branch 12 | psi: 1.3500 | logL: -177.8802 | obj: 167.5282 | constraint_violation: 2.7781e-10
Branch 13 | psi: 1.3600 | logL: -177.7371 | obj: 167.3835 | constraint_violation: 1.0169e-09
Branch 14 | psi: 1.3700 | logL: -177.6130 | obj: 167.2506 | constraint_violation: 1.5399e-09
Branch 15 | psi: 1.3800 | logL: -177.4821 | obj: 167.1303 | constraint_violation: 2.1092e-10
Branch 16 | psi: 1.3900 | logL: -177.3923 | obj: 167.0218 | constraint_violation: 2.9724e-10
Branch 17 | psi: 1.4000 | logL: -177.2799 | obj: 166.9266 | constraint_violation: 2.4128e-10
Branch 18 | psi: 1.4100 | logL: -177.2257 | obj: 166.8458 | constraint_violation: 9.7358e-10
Branch 19 | psi: 1.4200 | logL: -177.1284 | obj: 166.7759 | constraint_violation: 6.4928e-10
Branch 20 | psi: 1.4300 | logL: -177.0691 | obj: 166.7210 | constraint_violation: 4.4376e-10
Branch 21 | psi: 1.4400 | logL: -176.9505 | obj: 166.6824 | constraint_violation: 1.1291e-09
Branch 22 | psi: 1.4500 | logL: -176.9662 | obj: 166.6558 | constraint_violation: 5.0059e-09
Branch 23 | psi: 1.4600 | logL: -176.9447 | obj: 166.6455 | constraint_violation: 1.0552e-10
Branch 24 | psi: 1.4700 | logL: -176.9676 | obj: 166.6525 | constraint_violation: 2.7928e-09
Branch 25 | psi: 1.4800 | logL: -176.9595 | obj: 166.6722 | constraint_violation: 5.4806e-10
Branch 26 | psi: 1.4900 | logL: -177.0007 | obj: 166.7096 | constraint_violation: 4.5333e-09
Branch 27 | psi: 1.5000 | logL: -177.0022 | obj: 166.7631 | constraint_violation: 3.9349e-09
Branch 28 | psi: 1.5100 | logL: -177.0341 | obj: 166.8333 | constraint_violation: 1.7903e-10
Branch 29 | psi: 1.5200 | logL: -177.0747 | obj: 166.9204 | constraint_violation: 1.0067e-06
Branch 30 | psi: 1.5300 | logL: -177.1386 | obj: 167.0239 | constraint_violation: 5.9741e-07
Branch 31 | psi: 1.5400 | logL: -177.2140 | obj: 167.1446 | constraint_violation: 7.7283e-07
Branch 32 | psi: 1.5500 | logL: -177.3537 | obj: 167.2831 | constraint_violation: 8.6791e-07
Branch 33 | psi: 1.5600 | logL: -177.4463 | obj: 167.4400 | constraint_violation: 4.1394e-06
