Branch 1 | psi: 1.2400 | logL: -181.1407 | obj: 172.0744 | constraint_violation: 7.4363e-10
Branch 2 | psi: 1.2500 | logL: -180.8582 | obj: 171.6490 | constraint_violation: 1.1093e-09
Branch 3 | psi: 1.2600 | logL: -180.6356 | obj: 171.2326 | constraint_violation: 1.5179e-09
Branch 4 | psi: 1.2700 | logL: -180.4359 | obj: 170.8164 | constraint_violation: 2.3353e-09
Branch 5 | psi: 1.2800 | logL: -180.1677 | obj: 170.4090 | constraint_violation: 2.9035e-09
Branch 6 | psi: 1.2900 | logL: -179.9605 | obj: 170.0079 | constraint_violation: 2.4277e-09
Branch 7 | psi: 1.3000 | logL: -179.7025 | obj: 169.6144 | constraint_violation: 3.8805e-09
Branch 8 | psi: 1.3100 | logL: -179.6569 | obj: 169.2298 | constraint_violation: 2.9295e-07
Branch 9 | psi: 1.3200 | logL: -179.4744 | obj: 168.8512 | constraint_violation: 8.1137e-06
Branch 10 | psi: 1.3300 | logL: -179.4616 | obj: 168.5693 | constraint_violation: 4.0110e-06
Branch 11 | psi: 1.3400 | logL: -179.2142 | obj: 168.1241 | constraint_violation: 3.0482e-09
Branch 12 | psi: 1.3500 | logL: -179.0651 | obj: 167.7797 | constraint_violation: 3.3538e-09
Branch 13 | psi: 1.3600 | logL: -178.8392 | obj: 167.4512 | constraint_violation: 1.0771e-10
Branch 14 | psi: 1.3700 | logL: -178.8789 | obj: 167.1385 | constraint_violation: 1.4362e-10
Branch 15 | psi: 1.3800 | logL: -178.6654 | obj: 166.8497 | constraint_violation: 7.6076e-10
Branch 16 | psi: 1.3900 | logL: -178.6777 | obj: 166.5838 | constraint_violation: 6.7666e-10
Branch 17 | psi: 1.4000 | logL: -178.4944 | obj: 166.3518 | constraint_violation: 3.2261e-10
Branch 18 | psi: 1.4100 | logL: -178.3002 | obj: 166.1554 | constraint_violation: 3.9317e-10
Branch 19 | psi: 1.4200 | logL: -178.0440 | obj: 165.9975 | constraint_violation: 8.0536e-10
Branch 20 | psi: 1.4300 | logL: -177.7315 | obj: 165.8793 | constraint_violation: 4.1019e-10
Branch 21 | psi: 1.4400 | logL: -177.3865 | obj: 165.7986 | constraint_violation: 9.1176e-10
Branch 22 | psi: 1.4500 | logL: -177.1571 | obj: 165.7497 | constraint_violation: 1.3605e-09
Branch 23 | psi: 1.4600 | logL: -176.9523 | obj: 165.7321 | constraint_violation: 2.4621e-10
Branch 24 | psi: 1.4700 | logL: -176.5068 | obj: 165.7403 | constraint_violation: 5.6750e-10
Branch 25 | psi: 1.4800 | logL: -176.3926 | obj: 165.7727 | constraint_violation: 3.3758e-10
Branch 26 | psi: 1.4900 | logL: -176.1617 | obj: 165.8284 | constraint_violation: 2.4651e-09
Branch 27 | psi: 1.5000 | logL: -175.9883 | obj: 165.9050 | constraint_violation: 1.2492e-09
Branch 28 | psi: 1.5100 | logL: -175.8467 | obj: 165.9995 | constraint_violation: 5.9980e-10
Branch 29 | psi: 1.5200 | logL: -175.7248 | obj: 166.1141 | constraint_violation: 4.5178e-10
Branch 30 | psi: 1.5300 | logL: -175.7277 | obj: 166.2457 | constraint_violation: 1.2997e-09
Branch 31 | psi: 1.5400 | logL: -175.6370 | obj: 166.3952 | constraint_violation: 3.3891e-09
Branch 32 | psi: 1.5500 | logL: -175.5832 | obj: 166.5621 | constraint_violation: 9.4194e-10
Branch 33 | psi: 1.5600 | logL: -175.6113 | obj: 166.7474 | constraint_violation: 5.5649e-10
Branch 34 | psi: 1.5700 | logL: -175.5672 | obj: 166.9473 | constraint_violation: 6.1317e-11
Branch 35 | psi: 1.5800 | logL: -175.5721 | obj: 167.1681 | constraint_violation: 6.6807e-10
Branch 36 | psi: 1.5900 | logL: -175.6756 | obj: 167.4058 | constraint_violation: 2.8048e-10
Branch 37 | psi: 1.6000 | logL: -175.7440 | obj: 167.6632 | constraint_violation: 2.8019e-10
Branch 38 | psi: 1.6100 | logL: -175.8347 | obj: 167.9408 | constraint_violation: 8.7103e-11
Branch 39 | psi: 1.6200 | logL: -175.9723 | obj: 168.2395 | constraint_violation: 6.7633e-11
Branch 40 | psi: 1.6300 | logL: -176.1200 | obj: 168.5607 | constraint_violation: 1.4443e-10
Branch 41 | psi: 1.6400 | logL: -176.2867 | obj: 168.9059 | constraint_violation: 9.2086e-10
Branch 42 | psi: 1.6500 | logL: -176.5114 | obj: 169.2767 | constraint_violation: 1.4575e-09
Branch 43 | psi: 1.6600 | logL: -176.7315 | obj: 169.6762 | constraint_violation: 4.2831e-09
Branch 44 | psi: 1.6700 | logL: -177.0251 | obj: 170.1065 | constraint_violation: 2.4576e-09
Branch 45 | psi: 1.6800 | logL: -177.3199 | obj: 170.5719 | constraint_violation: 8.5662e-09
Branch 46 | psi: 1.6900 | logL: -177.7243 | obj: 171.0941 | constraint_violation: 2.5009e-08
Branch 47 | psi: 1.7000 | logL: -178.0539 | obj: 171.6248 | constraint_violation: 7.1666e-09
Branch 48 | psi: 1.7100 | logL: -178.4868 | obj: 172.2259 | constraint_violation: 8.9950e-10
Branch 49 | psi: 1.7200 | logL: -178.9897 | obj: 172.8884 | constraint_violation: 9.8518e-10
Branch 50 | psi: 1.7300 | logL: -179.5703 | obj: 173.6257 | constraint_violation: 8.2826e-10
Branch 51 | psi: 1.7400 | logL: -180.2305 | obj: 174.4573 | constraint_violation: 1.0382e-09
Branch 52 | psi: 1.7500 | logL: -181.0184 | obj: 175.4104 | constraint_violation: 3.4675e-10
Branch 53 | psi: 1.7600 | logL: -181.9838 | obj: 176.5360 | constraint_violation: 5.9438e-09
