Branch 1 | psi: 1.2400 | logL: -180.6023 | obj: 167.0973 | constraint_violation: 8.5024e-10
Branch 2 | psi: 1.2500 | logL: -180.3228 | obj: 166.7924 | constraint_violation: 9.5419e-10
Branch 3 | psi: 1.2600 | logL: -180.0425 | obj: 166.4937 | constraint_violation: 1.2221e-09
Branch 4 | psi: 1.2700 | logL: -179.7999 | obj: 166.2056 | constraint_violation: 2.5476e-09
Branch 5 | psi: 1.2800 | logL: -179.5767 | obj: 165.9264 | constraint_violation: 3.5398e-10
Branch 6 | psi: 1.2900 | logL: -179.3450 | obj: 165.6550 | constraint_violation: 7.1110e-10
Branch 7 | psi: 1.3000 | logL: -179.1321 | obj: 165.3941 | constraint_violation: 6.5114e-10
Branch 8 | psi: 1.3100 | logL: -178.8865 | obj: 165.1449 | constraint_violation: 8.3265e-10
Branch 9 | psi: 1.3200 | logL: -178.6890 | obj: 164.9058 | constraint_violation: 7.9402e-10
Branch 10 | psi: 1.3300 | logL: -178.5279 | obj: 164.6781 | constraint_violation: 1.3744e-09
Branch 11 | psi: 1.3400 | logL: -178.3121 | obj: 164.4639 | constraint_violation: 8.8347e-10
Branch 12 | psi: 1.3500 | logL: -178.1903 | obj: 164.2614 | constraint_violation: 2.1914e-09
Branch 13 | psi: 1.3600 | logL: -177.9910 | obj: 164.0730 | constraint_violation: 9.3269e-10
Branch 14 | psi: 1.3700 | logL: -177.6873 | obj: 163.9025 | constraint_violation: 6.3908e-09
Branch 15 | psi: 1.3800 | logL: -177.8137 | obj: 163.7464 | constraint_violation: 1.6272e-06
Branch 16 | psi: 1.3900 | logL: -177.6372 | obj: 163.5988 | constraint_violation: 1.2764e-06
Branch 17 | psi: 1.4000 | logL: -177.5213 | obj: 163.4717 | constraint_violation: 4.2936e-07
Branch 18 | psi: 1.4100 | logL: -177.4674 | obj: 163.3646 | constraint_violation: 2.8569e-06
Branch 19 | psi: 1.4200 | logL: -177.2554 | obj: 163.2725 | constraint_violation: 1.5335e-07
Branch 20 | psi: 1.4300 | logL: -177.2337 | obj: 163.2044 | constraint_violation: 1.5481e-06
Branch 21 | psi: 1.4400 | logL: -177.0904 | obj: 163.1465 | constraint_violation: 2.1336e-07
Branch 22 | psi: 1.4500 | logL: -176.9648 | obj: 163.1135 | constraint_violation: 2.3938e-07
Branch 23 | psi: 1.4600 | logL: -176.9151 | obj: 163.0996 | constraint_violation: 6.5171e-09
Branch 24 | psi: 1.4700 | logL: -176.9282 | obj: 163.1073 | constraint_violation: 6.3902e-08
Branch 25 | psi: 1.4800 | logL: -176.9668 | obj: 163.1361 | constraint_violation: 5.5705e-10
